Gene	Product	EnClNCTC9394.II	KlPnEcl8.II	KlPnRH201207.II	CiRoICC168.II	SaTySL1344.II	SaTySL3261.II	SaTyD23580.II	SaTyA130.II	SaEnP125109.II	SaTyTy2.II	EsCoEC958.II	EsCoST131.II	EsCoBW25113.II	EsCoMG1655.II	EnClNCTC9394.locus.tag	KlPnEcl8.locus.tag	KlPnRH201207.locus.tag	CiRoICC168.locus.tag	SaTySL1344.locus.tag	SaTySL3261.locus.tag	SaTyD23580.locus.tag	SaTyA130.locus.tag	SaEnP125109.locus.tag	SaTyTy2.locus.tag	EsCoEC958.locus.tag	EsCoST131.locus.tag	EsCoBW25113.locus.tag	EsCoMG1655.locus.tag	ENC_no	BN373_no	ERS227112_no	ROD_no	SL1344_no	SL3261_no	STMMW_no	STM_no	SEN_no	t_no	EC958_no	NCTC13441_no	BW25113_no	b_no	ENC_in	BN373_in	ERS227112_in	ROD_in	SL1344_in	SL3261_in	STMMW_in	STM_in	SEN_no.1	t_in	EC958_in	NCTC13441_in	BW25113_in	b_in	path_id	path_name
ispA	farnesyl-diphosphate synthase	-2.20378533308481	1.53711888583141	-4.5	1.65184945246372	-1.38769077508667	0.620011610498146	-0.995968287332427	-0.680942586517232	-0.918097655587876	-4.5	-2.06567910875101	-1.67780823005504	-4.5	-4.5	ENC_23390	BN373_08621	ERS227112_02724	ROD_04701	SL1344_0417	SL3261_0417	STMMW_04931	STM_MW04931	SEN0405	t2440	EC958_0559	NCTC13441_03558	BW25113_0421	b0421	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00364	C10-C20 isoprenoid biosynthesis, bacteria
acrB	The (Largely Gram-negative Bacterial) Hydrophobe/Amphiphile Efflux-1 (HAE1) Family	2.47123237224517	2.57207222821114	-4.5	2.24915018294953	1.61491891612253	2.51606520361216	2.063136182669	1.54036729656146	2.00079827414185	2.16390713064259	1.37225194113219	2.07002176488255	2.60421140863316	4.5	ENC_22660	BN373_09311	ERS227112_02796	ROD_05171	SL1344_0468	SL3261_0468	STMMW_05451	STM_MW05451	SEN0456	t2385	EC958_0601	NCTC13441_03516	BW25113_0462	b0462	5	12	12	5	6	6	6	6	6	4	8	8	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00647	Multidrug resistance, efflux pump AcrAB-TolC/SmeDEF
acrA	acriflavine resistance protein A	X	2.45474592471881	-4.5	2.48413933510476	1.39404366387763	2.7025071793124	2.44716814588956	1.81671322631328	1.998036543668	2.16861210935554	1.43595182730603	2.1765952401574	2.21262613637638	4.5	X	BN373_09321	ERS227112_02797	ROD_05181	SL1344_0469	SL3261_0469	STMMW_05461	STM_MW05461	SEN0457	t2384	EC958_0602	NCTC13441_03515	BW25113_0463	b0463	4	6	6	3	4	4	4	4	4	2	5	5	4	4	0	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00646	Multidrug resistance, efflux pump AcrAD-TolC
acrA	acriflavine resistance protein A	X	2.45474592471881	-4.5	2.48413933510476	1.39404366387763	2.7025071793124	2.44716814588956	1.81671322631328	1.998036543668	2.16861210935554	1.43595182730603	2.1765952401574	2.21262613637638	4.5	X	BN373_09321	ERS227112_02797	ROD_05181	SL1344_0469	SL3261_0469	STMMW_05461	STM_MW05461	SEN0457	t2384	EC958_0602	NCTC13441_03515	BW25113_0463	b0463	4	6	6	3	4	4	4	4	4	2	5	5	4	4	0	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00647	Multidrug resistance, efflux pump AcrAB-TolC/SmeDEF
dnaX	DNA polymerase III, tau subunit	X	-4.5	-4.5	-4.5	-4.5	-2.66508080645177	-2.39711762528081	-4.5	-2.98668196484546	-4.5	-1.62103627523966	-4.5	-2.07915075746818	-4.5	X	BN373_09401	ERS227112_02804A	ROD_05281	SL1344_0477	SL3261_0477	STMMW_05541	STM_MW05541	SEN0465	t2376	EC958_0609	NCTC13441_14added	BW25113_0470	b0470	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00260	DNA polymerase III complex, bacteria
adk	Adenylate kinase	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-0.606314790636392	-0.285600081293395	-0.504164056608111	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_22520	BN373_09441	ERS227112_02809	ROD_05321	SL1344_0481	SL3261_0481	STMMW_05581	STM_MW05581	SEN0469	t2372	EC958_0613	NCTC13441_03504	BW25113_0474	b0474	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
hemH	ferrochelatase	-4.5	-1.10074732599999	-1.70854603093255	-4.5	-2.16189762573728	-1.96965671779733	-0.314329459410013	-4.5	-1.59891772974045	-4.5	-2.0185312470244	-4.5	-4.5	-4.5	ENC_22510	BN373_09451	ERS227112_02810	ROD_05331	SL1344_0482	SL3261_0482	STMMW_05591	STM_MW05591	SEN0470	t2371	EC958_0614	NCTC13441_03503	BW25113_0475	b0475	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00121	Heme biosynthesis, glutamate => protoheme/siroheme
lpxH	UDP-2,3-diacylglucosamine hydrolase	-4.5	-4.5	-4.5	-4.5	-1.21031123970497	-4.5	-4.5	-4.5	-0.487261110558007	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_271added	BN373_09691	ERS227112_02831	ROD_05561	SL1344_0528	SL3261_0528	STMMW_06031	STM_MW06031	SEN0516	t2326	EC958_0663	NCTC13441_03451	BW25113_0524	b0524	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00060	Lipopolysaccharide biosynthesis, KDO2-lipid A
cysS	cysteinyl-tRNA synthetase	-2.63576456032811	-1.47832756701489	-4.5	-4.5	-4.5	-4.5	2.37883628787373	-1.17777272889732	-0.802901711691259	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_22230	BN373_09711	ERS227112_02833	ROD_05581	SL1344_0530	SL3261_0530	STMMW_06051	STM_MW06051	SEN0518	t2324	EC958_0665	NCTC13441_03449	BW25113_0526	b0526	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
fepC	ferric enterobactin ABC transporter, ATP-binding protein	X	2.1225695214666	1.09963457096005	2.02025596214112	1.59383019937213	2.19340889314401	-1.58224329346143	-0.638340054429268	-0.811347486717224	0	2.01016716080961	2.07623461289398	2.24209848005632	4.5	X	BN373_11841	ERS227112_03044	ROD_05971	SL1344_0578	SL3261_0578	STMMW_06551	STM_MW06551	SEN0559	t2278	EC958_0708	NCTC13441_03407	BW25113_0588	b0588	54	91	87	58	45	45	45	44	45	45	55	56	50	50	0	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00240	Iron complex transport system
fepG	ABC-type enterobactin transport system, permease component	2.05232455552094	1.78383975922489	1.20418433438517	1.80798851737548	1.72353454513604	2.36737514637231	-4.5	-0.163795965642613	-0.624084280083856	-0.730649185531814	2.02006054777255	2.19863280438416	2.24694683575128	4.5	ENC_21440	BN373_11851	ERS227112_03045	ROD_05981	SL1344_0579	SL3261_0579	STMMW_06561	STM_MW06561	SEN0560	t2277	EC958_0709	NCTC13441_03406	BW25113_0589	b0589	7	9	11	4	4	4	4	4	4	4	10	10	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00240	Iron complex transport system
fepD	ABC-type Fe3+-siderophore transport system, permease component	1.93590654374595	1.94335588840254	1.55964497255937	1.85848068190914	1.7622420435698	2.21990505865315	-0.433285027304183	0.510909322564909	-0.642016278768173	-0.2395046672324	2.24930612246401	2.3359016157145	2.25942904644272	4.5	ENC_21430	BN373_11861	ERS227112_03046	ROD_05991	SL1344_0580	SL3261_0580	STMMW_06571	STM_MW06571	SEN0561	t2276	EC958_0710	NCTC13441_03405	BW25113_0590	b0590	7	9	11	4	4	4	4	4	4	4	10	10	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00240	Iron complex transport system
fepB	Ferrienterobactin-binding periplasmic protein precursor	2.08849735572111	2.1460287855813	1.615779769434	1.97130924064853	1.81425078212299	2.14219460833234	-0.158456624572254	-0.130159895414742	0.104495329817211	-0.00785094995114555	1.93023249914833	2.11582955075615	2.43383548059217	4.5	ENC_255added	BN373_11881	ERS227112_03048	ROD_06011	SL1344_0582	SL3261_0582	STMMW_06591	STM_MW06591	SEN0563	t2274	EC958_0712	NCTC13441_03403	BW25113_0592	b0592	5	6	7	2	3	3	3	3	3	3	6	7	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00240	Iron complex transport system
tatE	Sec-independent protein translocase TatE	2.58398020430168	2.23399149188566	2.20076336223069	2.92410726811407	2.20046645784928	2.06615265650948	1.7256435412487	-4.5	1.2723982718319	1.5429323923108	2.5112780325975	1.79189919085544	1.48596405853742	4.5	ENC_20830	BN373_12391	ERS227112_03101	ROD_06411	SL1344_0620	SL3261_0620	STMMW_06971	STM_MW06971	SEN0601	t2235	EC958_0745	NCTC13441_03368	BW25113_0627	b0627	2	2	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00336	Twin-arginine translocation (Tat) system
nadD	nicotinate-nucleotide adenylyltransferase	-4.5	-4.5	-4.5	-1.20055814055907	-1.77447158615534	-4.5	-4.5	-4.5	-1.2452730783893	-4.5	-1.62467982206261	-1.13810094761748	-4.5	-4.5	ENC_20710	BN373_12511	ERS227112_03113	ROD_06591	SL1344_0633	SL3261_0633	STMMW_07101	STM_MW07101	SEN0614	t2222	EC958_0758	NCTC13441_03356	BW25113_0639	b0639	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00115	NAD biosynthesis, aspartate => NAD
holA	DNA polymerase III, delta subunit	-4.5	-4.5	-1.5769120234392	-4.5	-4.5	-1.93961105165257	-4.5	-4.5	-1.71948731097472	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_20700	BN373_12521	ERS227112_03114	ROD_06601	SL1344_0634	SL3261_0634	STMMW_07111	STM_MW07111	SEN0615	t2221	EC958_0759	NCTC13441_03355	BW25113_0640	b0640	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00260	DNA polymerase III complex, bacteria
leuS	leucyl-tRNA synthetase	-3.22092014963595	-4.5	-4.5	-1.89659860974919	-2.47294992411472	-4.5	-2.05623404415373	-1.79204791848132	-1.02472254996054	-2.76190189712147	-2.37581787725147	-4.5	-2.38960880634056	-4.5	ENC_20680	BN373_12541	ERS227112_03116	ROD_06621	SL1344_0636	SL3261_0636	STMMW_07131	STM_MW07131	SEN0617	t2219	EC958_0761	NCTC13441_03353	BW25113_0642	b0642	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
ubiF	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase	-1.30763579224347	1.57906389563909	-0.576888360017956	0.610296658699836	0.181865379723409	-2.05487006356388	-0.56251670797138	-4.5	-1.80638989359569	-4.5	1.07672957225625	0.346248388930372	0.876182592611516	4.5	ENC_20540	BN373_12671	ERS227112_03129	ROD_06751	SL1344_0660	SL3261_0660	STMMW_07361	STM_MW07361	SEN0640	t2202	EC958_0780	NCTC13441_03335	BW25113_0662	b0662	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00117	Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone
glnS	glutaminyl-tRNA synthetase	-4.5	-4.5	-4.5	-4.5	-4.5	-2.39983109555536	-1.59642443446896	-4.5	-0.527532673392371	-4.5	-2.54528046981768	-4.5	-4.5	-4.5	ENC_20470	BN373_12741	ERS227112_03143	ROD_06851	SL1344_0668	SL3261_0668	STMMW_07441	STM_MW07441	SEN0650	t2189	EC958_0798	NCTC13441_03311	BW25113_0680	b0680	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
pgm	phosphoglucomutase, alpha-D-glucose phosphate-specific	2.2690768916649	2.16208124695796	-2.00044776775584	1.67175663860836	1.94190506311401	2.16331653084478	1.65555956032533	0.696654016972353	1.39280283894638	-0.88055138477639	2.01099832066618	1.04695250815224	1.85910320996932	4.5	ENC_20380	BN373_12821	ERS227112_03152	ROD_06961	SL1344_0680	SL3261_0680	STMMW_07561	STM_MW07561	SEN0662	t2177	EC958_0806	NCTC13441_03303	BW25113_0688	b0688	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00549	Nucleotide sugar biosynthesis, glucose => UDP-glucose
sucA	2-oxoglutarate dehydrogenase E1 component	0.0405202214238669	1.3347492219307	0.880001465880299	1.33398506886711	1.90945575893962	1.3778558486982	1.02707091322692	0.653836857650318	1.34724896303383	-1.36190478407491	0.988178053407587	0.821286278805519	0.727810564448176	4.5	ENC_20130	BN373_13051	ERS227112_03175	ROD_07231	SL1344_0718	SL3261_0718	STMMW_07931	STM_MW07931	SEN0686	t2140	EC958_0840	NCTC13441_03270	BW25113_0726	b0726	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00009	Citrate cycle (TCA cycle, Krebs cycle)
sucA	2-oxoglutarate dehydrogenase E1 component	0.0405202214238669	1.3347492219307	0.880001465880299	1.33398506886711	1.90945575893962	1.3778558486982	1.02707091322692	0.653836857650318	1.34724896303383	-1.36190478407491	0.988178053407587	0.821286278805519	0.727810564448176	4.5	ENC_20130	BN373_13051	ERS227112_03175	ROD_07231	SL1344_0718	SL3261_0718	STMMW_07931	STM_MW07931	SEN0686	t2140	EC958_0840	NCTC13441_03270	BW25113_0726	b0726	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
sucB	2-oxoglutarate dehydrogenase E2 component	-2.3489032611798	0.5829721443295	0.910056107557273	0.803440418740103	1.46612187104572	1.25905534884003	0.458394507874164	-0.301483305067622	1.03907044497927	-4.5	0.905361541022152	1.17709117769136	0.568307661254352	4.5	ENC_20120	BN373_13061	ERS227112_03176	ROD_07241	SL1344_0719	SL3261_0719	STMMW_07941	STM_MW07941	SEN0687	t2139	EC958_0841	NCTC13441_03269	BW25113_0727	b0727	1	3	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
sucB	2-oxoglutarate dehydrogenase E2 component	-2.3489032611798	0.5829721443295	0.910056107557273	0.803440418740103	1.46612187104572	1.25905534884003	0.458394507874164	-0.301483305067622	1.03907044497927	-4.5	0.905361541022152	1.17709117769136	0.568307661254352	4.5	ENC_20120	BN373_13061	ERS227112_03176	ROD_07241	SL1344_0719	SL3261_0719	STMMW_07941	STM_MW07941	SEN0687	t2139	EC958_0841	NCTC13441_03269	BW25113_0727	b0727	1	3	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00009	Citrate cycle (TCA cycle, Krebs cycle)
cydA	cytochrome bd quinol oxidase subunit 1 apoprotein	-1.88598321173547	2.09419652048583	2.46337333982957	1.57580175802861	-1.3228945249513	-0.387423537662972	0.28622032042128	-0.161678396490544	0.508065727277845	1.09617401151111	0.824016369144516	-4.5	-0.220640837389767	-4.5	ENC_20050	BN373_13101	ERS227112_03179	ROD_07271	SL1344_0722	SL3261_0722	STMMW_07971	STM_MW07971	SEN0690	t2136	EC958_0850	NCTC13441_03262	BW25113_0733	b0733	3	3	3	2	3	3	3	3	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00153	Cytochrome d ubiquinol oxidase
cydB	cytochrome bd quinol oxidase subunit 2 apoprotein	-0.870489760486452	2.1148866866604	2.46664567814565	1.87015369610234	-1.29097921291348	-0.221039038256021	-0.086109288915374	-4.5	-0.0325408442678638	0.798758419929705	0.779255587296385	-4.5	-0.590039091696746	4.5	ENC_20040	BN373_13111	ERS227112_03180	ROD_07281	SL1344_0723	SL3261_0723	STMMW_07981	STM_MW07981	SEN0691	t2135	EC958_0851	NCTC13441_03261	BW25113_0734	b0734	3	3	3	2	3	3	3	3	3	3	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00153	Cytochrome d ubiquinol oxidase
serS	seryl-tRNA synthetase	-4.5	-1.23135174865915	-4.5	-4.5	-2.52583476806601	-2.14955912772874	-4.5	-4.5	-1.06788473029292	-4.5	-2.26670640895757	-4.5	-4.5	-4.5	ENC_17880	BN373_15411	ERS227112_03412	ROD_09571	SL1344_0901	SL3261_0901	STMMW_09751	STM_MW09751	SEN0868	t1971	EC958_1005	NCTC13441_03100	BW25113_0893	b0893	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
cmk	cytidylate kinase	0.575703606410422	-4.5	0.812750802310096	0.108037375287758	1.03897838191921	X	1.40622183896862	0.551054144107071	1.13332015834809	0.593645113171772	1.15927354760351	0.187045070148811	0.528066670604949	4.5	ENC_17730	BN373_15531	ERS227112_03425	ROD_09781	SL1344_0917	X	STMMW_09911	STM_MW09911	SEN0884	t1954	EC958_1120	NCTC13441_02979	BW25113_0910	b0910	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	md:eco_M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP
rpsA	SSU ribosomal protein S1P	-1.8223449922284	-0.368216578530491	-4.5	-2.17285818787355	-0.60315237805609	-2.40957486278484	-0.712096957023698	-1.44287787384731	-0.3003454507283	-2.38562679743402	-1.87497528615105	-1.40125907786619	-1.75375160392288	-4.5	ENC_17720	BN373_15541	ERS227112_03426	ROD_09791	SL1344_0918	SL3261_0918	STMMW_09921	STM_MW09921	SEN0885	t1953	EC958_1121	NCTC13441_02978	BW25113_0911	b0911	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00178	Ribosome, bacteria
lpxK	lipid-A-disaccharide kinase	-1.28480120096277	-4.5	-4.5	-4.5	-1.57585842263423	-1.87336358221728	-4.5	-4.5	-2.40669697577099	-4.5	-2.03879875945092	-4.5	-4.5	-4.5	ENC_17680	BN373_15581	ERS227112_03430	ROD_09831	SL1344_0922	SL3261_0922	STMMW_09961	STM_MW09961	SEN0889	t1949	EC958_1125	NCTC13441_02974	BW25113_0915	b0915	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00060	Lipopolysaccharide biosynthesis, KDO2-lipid A
kdsB	3-deoxy-D-manno-octulosonate cytidylyltransferase	-4.5	-0.648168594831829	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-0.752025491804991	-4.5	1.73641928194266	1.01142564148218	-4.5	-4.5	ENC_17650	BN373_15611	ERS227112_03433	ROD_09861	SL1344_0925	SL3261_0925	STMMW_09991	STM_MW09991	SEN0892	t1946	EC958_1129	NCTC13441_02971	BW25113_0918	b0918	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00063	CMP-KDO biosynthesis
asnS	asparaginyl-tRNA synthetase	-2.33214524733047	-1.25367099341217	-1.91842957513537	-2.00219106693929	-4.5	-4.5	-1.06404343230354	-1.30068394049022	-1.39369895279581	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_17510	BN373_15731	ERS227112_03446	ROD_09991	SL1344_0937	SL3261_0937	STMMW_10111	STM_MW10111	SEN0904	t1934	EC958_1141	NCTC13441_02959	BW25113_0930	b0930	1	3	3	2	2	2	2	2	2	2	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
fabA	beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabA	X	-4.5	-4.5	-4.5	-4.5	-4.5	-1.16935225822166	-4.5	-1.8094516030176	-4.5	0.0364092767027171	-1.12602685470357	-4.5	-4.5	X	BN373_15951	ERS227112_03467	ROD_10151	SL1344_1007	SL3261_1007	STMMW_10801	STM_MW10801	SEN0932	t1853	EC958_1158	NCTC13441_02942	BW25113_0954	b0954	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00083	Fatty acid biosynthesis, elongation
lpxL	lipid A biosynthesis lauroyl (or palmitoleoyl) acyltransferase	2.29384196102702	2.09739084814121	2.17643572786928	1.38098848717005	-2.12168694069336	-4.5	-0.85412870642065	-4.5	-0.51897943097962	0.404605454505778	-4.5	-1.51673557371455	-0.379830306579679	4.5	ENC_15870	BN373_16821	ERS227112_03545	ROD_11131	SL1344_1092	SL3261_1092	STMMW_11631	STM_MW11631	SEN1893	t1765	EC958_1248	NCTC13441_02858	BW25113_1054	b1054	4	4	4	3	3	3	3	3	3	3	3	3	3	3	1	2	2	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00060	Lipopolysaccharide biosynthesis, KDO2-lipid A
rne	Ribonuclease E	1.3201630753896	0.847063662092076	0.510044309319322	0.931074816507649	0.741133093327233	0.363872880829786	0.835418682108726	0.105259090493993	-0.59535732964009	-0.0992997843427189	1.01266188183508	0.570068480158596	0.704607074293308	-4.5	ENC_183added	BN373_16971	ERS227112_03560	ROD_11461	SL1344_1122	SL3261_1122	STMMW_11931	STM_MW11931	SEN1863	t1734	EC958_1279	NCTC13441_02828	BW25113_1084	b1084	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00394	RNA degradosome
rpmF	LSU ribosomal protein L32P	0.936931703084497	1.62068903625148	0.14903639048734	0.769200952091932	2.23886520403806	1.20165275599784	0.893597754430896	-4.5	1.31338576765798	0.611478092858194	1.86486955232897	1.23113546387906	-4.5	4.5	ENC_15510	BN373_17011	ERS227112_03565	ROD_11511	SL1344_1128	SL3261_1128	STMMW_12001	STM_MW12001	SEN1858	t1729	EC958_1285	NCTC13441_02823	BW25113_1089	b1089	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00178	Ribosome, bacteria
fabH	3-oxoacyl-[acyl-carrier-protein] synthase 3	X	-4.5	-4.5	-4.5	-0.479641985146995	-1.58628132011037	-4.5	-4.5	-0.936218631829981	-1.76949180090803	-4.5	-4.5	-1.01589641775544	4.5	X	BN373_17031	ERS227112_03567	ROD_11531	SL1344_1130	SL3261_1130	STMMW_12021	STM_MW12021	SEN1856	t1727	EC958_1287	NCTC13441_02821	BW25113_1091	b1091	0	1	1	1	1	1	1	1	1	1	2	2	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00083	Fatty acid biosynthesis, elongation
fabH	3-oxoacyl-[acyl-carrier-protein] synthase 3	X	-4.5	-4.5	-4.5	-0.479641985146995	-1.58628132011037	-4.5	-4.5	-0.936218631829981	-1.76949180090803	-4.5	-4.5	-1.01589641775544	4.5	X	BN373_17031	ERS227112_03567	ROD_11531	SL1344_1130	SL3261_1130	STMMW_12021	STM_MW12021	SEN1856	t1727	EC958_1287	NCTC13441_02821	BW25113_1091	b1091	0	1	1	1	1	1	1	1	1	1	2	2	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00082	Fatty acid biosynthesis, initiation
fabD	[Acyl-carrier-protein] S-malonyltransferase	-4.5	-4.5	-1.52228174508063	-4.5	-4.5	-4.5	-4.5	-4.5	-0.685241348293423	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_15470	BN373_17041	ERS227112_03568	ROD_11541	SL1344_1131	SL3261_1131	STMMW_12031	STM_MW12031	SEN1855	t1726	EC958_1288	NCTC13441_02820	BW25113_1092	b1092	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00082	Fatty acid biosynthesis, initiation
fabG	3-oxoacyl-[acyl-carrier-protein] reductase	-4.5	-0.502209631022224	-4.5	-4.5	-4.5	-4.5	-0.528745569119995	-4.5	-2.05923012748195	-4.5	-0.950195237162194	-4.5	-4.5	-4.5	ENC_15460	BN373_17051	ERS227112_03569	ROD_11551	SL1344_1132	SL3261_1132	STMMW_12041	STM_MW12041	SEN1854	t1725	EC958_1289	NCTC13441_02819	BW25113_1093	b1093	20	35	32	18	11	11	11	11	12	10	17	17	14	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00083	Fatty acid biosynthesis, elongation
fabG	3-oxoacyl-[acyl-carrier-protein] reductase	-4.5	-0.502209631022224	-4.5	-4.5	-4.5	-4.5	-0.528745569119995	-4.5	-2.05923012748195	-4.5	-0.950195237162194	-4.5	-4.5	-4.5	ENC_15460	BN373_17051	ERS227112_03569	ROD_11551	SL1344_1132	SL3261_1132	STMMW_12041	STM_MW12041	SEN1854	t1725	EC958_1289	NCTC13441_02819	BW25113_1093	b1093	20	35	32	18	11	11	11	11	12	10	17	17	14	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00572	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
tmk	thymidylate kinase	-4.5	-4.5	-4.5	-4.5	-4.5	-1.17651140430232	-1.07523220797411	-4.5	-1.22590892593611	-4.5	-1.50503629188126	-4.5	-4.5	-4.5	ENC_15400	BN373_17101	ERS227112_03574	ROD_11601	SL1344_1137	SL3261_1137	STMMW_12091	STM_MW12091	SEN1849	t1720	EC958_1294	NCTC13441_02814	BW25113_1098	b1098	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
holB	DNA polymerase III, delta prime subunit	-4.5	-4.5	-1.61365664042327	-1.67348542930004	-4.5	-0.929543538666035	-1.5210699068839	-4.5	-4.5	-4.5	-4.5	-1.61569144172515	-0.356802051297443	-4.5	ENC_15390	BN373_17111	ERS227112_03575	ROD_11611	SL1344_1138	SL3261_1138	STMMW_12101	STM_MW12101	SEN1848	t1719	EC958_1295	NCTC13441_02813	BW25113_1099	b1099	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00260	DNA polymerase III complex, bacteria
