Gene	Product	EnClNCTC9394 NPEQ	KlPnEcl8 NPEQ	KlPnRH201207 NPEQ	CiRoICC168 NPEQ	SaTySL1344 NPEQ	SaTySL3261 NPEQ	SaTyD23580 NPEQ	SaTyA130 NPEQ	SaEnP125109 NPEQ	SaTyTy2 NPEQ	EsCoEC958 NPEQ	EsCoST131 NPEQ	EsCoBW25113 NPEQ	EsCoMG1655 NPEQ	EnClNCTC9394 locus tag	KlPnEcl8 locus tag	KlPnRH201207 locus tag	CiRoICC168 locus tag	SaTySL1344 locus tag	SaTySL3261 locus tag	SaTyD23580 locus tag	SaTyA130 locus tag	SaEnP125109 locus tag	SaTyTy2 locus tag	EsCoEC958 locus tag	EsCoST131 locus tag	EsCoBW25113 locus tag	EsCoMG1655 locus tag
lpoA	Putative lipoprotein	2.74496425646147	2.35148368513404	1.99932803937115	1.93798689711955	2.67408468493392	2.66335952362856	2.34215899513162	2.00119152405109	1.96946078461158	1.80545844731075	2.31434277681037	2.23419456201786	2.14145650264566	4.5	ENC_33850	BN373_42071	ERS227112_01046	ROD_46861	SL1344_3237	SL3261_3237	STMMW_32641	STM_MW32641	SEN3099	t3184	EC958_3547	NCTC13441_00548	BW25113_3147	b3147
gshA	Glutamate--cysteine ligase	1.74863095910434	2.37038517386019	2.02830443427064	2.06803663991166	1.59795745518615	1.7650005764245	1.71027503631327	0.797171148645101	1.53333625666419	1.73008961113497	1.68989859184308	1.86213668020788	2.14278654752882	4.5	ENC_352added	BN373_36571	ERS227112_01642	ROD_31231	SL1344_2803	SL3261_2803	STMMW_27851	STM_MW27851	SEN2663	t2715	EC958_2956	NCTC13441_01089	BW25113_2688	b2688
eptB	phosphatidylethanolamine:Kdo2-lipid A phosphoethanolamine transferase	3.09013176827668	2.39837134025326	2.0801752985095	2.53515060439008	2.2448674482558	2.36684551162218	2.1363747828151	2.17786973993315	2.07280293811825	2.05311076505055	2.39130370976271	2.31930363088311	2.83258232083408	4.5	ENC_01530	BN373_45401	ERS227112_00677	ROD_42621	SL1344_3600	SL3261_3600	STMMW_36251	STM_MW36251	SEN3458	t3879	EC958_3952	NCTC13441_00137	BW25113_3546	b3546
gsiA	ATPase components of various ABC-type transport systems, contain duplicated ATPase	2.42766544658918	2.21952421474158	1.63475093920135	2.11054812287457	2.59069591590893	2.39277601320942	2.33752407696793	2.07407709085703	1.58690481697044	1.85781945931281	2.31721542079265	2.16803220637532	1.79138241047416	4.5	ENC_18820	BN373_14281	ERS227112_03299	ROD_08341	SL1344_0824	SL3261_0824	STMMW_08991	STM_MW08991	SEN0794	t2041	EC958_0941	NCTC13441_03166	BW25113_0829	b0829
rbsA	ribose ABC transporter ATP-binding protein	2.67379835762693	2.58860957425301	2.56630751095491	2.19124596819627	2.49458229220174	2.63516017492548	2.49558233610529	2.43162385630555	2.16250778147058	2.16705173228359	2.40568446148418	2.37723334922085	2.2828830013906	4.5	ENC_04350	BN373_47911	ERS227112_00429	ROD_39901	SL1344_3849	SL3261_3849	STMMW_38661	STM_MW38661	SEN3696	t3637	EC958_4222	NCTC13441_04767	BW25113_3749	b3749
trkH	potassium uptake protein, TrkH family	2.97483030953521	2.57753590119953	2.40172565437887	2.36545334093525	2.22970126719	2.49578063310339	2.419589429563	1.84402182649174	1.92571599263184	2.49635762525815	2.36682406376665	1.94171554088242	2.50239129267622	4.5	ENC_47240	BN373_49681	ERS227112_01815	ROD_39061	SL1344_3939	SL3261_3939	STMMW_39561	STM_MW39561	SEN3780	t3312	EC958_4329	NCTC13441_04652	BW25113_3849	b3849
bcsG	cellulose synthase operon protein YhjU	2.72942394308434	2.29316430457374	1.72521929268429	2.12473887978483	2.02784399621698	1.87153151820931	1.62383628747626	1.50402929798962	1.65186849079852	1.68814706231647	2.31734770037351	2.08180221261086	2.65612515556938	4.5	ENC_27360	BN373_45251	ERS227112_00695	ROD_42691	SL1344_3589	SL3261_3589	STMMW_36131	STM_MW36131	SEN3447	t3893	EC958_3943	NCTC13441_00151	BW25113_3538	b3538
glpA	glycerol 3-phosphate dehydrogenase (quinone) subunit A	2.41423807089703	2.44743324229326	2.49877168030285	2.17398381687487	1.88301729718697	2.27134129238565	2.10627621115484	1.88398775309858	1.4749979014599	1.59654586637556	2.27557291455221	2.27224832043707	2.76314547929001	4.5	ENC_39560	BN373_32581	ERS227112_03932	ROD_26531	SL1344_2253	SL3261_2253	STMMW_23081	STM_MW23081	SEN2266	t0580	EC958_2577	NCTC13441_01468	BW25113_2241	b2241
yidE	Predicted permease	2.46759834007114	2.5302025631468	2.52405442244148	2.0676792513988	2.49598266252219	2.53815838172796	2.37246681214669	2.42216623387075	2.15023446618851	2.23488906583347	2.41327222187355	2.3614849544875	2.74286020534098	4.5	ENC_03770	BN373_47321	ERS227112_00487	ROD_40411	SL1344_3774	SL3261_3774	STMMW_37971	STM_MW37971	SEN3623	t3711	EC958_4157	NCTC13441_04831	BW25113_3685	b3685
uxaC	D-glucuronate isomerase	2.63852646006763	2.41261564405432	1.97685802683517	1.94499514784203	2.19452808804016	2.03287588096193	2.16762077193154	1.77519487684508	1.75215539074274	1.94102476276401	2.31092259154987	2.28204701015468	2.17303348811749	4.5	ENC_33490	BN373_41821	ERS227112_01084	ROD_47951	SL1344_3111	SL3261_3111	STMMW_30971	STM_MW30971	SEN2980	t3058	EC958_3498	NCTC13441_00597	BW25113_3092	b3092
cafA	RNAse G	2.76742103073874	2.66640133935795	2.36273200086335	2.31419470162534	2.0651809652391	2.39170876134737	2.06907689055108	1.89283794243181	1.90256623358288	2.04592039165604	2.4646762197587	2.01035980242847	2.43593171768911	4.5	ENC_34910	BN373_42961	ERS227112_00951	ROD_45691	SL1344_3342	SL3261_3342	STMMW_33681	STM_MW33681	SEN3203	t3285	EC958_3638	NCTC13441_00453	BW25113_3247	b3247
sgrR	ABC-type uncharacterized transport system, periplasmic component	2.8456592581612	2.20938001990461	2.18142188197279	2.12007401052548	2.56548813735473	2.58883401340254	2.2550409469471	2.33333105931769	1.74234591858867	1.49224530669491	2.15022604390625	2.18704470350274	2.29627045656009	4.5	ENC_45820	BN373_05561	ERS227112_02404	ROD_00761	SL1344_0109	SL3261_0109	STMMW_01151	STM_MW01151	SEN0110	t0113	EC958_0209	NCTC13441_03915	BW25113_0069	b0069
pqiB	Paraquat-inducible protein B	2.36070771122738	2.1751005357002	2.3087633294541	1.93950994882262	1.85092157583303	1.80733477956695	1.942353774675	1.66260248946247	1.74491092847227	1.40268606025508	2.01413610381429	1.67475071716901	2.24100046183492	4.5	ENC_16780	BN373_15921	ERS227112_03465	ROD_10131	SL1344_1004	SL3261_1004	STMMW_10771	STM_MW10771	SEN0929	t1856	EC958_1155	NCTC13441_02945	BW25113_0951	b0951
recN	DNA replication and repair protein RecN	2.29759351269201	2.34135795565635	2.03682290941079	2.08079599062733	2.02661538397768	2.20458250581457	2.02425734789818	1.22312779968793	1.71544445703492	1.23481016563006	2.42945348567351	2.38318487002058	2.33066230435325	4.5	ENC_28140	BN373_35921	ERS227112_01705	ROD_25651	SL1344_2656	SL3261_2656	STMMW_26981	STM_MW26981	SEN2604	t2638	EC958_2918	NCTC13441_01126	BW25113_2616	b2616
ptsG	PTS system D-glucose-specific IIB component, Glc family (TC 4.A.1.1.1)/PTS system D-glucose-specific IIC component, Glc family (TC 4.A.1.1.1)	2.73558936949983	2.35751150942089	2.59962605905451	2.39883524584467	2.43760313438436	2.45576043565465	2.30210442067199	2.05414178613883	1.97212665249389	2.06320877377166	2.31763791520769	1.76370510896845	2.56896306460528	4.5	ENC_15370	BN373_17131	ERS227112_03577	ROD_11631	SL1344_1140	SL3261_1140	STMMW_12121	STM_MW12121	SEN1846	t1717	EC958_1297	NCTC13441_02811	BW25113_1101	b1101
amyA	Glycosidases	1.79764474786288	2.05317840137937	1.86233216041286	2.03033592368425	1.80183179786393	1.98589443636528	1.58220447319531	1.73497469959023	1.83006641492257	2.22559536884963	2.26589017847304	1.91860069441806	2.02832644658023	4.5	ENC_05480	BN373_30021	ERS227112_04242	ROD_20111	SL1344_1892	SL3261_1892	STMMW_19431	STM_MW19431	SEN1045	t0914	EC958_2195	NCTC13441_01897	BW25113_1927	b1927
lysP	Amino acid transporters	2.51669260920343	2.33418410795484	2.23147562780892	2.37926786023768	2.03116017367153	2.09056440083756	2.16045649376062	1.81065647218067	1.88635724440601	2.15511859753828	2.2049959710691	2.22511983803818	2.83583179821187	4.5	ENC_40110	BN373_31981	ERS227112_03986	ROD_22851	SL1344_2177	SL3261_2177	STMMW_22321	STM_MW22321	SEN2193	t0655	EC958_2493	NCTC13441_01553	BW25113_2156	b2156
murE	UDP-N-acetylmuramyl-tripeptide synthetases	-4.5	-4.5	-4.5	-4.5	-1.64332378421376	-4.5	-1.87795809252206	-4.5	-1.23410167782471	-4.5	-1.23932913290667	-1.30653502301909	-4.5	-4.5	ENC_45970	BN373_05781	ERS227112_02426	ROD_00911	SL1344_0123	SL3261_0123	STMMW_01291	STM_MW01291	SEN0124	t0127	EC958_0225	NCTC13441_03900	BW25113_0085	b0085
proP	metabolite-proton symporter	3.16323103412483	2.76299212282861	2.59557630840507	2.36925868187398	2.18629075005929	2.51939374385015	2.14151955837306	2.07391748366707	2.04011188121112	2.15186781875383	2.58260745895731	2.09653137766343	2.40626414608562	4.5	ENC_05450	BN373_01151	ERS227112_01979	ROD_34811	SL1344_4227	SL3261_4227	STMMW_42411	STM_MW42411	SEN4061	t4197	EC958_4591	NCTC13441_04353	BW25113_4111	b4111
glpD	homodimeric glycerol 3-phosphate dehydrogenase (quinone)	2.55750760871253	2.43954679030699	2.47080521963824	2.09339443290275	2.08864379057053	2.40068157958305	1.83002585460684	1.5291767081041	1.64397398200068	1.61683025636616	1.74853544111067	2.03508849442135	1.77314032684656	4.5	ENC_26210	BN373_44311	ERS227112_00794	ROD_43981	SL1344_3493	SL3261_3493	STMMW_35151	STM_MW35151	SEN3351	t3987	EC958_3818	NCTC13441_00275	BW25113_3426	b3426
cls	cardiolipin synthetase 2	1.9661290642808	2.52340263565344	1.82791640166521	2.51030165885309	2.00385151557117	2.34117113178715	1.9330493482117	1.59870140592184	1.67632003104974	1.83439291134241	2.37891117522085	2.12506270732726	2.56343244300146	4.5	ENC_08070	BN373_27861	ERS227112_04482	ROD_17591	SL1344_1670	SL3261_1670	STMMW_17341	STM_MW17341	SEN1295	t1651	EC958_1523	NCTC13441_02585	BW25113_1249	b1249
cydC	Putative multidrug export ATP-binding/permease protein	-4.5	1.76391730272899	2.00956746011338	0.997510811074165	-0.726576776921466	-0.132408589444708	0.165117372315199	-1.44506586332555	-0.132070048575619	0.560378673927244	1.21414784237768	-2.00498150861514	-1.7384822537496	-4.5	ENC_207added	BN373_15341	ERS227112_03405	ROD_09501	SL1344_0894	SL3261_0894	STMMW_09681	STM_MW09681	SEN0860	t1978	EC958_0998	NCTC13441_03107	BW25113_0886	b0886
nusA	transcription termination factor NusA/transcription termination factor NusA, C-terminal duplication	-0.0659198415586289	-4.5	-1.40838643187405	0.0207588711995379	-0.264024916647932	-0.15792779942332	-0.572340078621673	-1.87839275572192	-0.974353970800006	-0.766981035083095	-0.103699234150395	0.214656112588429	-4.5	-4.5	ENC_34070	BN373_42291	ERS227112_01023	ROD_46631	SL1344_3260	SL3261_3260	STMMW_32871	STM_MW32871	SEN3122	t3205	EC958_3571	NCTC13441_00525	BW25113_3169	b3169
norV	Uncharacterized flavoproteins	2.13224973513862	2.28700587670611	2.1102855426338	1.87258643221265	2.28277708295962	2.45563227224493	2.16962377168657	2.20984050899166	1.67508205149976	1.64303834103557	2.47104279855409	2.31312299477218	1.98181314586368	4.5	ENC_29600	BN373_36781	ERS227112_01615	ROD_31041	SL1344_2820	SL3261_2820	STMMW_28021	STM_MW28021	SEN2681	t2742	EC958_2976	NCTC13441_01066	BW25113_2710	b2710
gltD	NADPH-dependent glutamate synthase beta chain and related oxidoreductases	2.95931069585274	2.56945405606439	1.97806674598788	2.08369006671545	2.86918394792201	2.66988550567493	2.70665595899465	2.62711469123307	2.25619352852642	2.32117804525025	2.45440729153987	2.37981251056667	2.10584348417639	4.5	ENC_34620	BN373_42751	ERS227112_00972	ROD_46041	SL1344_3303	SL3261_3303	STMMW_33301	STM_MW33301	SEN3164	t3248	EC958_3613	NCTC13441_00478	BW25113_3213	b3213
gsiB	ABC-type dipeptide transport system, periplasmic component	2.36251858059559	2.36809766998787	2.0242452735829	2.03688112394319	2.51460885659404	2.53489746351935	2.30727159274907	2.42662521552135	1.90833624333239	2.36689255133876	2.38518149015631	2.18933709342659	2.19683746458604	4.5	ENC_18810	BN373_14291	ERS227112_03300	ROD_08351	SL1344_0825	SL3261_0825	STMMW_09001	STM_MW09001	SEN0795	t2040	EC958_0942	NCTC13441_03165	BW25113_0830	b0830
lpdA	dihydrolipoamide dehydrogenase	-1.31439183446898	0.801623736176212	-4.5	-0.69757694587837	-0.713816247270978	-2.57848847940877	-0.296740503864064	-1.63061343235087	0.167268003201335	-2.3528419954229	-2.08632461102746	-4.5	0.679121941732903	4.5	ENC_46290	BN373_06101	ERS227112_02458	ROD_01221	SL1344_0154	SL3261_0154	STMMW_01601	STM_MW01601	SEN0158	t0160	EC958_0258	NCTC13441_03865	BW25113_0116	b0116
sthA	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes	2.44214345922615	2.22207134521405	0.869345358801561	2.43130399433753	2.46777012056829	2.29832032693938	2.42958456794978	1.9662012203353	2.17306736078616	1.80172275668205	2.0806500972733	2.00055875176348	2.39431871578662	4.5	ENC_01130	BN373_48841	ERS227112_00331	ROD_37831	SL1344_4075	SL3261_4075	STMMW_40901	STM_MW40901	SEN3920	t3499	EC958_4448	NCTC13441_04536	BW25113_3962	b3962
leuC	3-isopropylmalate dehydratase, large subunit	2.71674954371476	2.16997162379862	2.32653108665337	2.25424859070689	2.52317351270068	2.50714382758411	2.39128444230973	2.18272132486205	1.61021046435151	1.52629260073557	2.19483781747202	2.13156600096595	2.52640238506023	4.5	ENC_45860	BN373_05661	ERS227112_02414	ROD_00801	SL1344_0111	SL3261_0111	STMMW_01171	STM_MW01171	SEN0112	t0115	EC958_0212	NCTC13441_03912	BW25113_0072	b0072
hycC	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit	2.23927115994376	2.08269887279122	2.14849844522372	1.88316293726168	2.50352480943353	2.44616244803847	2.24225749183887	2.20268840517544	1.5539507243468	1.43061612816525	2.47939507121733	2.53113171168876	1.77260886625736	4.5	ENC_29760	BN373_36931	ERS227112_01600	ROD_30881	SL1344_2831	SL3261_2831	STMMW_28131	STM_MW28131	SEN2693	t2753	EC958_2990	NCTC13441_01053	BW25113_2723	b2723
corC_1	Magnesium and cobalt efflux protein CorC	1.82194877458452	2.11255143037183	1.9572508328275	2.34362421985512	2.38095837320911	2.2176550048569	2.08302441344761	1.34056610323659	1.57372826944941	1.48452946881128	1.75979929585537	1.61663769525743	2.05241748495663	4.5	ENC_56added	BN373_29151	ERS227112_04334	ROD_18541	SL1344_1757	SL3261_1757	STMMW_18201	STM_MW18201	SEN1209	t1049	EC958_2034	NCTC13441_02070	BW25113_1816	b1816
glnA	L-glutamine synthetase	2.55103630868645	2.19093468706427	1.49997641499897	0.97848561579612	1.38243212810976	1.41416457432767	1.71401722827128	0.161062213731674	0.403180203022108	1.63236543810612	0.938144083155334	1.20277185352656	1.59531738220769	4.5	ENC_00220	BN373_48101	ERS227112_00405	ROD_38911	SL1344_3954	SL3261_3954	STMMW_39711	STM_MW39711	SEN3795	t3614	EC958_4348	NCTC13441_04628	BW25113_3870	b3870
murC	UDP-N-acetylmuramate--L-alanine ligase	-2.44168428601179	-4.5	-4.5	-1.47611403146493	-2.72672785962209	-4.5	-1.86321679859731	-1.69403325195445	-1.62721596872654	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_46030	BN373_05841	ERS227112_02432	ROD_00971	SL1344_0129	SL3261_0129	STMMW_01351	STM_MW01351	SEN0130	t0133	EC958_0231	NCTC13441_03894	BW25113_0091	b0091
pntA	NAD(P) transhydrogenase, alpha subunit	1.94765141326954	2.55692602193766	2.19722188367334	2.27996469919086	2.05405675515836	2.14451353814106	1.56399799358999	1.41856151174016	1.45155962995111	1.73367141440814	2.18011107154748	1.81415241665916	0.91895244608028	4.5	ENC_12700	BN373_20821	ERS227112_05159	ROD_14621	SL1344_1409	SL3261_1409	STMMW_14791	STM_MW14791	SEN1570	t1399	EC958_1822	NCTC13441_02280	BW25113_1603	b1603
gltX	glutamyl-tRNA synthetase	-4.5	-4.5	-4.5	-2.03132952908332	-2.56730413088338	-4.5	-2.15793284835922	-4.5	-1.16392842280865	-2.15183958793674	-1.31723831074942	-4.5	-4.5	-4.5	ENC_38500	BN373_34121	ERS227112_03829	ROD_28181	SL1344_2381	SL3261_2381	STMMW_24371	STM_MW24371	SEN2399	t0442	EC958_5016	NCTC13441_01319	BW25113_2400	b2400
dnaB	replicative DNA helicase	-2.91241614535946	-4.5	-4.5	-0.659056050786259	-4.5	-4.5	-2.09684174946444	-4.5	-1.51404474324333	-2.16620481427095	-2.92990178352833	-2.60605258528461	-4.5	-4.5	ENC_04830	BN373_00461	ERS227112_01911	ROD_36391	SL1344_4182	SL3261_4182	STMMW_41961	STM_MW41961	SEN4015	t4152	EC958_4511	NCTC13441_04431	BW25113_4052	b4052
miaB	tRNA-i(6)A37 thiotransferase enzyme MiaB	2.12686605344899	2.20749129654268	2.3941929968606	2.11368872837984	2.43666159403531	2.36841502263212	2.30158238015924	2.20495945161054	2.03402082815079	1.90006118694332	2.27984992325593	2.32335344602339	2.15306574774895	4.5	ENC_20550	BN373_12661	ERS227112_03128	ROD_06741	SL1344_0659	SL3261_0659	STMMW_07351	STM_MW07351	SEN0639	t2203	EC958_0779	NCTC13441_03336	BW25113_0661	b0661
thiI	[ThiS-adenylate] sulfurtransferase	2.34336189003763	2.10681792793652	2.11159398426658	2.19068643587937	2.32512638578186	2.14361263427653	1.91273621881984	2.06344221265504	1.69775336386706	1.43870651811302	2.0451956800593	1.95988061938346	1.76163394324572	4.5	ENC_23370	BN373_08641	ERS227112_02726	ROD_04721	SL1344_0419	SL3261_0419	STMMW_04951	STM_MW04951	SEN0407	t2438	EC958_0561	NCTC13441_03556	BW25113_0423	b0423
lnt	apolipoprotein N-acyltransferase	-4.5	-4.5	-4.5	-2.06418144776755	-4.5	-4.5	-4.5	-1.24678027929653	-0.699532427175351	-4.5	-2.49270997310822	-4.5	-4.5	-4.5	ENC_20600	BN373_12621	ERS227112_03124	ROD_06691	SL1344_0655	SL3261_0655	STMMW_07311	STM_MW07311	SEN0635	t2207	EC958_0775	NCTC13441_03340	BW25113_0657	b0657
cysS	cysteinyl-tRNA synthetase	-2.63576456032811	-1.47832756701489	-4.5	-4.5	-4.5	-4.5	2.37883628787373	-1.17777272889732	-0.802901711691259	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_22230	BN373_09711	ERS227112_02833	ROD_05581	SL1344_0530	SL3261_0530	STMMW_06051	STM_MW06051	SEN0518	t2324	EC958_0665	NCTC13441_03449	BW25113_0526	b0526
ppx	Exopolyphosphatase	2.68840431609893	2.03035502191017	1.78095425848205	2.07478793811364	2.08233574377973	2.07625564827961	2.14351274607248	1.53429044906576	1.79404218593029	2.19201304256539	2.31887564223544	2.31216552570143	2.06603249903973	4.5	ENC_37770	BN373_34861	ERS227112_03752	ROD_24451	SL1344_2465	SL3261_2465	STMMW_25191	STM_MW25191	SEN2483	t0355	EC958_2808	NCTC13441_01238	BW25113_2502	b2502
glgA	glycogen synthase (ADP-glucose)	2.73370491453031	2.77559285182778	2.68101006807745	2.41298829695211	2.6923127916733	2.71573087328698	2.66021440523998	2.73534263502341	2.17786054896089	2.12533477168437	2.43005301348799	2.45782192799097	2.2049889873202	4.5	ENC_26230	BN373_44331	ERS227112_00790	ROD_43961	SL1344_3502	SL3261_3502	STMMW_35241	STM_MW35241	SEN3359	t3985	EC958_3823	NCTC13441_00270	BW25113_3429	b3429
ulaA	PTS system ascorbate-specific IIC component, L-Asc family (TC 4.A.7.1.1)	2.91742307428247	2.73626413273697	2.57257271824561	2.32317466069685	2.59452284989737	2.70614695736069	2.39649811766868	2.68914815740472	2.29547770856673	2.03394158533969	2.55194364169897	2.30040616817297	1.88689303823702	4.5	ENC_42910	BN373_01971	ERS227112_02064	ROD_32471	SL1344_4316	SL3261_4316	STMMW_43271	STM_MW43271	SEN4149	t4434	EC958_4680	NCTC13441_04260	BW25113_4193	b4193
pykA	pyruvate kinase	1.75918686406818	2.0758002240645	1.38642230494108	1.96719906849615	2.12718209528729	2.16924351723738	1.90428338728534	2.17005236566516	1.51786450016821	1.4738604445641	2.11803168059581	2.03787639796579	2.485789265306	4.5	ENC_06410	BN373_29551	ERS227112_04292	ROD_18941	SL1344_1822	SL3261_1822	STMMW_18691	STM_MW18691	SEN1115	t0989	EC958_2075	NCTC13441_02029	BW25113_1854	b1854
yoaE_2	Membrane protein TerC, possibly involved in tellurium resistance	2.60631390885505	1.77315348923034	1.43527666063325	2.13401545443628	1.39486117151539	1.52123849592602	1.19758595977074	1.47102376482492	1.45075431399948	1.58670946164595	2.14709514368266	1.52704703355405	1.5091154623148	4.5	ENC_41040	BN373_31191	ERS227112_04066	ROD_21991	SL1344_2096	SL3261_2096	STMMW_21511	STM_MW21511	SEN2115	t0753	EC958_2403	NCTC13441_01648	BW25113_2063	b2063
asnS	asparaginyl-tRNA synthetase	-2.33214524733047	-1.25367099341217	-1.91842957513537	-2.00219106693929	-4.5	-4.5	-1.06404343230354	-1.30068394049022	-1.39369895279581	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_17510	BN373_15731	ERS227112_03446	ROD_09991	SL1344_0937	SL3261_0937	STMMW_10111	STM_MW10111	SEN0904	t1934	EC958_1141	NCTC13441_02959	BW25113_0930	b0930
pepD	Cytosol non-specific dipeptidase	2.41276711134782	2.5700697131484	2.16848640320962	1.89380122755621	2.48913921243504	2.54705644013344	2.13963866496822	1.53179323016185	1.77817986139208	1.92968911623841	2.29929550936376	2.34918189690823	2.05692303111755	4.5	ENC_300added	BN373_07331	ERS227112_02589	ROD_03321	SL1344_0312	SL3261_0312	STMMW_03271	STM_MW03271	SEN0299	t2534	EC958_0415	NCTC13441_03701	BW25113_0237	b0237
mpl	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diamino pimelate ligase	2.59921639501117	2.28526797414543	2.4669622483679	1.98952269562127	2.01797426986782	2.03361598959621	1.5356904164585	1.281002987255	1.56668760506351	1.46432711814574	2.17725457822159	1.96303388171195	2.12399958017846	4.5	ENC_43410	BN373_02381	ERS227112_02103	ROD_32941	SL1344_4349	SL3261_4349	STMMW_43601	STM_MW43601	SEN4185	t4470	EC958_4726	NCTC13441_04214	BW25113_4233	b4233
dsbD	Thiol:disulfide interchange protein DsbD precursor	3.07731638513622	2.40839124034772	2.51397380105302	2.4428391073998	2.55530487715932	2.53601135007703	2.38890040474522	2.24634604566936	2.04870023940528	2.20846177348685	2.27612066271495	2.08606927029606	2.41966768939427	4.5	ENC_515added	BN373_01371	ERS227112_02002	ROD_31991	SL1344_4260	SL3261_4260	STMMW_42721	STM_MW42721	SEN4093	t4374	EC958_4625	NCTC13441_04319	BW25113_4136	b4136
chiP	outer membrane porin, OprD family.	2.84036112796236	2.69123151652423	2.70946455970632	2.75323978199547	2.541063700534	2.8144748119551	2.61848052051445	2.67551321662649	2.63691552502979	3.11851670234772	2.61546347639533	2.66897275837407	1.77125219342302	4.5	ENC_20450	BN373_12751	ERS227112_03145	ROD_06861	SL1344_0669	SL3261_0669	STMMW_07451	STM_MW07451	SEN0651	t2188	EC958_0799	NCTC13441_03310	BW25113_0681	b0681
atpD	ATP synthase F1 subcomplex beta subunit	1.47676085163313	2.50977288379445	1.6586999555226	2.14053799263069	2.0738120566369	0.995542650649181	1.81590417588733	1.29419716393689	2.08736431011492	0.74178366454517	1.86609119490493	1.31234436406242	1.31399003778435	4.5	ENC_04180	BN373_47741	ERS227112_00446	ROD_40081	SL1344_3832	SL3261_3832	STMMW_38501	STM_MW38501	SEN3679	t3654	EC958_4205	NCTC13441_04784	BW25113_3732	b3732
amn	AMP nucleosidase	2.51875040254584	1.85588506681261	1.78837119702249	2.15673794903012	1.96225334284773	1.97557124836915	1.44965308651249	1.45211357513953	1.62414655927182	1.69838558118718	2.49723146253678	2.37142707185949	1.82377882721192	4.5	ENC_41600	BN373_30271	ERS227112_04167	ROD_20941	SL1344_1986	SL3261_1986	STMMW_20411	STM_MW20411	SEN2007	t0868	EC958_2301	NCTC13441_01771	BW25113_1982	b1982
trpE	anthranilate synthase, component I	1.97434893274696	2.48016220273632	1.45689434558652	2.12380501717555	2.54970505346644	2.33900837254838	2.20939582559723	1.76032862526168	1.7106518378128	1.71113417058456	2.11541532893096	1.77199503280629	1.8378595241934	4.5	ENC_08250	BN373_18831	ERS227112_05470	ROD_17391	SL1344_1654	SL3261_1654	STMMW_17181	STM_MW17181	SEN1311	t1635	EC958_1593	NCTC13441_02504	BW25113_1264	b1264
gnd	6-phosphogluconate dehydrogenase (decarboxylating)	2.48781171558605	2.81870722369144	2.54608810590115	2.81227502173849	1.71898819173813	2.08505356795556	1.90623625009841	1.34952507600005	1.65930149069278	2.28810287304435	1.48372671987135	2.30710861671573	1.99401348418691	4.5	ENC_41380	BN373_31041	ERS227112_04084	ROD_21671	SL1344_2058	SL3261_2058	STMMW_21121	STM_MW21121	SEN2080	t0792	EC958_2370	NCTC13441_01683	BW25113_2029	b2029
tyrR	Transcriptional regulator of aromatic amino acids metabolism	1.92008728178086	2.0702569610195	1.36447484272319	1.88241125926381	1.66751188597334	1.90594101951087	1.46855961693696	2.00557934845906	1.20761355012038	1.20706350699694	2.22322016315346	1.87653382566168	1.28939537587322	4.5	ENC_08840	BN373_19321	ERS227112_05354	ROD_16791	SL1344_1613	SL3261_1613	STMMW_16781	STM_MW16781	SEN1350	t1588	EC958_1654	NCTC13441_02442	BW25113_1323	b1323
pitA	Phosphate/sulphate permeases	2.05183390487592	2.33742174461681	1.64800381807414	2.36884135647067	2.1354103820913	2.22394863882366	2.14282412735702	1.82007417314412	1.95056827232007	1.88562448491783	1.95804750755387	1.97816949467905	2.39890439121967	4.5	ENC_27010	BN373_44941	ERS227112_00726	ROD_43061	SL1344_3554	SL3261_3554	STMMW_35781	STM_MW35781	SEN3412	t3927	EC958_3889	NCTC13441_00205	BW25113_3493	b3493
glpT	glycerol-3-phosphate transporter	2.59959637144151	2.40784912279355	2.41061770709482	2.36942322959157	2.19798620746701	2.35038944993969	2.11777357199687	2.02020132427112	1.69599410253811	2.04871349430366	2.32442944764839	2.290430121794	2.54087795057296	4.5	ENC_39570	BN373_32571	ERS227112_03933	ROD_26521	SL1344_2252	SL3261_2252	STMMW_23071	STM_MW23071	SEN2265	t0581	EC958_2576	NCTC13441_01469	BW25113_2240	b2240
uhpT	phosphoglycerate transporter family protein	2.6012784824501	2.66080675650681	2.28745869475462	1.85560373040406	2.10487833069363	2.24604088597577	1.97156586189371	1.99765756244328	1.82308297384381	2.10385839044367	2.25101603643567	2.30277356344388	2.11036620373162	4.5	ENC_03560	BN373_47131	ERS227112_00508	ROD_40651	SL1344_3753	SL3261_3753	STMMW_37761	STM_MW37761	SEN3602	t3731	EC958_4142	NCTC13441_04846	BW25113_3666	b3666
