Gene	Product	EnClNCTC9394 NPEQ	KlPnEcl8 NPEQ	KlPnRH201207 NPEQ	CiRoICC168 NPEQ	SaTySL1344 NPEQ	SaTySL3261 NPEQ	SaTyD23580 NPEQ	SaTyA130 NPEQ	SaEnP125109 NPEQ	SaTyTy2 NPEQ	EsCoEC958 NPEQ	EsCoST131 NPEQ	EsCoBW25113 NPEQ	EsCoMG1655 NPEQ	EnClNCTC9394 locus tag	KlPnEcl8 locus tag	KlPnRH201207 locus tag	CiRoICC168 locus tag	SaTySL1344 locus tag	SaTySL3261 locus tag	SaTyD23580 locus tag	SaTyA130 locus tag	SaEnP125109 locus tag	SaTyTy2 locus tag	EsCoEC958 locus tag	EsCoST131 locus tag	EsCoBW25113 locus tag	EsCoMG1655 locus tag	ENC_no	BN373_no	ERS227112_no	ROD_no	SL1344_no	SL3261_no	STMMW_no	STM_no	SEN_no	t_no	EC958_no	NCTC13441_no	BW25113_no	b_no	ENC_in	BN373_in	ERS227112_in	ROD_in	SL1344_in	SL3261_in	STMMW_in	STM_in	SEN_no	t_in	EC958_in	NCTC13441_in	BW25113_in	b_in
birA	bifunctional protein BirA	X	-0.581486139985885	-1.90265731920604	0.0301528970278818	-1.26930345472318	-1.30030836029684	-0.599961359754339	-4.5	-0.469445638068657	-0.204799681295532	0.35755435507393	-0.257901607014297	-0.705003884466749	-4.5	X	BN373_49711	ERS227112_01821	ROD_37761	SL1344_4082	SL3261_4082	STMMW_40971	STM_MW40971	SEN3927	t3488	EC958_5089	NCTC13441_04522	BW25113_3973	b3973	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
ygfZ	tRNA-modifying protein YgfZ	X	-0.780106922000571	-0.278737920134693	0.7728711495759	0.0996335464655041	-4.5	-0.146448802259663	-4.5	0.215695071931605	-1.43781440874591	0.315603089628893	-1.23590652747171	-0.665563602046688	4.5	X	BN373_39931	ERS227112_01337	ROD_49351	SL1344_3024	SL3261_3024	STMMW_30081	STM_MW30081	SEN2891	t2966	EC958_3180	NCTC13441_00857	BW25113_2898	b2898	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
dapF	diaminopimelate epimerase	1.35104888133386	1.58818027392805	2.60888413904204	-0.862793236267248	-1.0756946321022	0.551934254885435	-2.44740983404047	0.101524930343534	-0.503564496782529	-4.5	1.6285710932619	-4.5	-1.77548085827889	4.5	ENC_01980	BN373_49331	ERS227112_01780	ROD_39421	SL1344_3901	SL3261_3901	STMMW_39181	STM_MW39181	SEN3744	t3350	EC958_4271	NCTC13441_04710	BW25113_3809	b3809	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kdsA	3-deoxy-8-phosphooctulonate synthase	X	-4.5	-4.5	-4.5	-1.80579652708017	-4.5	-1.16009138937657	-4.5	-0.372704514406271	-4.5	-4.5	-1.28903694162476	-0.642021891217027	-4.5	X	BN373_28241	ERS227112_04438	ROD_17981	SL1344_1700	SL3261_1700	STMMW_17641	STM_MW17641	SEN1267	t1104	EC958_1483	NCTC13441_02627	BW25113_1215	b1215	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
lpxL	lipid A biosynthesis lauroyl (or palmitoleoyl) acyltransferase	2.29384196102702	2.09739084814121	2.17643572786928	1.38098848717005	-2.12168694069336	-4.5	-0.85412870642065	-4.5	-0.51897943097962	0.404605454505778	-4.5	-1.51673557371455	-0.379830306579679	4.5	ENC_15870	BN373_16821	ERS227112_03545	ROD_11131	SL1344_1092	SL3261_1092	STMMW_11631	STM_MW11631	SEN1893	t1765	EC958_1248	NCTC13441_02858	BW25113_1054	b1054	4	4	4	3	3	3	3	3	3	3	3	3	3	3	1	2	2	1	1	1	1	1	1	1	1	1	1	1
folD	methenyltetrahydrofolate cyclohydrolase /5,10-methylenetetrahydrofolate dehydrogenase (NADP+)	-2.15981092452413	0.376010793601555	-4.5	-0.340123933133933	-2.08510819087338	-1.84649428132667	-0.547177292670123	-4.5	-1.59235964000773	-1.62763343598614	-1.9200796598748	-4.5	-4.5	-4.5	ENC_22180	BN373_09731	ERS227112_02835	ROD_05611	SL1344_0535	SL3261_0535	STMMW_06101	STM_MW06101	SEN0523	t2321	EC958_0668	NCTC13441_03446	BW25113_0529	b0529	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dapA	dihydrodipicolinate synthase	-4.5	-1.03266592758776	-1.75527508295431	-4.5	-4.5	-4.5	-0.258204082384163	-4.5	-1.14191390472388	-4.5	-1.9570536408073	-4.5	-4.5	4.5	ENC_37950	BN373_34711	ERS227112_03767	ROD_24271	SL1344_2452	SL3261_2452	STMMW_25071	STM_MW25071	SEN2468	t0370	EC958_2795	NCTC13441_01250	BW25113_2478	b2478	3	2	2	5	3	3	3	3	3	2	6	6	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
thyA	thymidylate synthase	-4.5	-4.5	-4.5	-4.5	-2.15832527428559	-2.11051580258427	-1.28247610155072	-4.5	-0.493615201430033	-1.18406684984262	-2.06977776508317	-4.5	-4.5	4.5	ENC_30630	BN373_38661	ERS227112_01432	ROD_28691	SL1344_2979	SL3261_2979	STMMW_29621	STM_MW29621	SEN2843	t2910	EC958_5050	NCTC13441_00913	BW25113_2827	b2827	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fepG	ABC-type enterobactin transport system, permease component	2.05232455552094	1.78383975922489	1.20418433438517	1.80798851737548	1.72353454513604	2.36737514637231	-4.5	-0.163795965642613	-0.624084280083856	-0.730649185531814	2.02006054777255	2.19863280438416	2.24694683575128	4.5	ENC_21440	BN373_11851	ERS227112_03045	ROD_05981	SL1344_0579	SL3261_0579	STMMW_06561	STM_MW06561	SEN0560	t2277	EC958_0709	NCTC13441_03406	BW25113_0589	b0589	7	9	11	4	4	4	4	4	4	4	10	10	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gutQ	KpsF/GutQ family protein	2.18036824202673	2.25812874767743	2.01140554884755	-4.5	2.14685609591498	2.18262268067085	2.03557091549526	1.83076620364279	1.43918058214892	1.01265954234397	2.30366181845526	2.30212466021658	1.85406572657964	4.5	ENC_29570	BN373_36761	ERS227112_01617	ROD_31061	SL1344_2818	SL3261_2818	STMMW_28001	STM_MW28001	SEN2679	t2740	EC958_2974	NCTC13441_01068	BW25113_2708	b2708	2	2	2	2	2	2	2	2	2	2	3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rpoH	RNA polymerase, sigma 32 subunit, RpoH	-1.63259789308366	-0.82738829858942	-2.22576572294822	-1.08857333392126	-1.84418508184358	-1.18354829823008	-1.73590840040483	-1.60372109545882	-1.37195941744909	-4.5	-2.48229427177642	-0.987908458540509	-0.308534063176927	4.5	ENC_26530	BN373_44621	ERS227112_00758	ROD_43611	SL1344_3533	SL3261_3533	STMMW_35571	STM_MW35571	SEN3391	t3954	EC958_3855	NCTC13441_00239	BW25113_3461	b3461	4	2	2	4	3	3	3	3	3	3	4	4	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rsmI	conserved hypothetical protein TIGR00096	2.64473762520253	2.08876369593804	1.89823156838578	2.12457324888075	2.71969303099501	2.60995592985355	2.303067978696	2.23898315565657	2.26375694780919	2.03096195014276	2.31153800671363	2.0201507762909	2.27910027719332	-4.5	ENC_33840	BN373_42061	ERS227112_01047	ROD_46871	SL1344_3236	SL3261_3236	STMMW_32631	STM_MW32631	SEN3098	t3183	EC958_3546	NCTC13441_00549	BW25113_3146	b3146	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-0.301283151738787	-4.5	-0.715133542391133	-4.5	-4.5	4.5	ENC_46870	BN373_06701	ERS227112_02520	ROD_01691	SL1344_0214	SL3261_0214	STMMW_02191	STM_MW02191	SEN0219	t0214	EC958_0312	NCTC13441_03812	BW25113_0166	b0166	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
cysE	serine O-acetyltransferase	1.08370958357753	0.657388050159088	-4.5	1.3143465419695	-0.0609862356631975	1.2085738289631	0.694948833645199	-4.5	0.0564886806232999	1.36646114889765	-0.259906167017341	-0.0931270600394223	0.185945926662066	4.5	ENC_02250	BN373_45931	ERS227112_00627	ROD_42091	SL1344_3665	SL3261_3665	STMMW_36871	STM_MW36871	SEN3521	t3820	EC958_4015	NCTC13441_00076	BW25113_3607	b3607	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
manZ	PTS system D-mannose-specific IID component, Man family (TC 4.A.6.1.1)	2.13385739633251	2.57213176189959	1.82558802717243	2.09152695585916	2.16740512008264	2.3826157268427	2.01602281025477	-0.0248623617866522	1.55075144756751	1.45781994382033	2.04633738068486	1.84641011186416	1.10791460891889	4.5	ENC_06770	BN373_29181	ERS227112_04331	ROD_18571	SL1344_1761	SL3261_1761	STMMW_18241	STM_MW18241	SEN1205	t1046	EC958_2037	NCTC13441_02067	BW25113_1819	b1819	2	4	4	4	4	4	4	4	3	2	4	4	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glsA	L-glutaminase	1.66286495396086	1.92427413098654	1.53419120336302	2.06972366265566	2.05008249442079	2.20456932150412	1.62603016767559	1.84109256356414	1.28806028334724	0.803909917065249	2.36316487337829	2.03284011827866	-0.0540864246899603	4.5	ENC_10670	BN373_22121	ERS227112_05036	ROD_15191	SL1344_1455	SL3261_1455	STMMW_15251	STM_MW15251	SEN1526	t1446	EC958_1780	NCTC13441_02322	BW25113_1524	b1524	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fepB	Ferrienterobactin-binding periplasmic protein precursor	2.08849735572111	2.1460287855813	1.615779769434	1.97130924064853	1.81425078212299	2.14219460833234	-0.158456624572254	-0.130159895414742	0.104495329817211	-0.00785094995114555	1.93023249914833	2.11582955075615	2.43383548059217	4.5	ENC_255added	BN373_11881	ERS227112_03048	ROD_06011	SL1344_0582	SL3261_0582	STMMW_06591	STM_MW06591	SEN0563	t2274	EC958_0712	NCTC13441_03403	BW25113_0592	b0592	5	6	7	2	3	3	3	3	3	3	6	7	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
folP	Dihydropteroate synthase	-0.128565573937143	-0.337913074356849	2.25654844268556	-0.706302713080348	2.24077600908268	2.40979284949453	2.17731280367363	1.9933814455758	-0.114434767615383	2.20864986561286	2.09550120280724	1.64455551317813	-4.5	4.5	ENC_34120	BN373_42371	ERS227112_01012	ROD_46441	SL1344_3266	SL3261_3266	STMMW_32931	STM_MW32931	SEN3128	t3212	EC958_3577	NCTC13441_00516	BW25113_3177	b3177	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rfaC	lipopolysaccharide heptosyltransferase I	1.07054900150944	-0.596664607425333	-2.45297859856571	0.329555361912654	0.570152918464726	0.59808873568138	0.776018597746579	-0.747148551478049	1.44284880618519	-2.18046419163433	-1.11316475523003	0.223307746327754	1.91078111199543	4.5	ENC_02400	BN373_46061	ERS227112_00614	ROD_41961	SL1344_3678	SL3261_3678	STMMW_37011	STM_MW37011	SEN3534	t3807	EC958_4028	NCTC13441_00063	BW25113_3621	b3621	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ispA	farnesyl-diphosphate synthase	-2.20378533308481	1.53711888583141	-4.5	1.65184945246372	-1.38769077508667	0.620011610498146	-0.995968287332427	-0.680942586517232	-0.918097655587876	-4.5	-2.06567910875101	-1.67780823005504	-4.5	-4.5	ENC_23390	BN373_08621	ERS227112_02724	ROD_04701	SL1344_0417	SL3261_0417	STMMW_04931	STM_MW04931	SEN0405	t2440	EC958_0559	NCTC13441_03558	BW25113_0421	b0421	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
minD	septum site-determining protein MinD	1.8149793604832	2.68531013487311	2.18435553596729	2.14005470419027	2.3796611718621	2.58946242394124	2.42650239886644	2.5159513036504	2.28529949937758	2.14376370560437	2.50134026498301	1.91317129326416	2.76060306968929	-4.5	ENC_06950	BN373_29021	ERS227112_04347	ROD_18391	SL1344_1743	SL3261_1743	STMMW_18071	STM_MW18071	SEN1222	t1062	EC958_1413	NCTC13441_02705	BW25113_1175	b1175	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pstB	phosphate ABC transporter ATP-binding protein, PhoT family (TC 3.A.1.7.1)	2.21267418279668	2.29858830900549	-4.5	2.45480526666939	2.69635428080707	2.36723302729394	2.65114971289022	2.44899548299292	2.50432048641734	1.90748243814767	0.925933023926534	0.630810534459657	2.06189994499071	4.5	ENC_04060	BN373_47661	ERS227112_00453	ROD_40161	SL1344_3821	SL3261_3821	STMMW_38391	STM_MW38391	SEN3668	t3669	EC958_4198	NCTC13441_04792	BW25113_3725	b3725	54	91	87	58	45	45	45	44	45	45	55	56	50	50	1	1	1	1	1	1	1	1	1	1	1	1	1	1
map_1	methionine aminopeptidase, type I	-0.808755903851618	2.34430118531385	1.91128059513915	-1.45646739299208	-4.5	-1.24571907759525	-1.8772862183319	-4.5	-0.071628341574518	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_46910	BN373_06731	ERS227112_02522	ROD_01711	SL1344_0216	SL3261_0216	STMMW_02211	STM_MW02211	SEN0221	t0216	EC958_0314	NCTC13441_03810	BW25113_0168	b0168	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dapB	dihydrodipicolinate reductase	-4.5	-4.5	-4.5	-4.5	-2.19182448426111	-1.0459014275452	-2.0378687186957	-4.5	-0.92130202621876	-4.5	-4.5	-4.5	-1.26725842219941	4.5	ENC_45560	BN373_05241	ERS227112_02375	ROD_00341	SL1344_0065	SL3261_0065	STMMW_00651	STM_MW00651	SEN0065	t0066	EC958_0164	NCTC13441_03960	BW25113_0031	b0031	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
nadE	NAD+ synthetase	X	-4.5	-1.86623655239907	-4.5	-4.5	-4.5	-1.1355071123535	-4.5	-1.03011714070638	-4.5	-1.66591903185147	-4.5	-4.5	-4.5	X	BN373_18511	ERS227112_05505	ROD_13161	SL1344_1245	SL3261_1245	STMMW_13171	STM_MW13171	SEN1733	t1189	EC958_1961	NCTC13441_02140	BW25113_1740	b1740	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
suhB	Archaeal fructose-1,6-bisphosphatase and related enzymes of inositol monophosphatase family	-4.5	-4.5	-4.5	0.474116279556524	-1.30797451470864	-1.78555640527951	-1.54494255574293	-4.5	-2.17314818650204	-4.5	-1.83582925707459	-4.5	-4.5	-4.5	ENC_37210	BN373_35221	ERS227112_00050	ROD_24771	SL1344_2508	SL3261_2508	STMMW_25631	STM_MW25631	SEN2526	t0310	EC958_2844	NCTC13441_01202	BW25113_2533	b2533	2	4	4	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ispE	4-diphosphocytidyl-2C-methyl-D-erythritol kinase	X	-0.678542291739909	-4.5	-4.5	-4.5	-4.5	-1.1634174488963	-4.5	-1.06186815564629	-4.5	-4.5	-4.5	-4.5	-4.5	X	BN373_28311	ERS227112_04431	ROD_18051	SL1344_1707	SL3261_1707	STMMW_17711	STM_MW17711	SEN1260	t1097	EC958_1476	NCTC13441_02634	BW25113_1208	b1208	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
ftsN	cell division protein FtsN	2.70277420214984	1.96663221191735	1.35954326326534	2.10039382133852	2.15922677714952	2.17246038631729	1.98563701668117	2.16353041387828	1.50254002552351	1.29783899431439	2.42814142413424	2.37101110079142	2.24620056856993	-4.5	ENC_00960	BN373_48611	ERS227112_00354	ROD_38131	SL1344_4042	SL3261_4042	STMMW_40581	STM_MW40581	SEN3883	t3525	EC958_4418	NCTC13441_04567	BW25113_3933	b3933	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
efeU	ferrous iron permease EfeU	X	2.39763056226391	2.45828822057046	1.72913114262481	X	X	X	X	X	X	2.12852040208623	1.9519416225241	-4.5	4.5	X	BN373_16601	ERS227112_03523	ROD_10711	X	X	X	X	X	X	EC958_1215	NCTC13441_02889	BW25113_4490	b4490	0	2	2	1	0	0	0	0	0	0	2	2	2	2	0	1	1	1	0	0	0	0	0	0	1	1	1	1
ubiE	ubiquinone/menaquinone biosynthesis methyltransferases	-1.43463439985632	-0.755837021300377	-4.5	-0.0691261911069436	-0.988070252492857	-1.76927843915499	-0.566549921624128	-1.61125631822796	-0.660010759352267	-4.5	0	0.064874636301463	-0.0976178376849986	4.5	ENC_01780	BN373_49541	ERS227112_01801	ROD_39211	SL1344_3924	SL3261_3924	STMMW_39411	STM_MW39411	SEN3765	t3327	EC958_4315	NCTC13441_04666	BW25113_3833	b3833	4	4	4	5	4	4	4	4	4	6	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
alsK	D-allose kinase	2.31852686065346	X	X	2.18488245828751	X	X	X	X	X	X	2.27818014620271	2.08645609116607	1.73306149086657	-4.5	ENC_05180	X	X	ROD_34691	X	X	X	X	X	X	EC958_4565	NCTC13441_04379	BW25113_4084	b4084	1	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	1	1
yfiO	outer membrane assembly lipoprotein YfiO	-4.5	-4.5	-4.5	-4.5	-0.796363653335678	-4.5	0.784018759095199	-4.5	1.5745259236874	-4.5	-1.88203466218629	-4.5	-4.5	-4.5	ENC_27930	BN373_35721	ERS227112_01726	ROD_25371	SL1344_2623	SL3261_2623	STMMW_26791	STM_MW26791	SEN2586	t2619	EC958_2899	NCTC13441_01145	BW25113_2595	b2595	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
cmoA	methyltransferase, putative	1.61372420579368	1.7648175564623	1.60930235652818	1.64410352245973	2.41346026296919	2.49215747837576	2.16368064801251	2.61230884409765	1.6898669122862	1.76149840646819	2.26745193004668	1.98926734024999	-0.687526121872574	4.5	ENC_06230	BN373_29701	ERS227112_04277	ROD_19161	SL1344_1840	SL3261_1840	STMMW_18881	STM_MW18881	SEN1098	t0972	EC958_2093	NCTC13441_02011	BW25113_1870	b1870	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fepC	ferric enterobactin ABC transporter, ATP-binding protein	X	2.1225695214666	1.09963457096005	2.02025596214112	1.59383019937213	2.19340889314401	-1.58224329346143	-0.638340054429268	-0.811347486717224	0	2.01016716080961	2.07623461289398	2.24209848005632	4.5	X	BN373_11841	ERS227112_03044	ROD_05971	SL1344_0578	SL3261_0578	STMMW_06551	STM_MW06551	SEN0559	t2278	EC958_0708	NCTC13441_03407	BW25113_0588	b0588	54	91	87	58	45	45	45	44	45	45	55	56	50	50	0	1	1	1	1	1	1	1	1	1	1	1	1	1
kdsB	3-deoxy-D-manno-octulosonate cytidylyltransferase	-4.5	-0.648168594831829	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-0.752025491804991	-4.5	1.73641928194266	1.01142564148218	-4.5	-4.5	ENC_17650	BN373_15611	ERS227112_03433	ROD_09861	SL1344_0925	SL3261_0925	STMMW_09991	STM_MW09991	SEN0892	t1946	EC958_1129	NCTC13441_02971	BW25113_0918	b0918	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dam	DNA adenine methylase Dam	0.21585360889477	2.45755464478788	-4.5	2.66276658796837	2.34167143126639	2.12502844531739	2.58232745789291	2.69189997198342	2.46836488177439	2.52971608121664	2.5338620844042	2.4641592648029	3.32013116234546	4.5	ENC_25840	BN373_43951	ERS227112_00827	ROD_44361	SL1344_3451	SL3261_3451	STMMW_34741	STM_MW34741	SEN3310	t4022	EC958_3778	NCTC13441_00313	BW25113_3387	b3387	1	2	2	2	2	2	1	1	2	4	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rfbA	Glucose-1-phosphate thymidylyltransferase	-1.74405054010577	2.44803878048647	2.62563239985577	2.39431468619474	X	X	X	X	X	2.13951835948386	2.48906544190987	2.25818247092445	2.2242657843876	4.5	ENC_41270	BN373_49171	ERS227112_01759	ROD_39581	X	X	X	X	X	t3374	EC958_4251	NCTC13441_04734	BW25113_3789	b3789	1	1	1	2	1	1	1	1	1	2	2	2	2	2	1	1	1	1	0	0	0	0	0	1	1	1	1	1
znuC	high-affinity zinc uptake ABC transporter, ATP-binding protein	X	2.17346237876703	1.74516305444437	2.03568312772811	2.11765869221148	2.30770638404117	1.27617478566837	-0.169607324588483	1.79568924145166	1.58287507681837	2.41366988587805	1.83160495581264	2.22049249830391	4.5	X	BN373_29591	ERS227112_04288	ROD_18991	SL1344_1826	SL3261_1826	STMMW_18731	STM_MW18731	SEN1111	t0985	EC958_2079	NCTC13441_02025	BW25113_1858	b1858	54	91	87	58	45	45	45	44	45	45	55	56	50	50	0	1	1	1	1	1	1	1	1	1	1	1	1	1
phoU	Phosphate-specific transport system accessory protein PhoU	1.6451652435564	2.22823183690242	-4.5	2.02233904257214	2.55723089978162	1.62088381176419	2.21306983896583	1.27302662157394	1.87280058180978	-0.301426866541157	-0.101656879785005	0.0663651639407106	-1.48110910438786	4.5	ENC_36added	BN373_47651	ERS227112_00454	ROD_40171	SL1344_3820	SL3261_3820	STMMW_38381	STM_MW38381	SEN3667	t3670	EC958_4197	NCTC13441_04793	BW25113_3724	b3724	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
can_2	Carbonic anhydrase	2.82684411295721	1.88101344662731	2.16606207071329	-1.28811371893877	-4.5	0	-1.7140142742866	-0.86360905264779	-0.818579338126128	-1.52813367486932	-1.24803462881531	-4.5	0.143903055058701	-4.5	ENC_46420	BN373_06241	ERS227112_02475	ROD_01381	SL1344_0172	SL3261_0172	STMMW_01771	STM_MW01771	SEN0176	t0176	EC958_0268	NCTC13441_03855	BW25113_0126	b0126	2	4	3	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ubiG	3-demethylubiquinone-9 3-O-methyltransferase	X	0.0574763804014238	-4.5	-1.34088732434065	-1.96030738873294	-4.5	-4.5	-4.5	-1.99113041947049	-4.5	-4.5	-4.5	-4.5	4.5	X	BN373_32521	ERS227112_03938	ROD_23541	SL1344_2245	SL3261_2245	STMMW_23001	STM_MW23001	SEN2258	t0588	EC958_2568	NCTC13441_01476	BW25113_2232	b2232	3	5	4	5	5	5	5	5	4	4	7	7	7	7	0	1	1	1	1	1	1	1	1	1	1	1	1	1
rph	ribonuclease PH	2.61449103511996	2.31848910535548	2.11282196509254	2.2976745967629	2.42473839976077	2.58783186956865	2.43092129507618	2.29699495953363	2.23843991236825	2.5118083091674	2.5457668594808	2.69066606083084	-4.5	4.5	ENC_02620	BN373_46271	ERS227112_00594	ROD_41721	SL1344_3700	SL3261_3700	STMMW_37231	STM_MW37231	SEN3556	t3784	EC958_4051	NCTC13441_00040	BW25113_3643	b3643	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rnc	RNAse III	-0.0668661974019251	-0.729188921597933	-4.5	-0.0153069821348577	-1.68412896338568	-0.118334999316319	0.368034276117504	-0.416026336894	-1.38005899046874	0.977445774233581	1.61274048664033	X	1.69841341396281	4.5	ENC_36940	BN373_35501	ERS227112_00020A	ROD_25131	SL1344_2543	SL3261_2543	STMMW_25971	STM_MW25971	SEN2561	t0277	EC958_2873	X	BW25113_2567	b2567	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
dnaQ	DNA polymerase III, epsilon subunit	-1.37044299244896	-0.936580985852838	-4.5	-4.5	-0.122118760588118	-1.82428581883372	-0.396096188229768	-4.5	0.779437527257969	-4.5	0.182422785626096	-0.962439491599181	-0.0441091824617927	4.5	ENC_24790	BN373_07151	ERS227112_02570	ROD_02201	SL1344_0259	SL3261_0259	STMMW_02631	STM_MW02631	SEN0266	t2601	EC958_0358	NCTC13441_03761	BW25113_0215	b0215	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rplA	LSU ribosomal protein L1P	-2.02953753452137	-0.672190430648732	-0.900699656274238	0.701307572246203	0.877741713920293	-0.173240462355687	0.40942583074986	-1.39441216605311	0.748438522522587	-0.038566180212825	0.771821874275608	-1.20129147816523	-1.47392387975918	4.5	ENC_01420	BN373_49771	ERS227112_01831	ROD_37681	SL1344_4089	SL3261_4089	STMMW_41031	STM_MW41031	SEN3934	t3477	EC958_5095	NCTC13441_04512	BW25113_3984	b3984	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
hda	DnaA regulatory inactivator Hda	-0.79555916718143	-0.769344014224836	0.6996844892868	2.08446029232319	2.01272653238792	2.17632269933125	2.02176928026884	0.882217413166908	1.94144131212489	0.446023774726528	-1.07887965252686	-0.600018958899771	-4.5	4.5	ENC_458added	BN373_34781	ERS227112_03760	ROD_24391	SL1344_2459	SL3261_2459	STMMW_25131	STM_MW25131	SEN2477	t0361	EC958_2801	NCTC13441_01244	BW25113_2496	b2496	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dnaB_2	Replicative DNA helicase	-4.5	X	2.32443228451081	X	X	X	X	X	X	X	1.74673278825936	1.81123089970116	X	X	ENC_326added	X	ERS227112_02853	X	X	X	X	X	X	X	EC958_2169	NCTC13441_01927	X	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0
lsrC	autoinducer 2 ABC transporter membrane protein	2.41093162274291	2.20952327563986	1.47784717971873	X	2.36776357773083	2.30424087179256	2.30994648654601	2.5973588095547	2.13271968170557	2.54688888981575	X	X	-0.150532850588195	4.5	ENC_33380	BN373_41681	ERS227112_01099	X	SL1344_4024	SL3261_4024	STMMW_40401	STM_MW40401	SEN3865	t3543	X	X	BW25113_1514	b1514	12	20	19	10	4	4	4	4	4	4	9	10	10	10	1	1	1	0	1	1	1	1	1	1	0	0	1	1
pdxH	Pyridoxamine 5'-phosphate oxidase	1.14105515151299	1.37399428657782	0.723116582209311	1.64545114013165	2.18917261309921	2.03727276563635	1.66091612891464	0.652411986725462	1.11009844098437	-0.681036321136649	1.60235267449992	0.479523329475851	1.17453031581646	4.5	ENC_13090	BN373_25571	ERS227112_04698	ROD_14291	SL1344_1380	SL3261_1380	STMMW_14511	STM_MW14511	SEN1599	t1316	EC958_1861	NCTC13441_02243	BW25113_1638	b1638	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
