STM_MW00461	riboflavin biosynthesis protein RibF
NCTC13441_03966	Isoleucine--tRNA ligase,isoleucyl-tRNA synthetase,Isoleucyl-tRNA synthetase,isoleucine--tRNA ligase,tRNA synthetases class I (I, L, M and V)
t4152	replicative DNA helicase
SL1344_2647	tRNA (guanine-N1) methyltransferase
SL3261_1631	enoyl-[acyl-carrier-protein
CS17_02625	3-oxoacyl-ACP synthase,3-oxoacyl-[acyl-carrier-protein
NCTC13441_00387	50S ribosomal protein L5,50S ribosomal protein L5,Ribosomal protein L5,ribosomal L5P family C-terminus
ENC_14130	phenylalanyl-tRNA synthetase beta subunit
BN373_09451	ferrochelatase
BN373_43421	ribosomal protein S8
NCTC13441_02794	Lipoprotein-releasing system transmembrane protein lolE,outer membrane-specific lipoprotein transporter subunit LolE,lipoprotein releasing system, transmembrane protein LolE,FtsX-like permease family
ETEC_3989	DNA gyrase subunit B
NCTC13441_03965	Lipoprotein signal peptidase,lipoprotein signal peptidase,signal peptidase II,Signal peptidase (SPase) II
ENC_26270	aspartate semialdehyde dehydrogenase
t2988	phosphoglycerate kinase
ERS227112_01537	ICORN_RH20207_annotate_bacteria_01537
CS17_04185	bifunctional protein GlmU [includes: UDP-N-acetylglucosamine pyrophosphorylase; glucosamine-1-phosphate N-acetyltransferase
STMMW_07111	DNA polymerase III, delta subunit
STM_MW34391	30S ribosomal subunit protein S7
BN373_27661	threonyl-tRNA synthetase
SL1344_3415	30S ribosomal subunit protein S12
BN373_09731	methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase
ENC_04150	glutamine--fructose-6-phosphate transaminase
NCTC13441_01127	Probable inorganic polyphosphate/ATP-NAD kinase,inorganic polyphosphate/ATP-NAD kinase,Predicted sugar kinase,ATP-NAD kinase
STM_MW16961	enoyl-[acyl-carrier-protein
ETEC_0179	DNA polymerase III alpha subunit
BN373_43431	ribosomal protein S14
SL1344_2646	50S ribosomal protein L19. Chloroplast 50S ribosomal protein L19.
SEN0125	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diami nopimelate--D-alan alanyl ligase
NCTC13441_03311	Glutamine--tRNA ligase,glutaminyl-tRNA synthetase,Glutamyl- and glutaminyl-tRNA synthetases,glutamine--tRNA ligase,tRNA synthetases class I (E and Q), catalytic domain
t2207	apolipoprotein N-acyltransferase
STM_MW01371	cell division protein FtsQ
STM_MW09731	outer membrane lipoprotein carrier protein precursor
NCTC13441_00912	Prolipoprotein diacylglyceryl transferase,prolipoprotein diacylglyceryl transferase,prolipoprotein diacylglyceryl transferase,Prolipoprotein diacylglyceryl transferase
STM_MW10041	KicA protein
BN373_05871	cell division protein FtsA
STMMW_26911	signal recognition particle protein
STMMW_24001	3-oxoacyl-[acyl-carrier-protein
ENC_46020	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentape ptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
NCTC13441_00043	Deoxyuridine 5'-triphosphate nucleotidohydrolase,deoxyuridine 5'-triphosphate nucleotidohydrolase,dUTP diphosphatase,dUTPase
BN373_06931	tRNA(Ile)-lysidine synthase
SEN4025	single-strand DNA-binding protein
ENC_25330	LSU ribosomal protein L4P
STM_MW32921	PGM/PMM-family protein
ROD_01851	lipid-A-disaccharide synthase
SL1344_3388	50S ribosomal subunit protein L15
BN373_33161	acetyl-CoA carboxylase, carboxyl transferase, beta subunit
STMMW_37201	deoxyuridine 5'-triphosphate nucleotidohydrolase
NCTC13441_01080	Alanine--tRNA ligase,alanyl-tRNA synthetase,Alanyl-tRNA synthetase,alanine--tRNA ligase,tRNA synthetases class II (A)
SL1344_3620	glycine-tRNA synthetase, beta subunit
BN373_32511	DNA gyrase, A subunit
ROD_00231	isoleucyl-tRNA synthetase
SL3261_0899	outer membrane lipoprotein carrier protein precursor
NCTC13441_03895	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase,Predicted glycosyl transferase,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,Glycosyltransferase family 28 N-terminal domain
STM_MW02381	acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
STM_MW43581	inorganic pyrophosphatase
ROD_00931	phospho-N-acetylmuramoyl-pentapeptide-transfera se
ROD_25121	GTP-binding protein
SEN0047	lipoprotein signal peptidase
BN373_49801	DNA-directed RNA polymerase, beta subunit
BN373_43451	ribosomal protein L24
STMMW_33061	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
ETEC_4489	10 kDa chaperonin
STM_MW34281	30S ribosomal subunit protein S19
STM_MW44211	valyl-tRNA synthetase
ERS227112_01310	ICORN_RH20207_annotate_bacteria_01310
SL1344_0482	ferrochelatase
NCTC13441_04664	Probable ubiquinone biosynthesis protein UbiB,putative ubiquinone biosynthesis protein UbiB,2-polyprenylphenol 6-hydroxylase,ABC1 family
ENC_46970	Undecaprenyl pyrophosphate synthetase
SEN3257	50S ribosomal subunit protein L24
ROD_01871	DNA polymerase III alpha subunit
ERS227112_02532	ICORN_RH20207_annotate_bacteria_02532
SL1344_0048	lipoprotein signal peptidase
ROD_00951	cell division protein FtsW
ENC_02190	transcription termination factor Rho
STMMW_33001	probable GTP-binding protein
STMMW_33781	biotin carboxylase
CS17_01842	riboflavin synthase subunit alpha,Riboflavin synthase alpha chain,riboflavin synthase subunit alpha,riboflavin synthase, alpha subunit,Lumazine binding domain
BN373_17281	lipoprotein releasing system, ATP-binding protein LolD
ERS227112_01911	ICORN_RH20207_annotate_bacteria_01911
CS17_03884	cell division protein FtsY,Cell division protein FtsY,signal recognition particle-docking protein FtsY,Signal recognition particle GTPase,signal recognition particle-docking protein FtsY,SRP54-type protein, GTPase domain
BN373_42451	ribosomal protein L27
SL1344_3400	50S ribosomal subunit protein L16
CS17_01388	glutamyl-tRNA reductase,Glutamyl-tRNA reductase,glutamyl-tRNA reductase,Glutamyl-tRNA reductase,glutamyl-tRNA reductase,Glutamyl-tRNAGlu reductase, N-terminal domain
STM_MW01391	cell division protein FtsZ
STMMW_32861	protein chain initiation factor 2
STMMW_42781	GroES protein
SEN0615	DNA polymerase III, delta subunit
ETEC_4245	50S ribosomal subunit protein L7/L12
BN373_37671	phosphopyruvate hydratase
SL1344_0901	seryl-tRNA synthetase
ENC_38910	acetyl-CoA carboxylase carboxyltransferase subunit alpha
BN373_43501	ribosomal protein S3
ENC_30230	CTP synthase
STM_MW35601	cell division protein
BN373_43641	ribosomal protein S12
t4586	probable DNA replication protein
BN373_35871	signal recognition particle protein
t4141	glycerol-3-phosphate acyltransferase
ERS227112_00884	ICORN_RH20207_annotate_bacteria_00884
ERS227112_02149	ICORN_RH20207_annotate_bacteria_02149
ROD_45211	50S ribosomal subunit protein L15
SL3261_0131	cell division protein FtsQ
ETEC_3571	50S ribosomal subunit protein L4
SEN1832	ABC transporter integral membrane subunit
ERS227112_02427	ICORN_RH20207_annotate_bacteria_02427
ETEC_1158	3-oxoacyl-[acyl-carrier protein
STMMW_43371	30s ribosomal subunit protein S18
SEN0123	penicillin-binding protein 3 precursor
ROD_50471	S-adenosylmethionine synthetase
STM_MW34081	DNA-directed RNA polymerase alpha chain
SEN3394	cell division protein
ERS227112_02035	ICORN_RH20207_annotate_bacteria_02035
SEN0046	isoleucyl-tRNA synthetase
ENC_06900	Inactive homolog of metal-dependent proteases, putative molecular chaperone
SEN3275	30S ribosomal subunit protein S7
STMMW_41061	DNA-directed RNA polymerase, beta-subunit
CS17_00646	DNA polymerase III subunit delta,DNA polymerase III subunit delta,DNA polymerase III subunit delta,DNA polymerase III, delta subunit,DNA polymerase III, delta subunit
ENC_25290	LSU ribosomal protein L22P
BN373_37541	cell division protein FtsB
CS17_00152	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)
SEN2768	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
SL3261_4266	GroES protein
t3787	deoxyuridine 5'-triphosphate nucleotidohydrolase
ETEC_3515	biotin carboxylase (acetyl-CoA carboxylase subunit A)
BN373_47711	UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase
STM_MW07111	DNA polymerase III, delta subunit
STM_MW36451	glycine-tRNA synthetase, alpha subunit
ETEC_4608	putative permease
BN373_46381	guanylate kinase
CS17_03752	50S ribosomal protein L2,50S ribosomal protein L2,50S ribosomal protein L2,Ribosomal protein L2,ribosomal protein L2,Ribosomal Proteins L2, C-terminal domain
ETEC_0461	protein-export protein
STMMW_01351	UDP-N-acetylmuramate:alanine ligase
SEN1332	enoyl-[acyl-carrier-protein
SEN0228	undecaprenyl pyrophosphate synthetase
STM_MW32871	L factor
ETEC_3710	cell division protein
SEN4228	valyl-tRNA synthetase
ETEC_3290	topoisomerase IV subunit A
SL3261_3691	phosphopantetheine adenylyltransferase
CS17_03744	50S ribosomal protein L24,50S ribosomal protein L24,50S ribosomal protein L24,ribosomal protein L24
ENC_22520	Adenylate kinase
SL1344_4083	pantothenate kinase
STMMW_02261	1-deoxy-D-xylulose 5-phosphate reductoisomerase
STM_MW04861	riboflavin biosynthesis protein RibD
t3778	5'guanylate kinase
SL1344_2544	signal peptidase I
BN373_43381	ribosomal protein L30
NCTC13441_00506	50S ribosomal protein L21,50S ribosomal protein L21,ribosomal protein L21,Ribosomal prokaryotic L21 protein
SL1344_3406	50S ribosomal subunit protein L4
SL1344_3277	octaprenyl-diphosphate synthase
STMMW_13451	PheRS
SL1344_4266	GroES protein
SEN0399	6,7-dimethyl-8-ribityllumazine synthase (riboflavin synthase beta chain)
SL1344_3395	50S ribosomal subunit protein L5
CS17_02955	inorganic polyphosphate/ATP-NAD kinase,Probable inorganic polyphosphate/ATP-NAD kinase,inorganic polyphosphate/ATP-NAD kinase,Predicted sugar kinase,ATP-NAD kinase
ETEC_1839	conserved hypothetical protein
SL3261_3392	50S ribosomal subunit protein L6
ENC_01410	LSU ribosomal protein L10P
ENC_47080	acetyl-CoA carboxylase carboxyltransferase subunit alpha
SEN3266	50S ribosomal subunit protein L23
SL3261_3804	DNA polymerase III beta-subunit
CS17_00102	dephospho-CoA kinase,Dephospho-CoA kinase,dephospho-CoA kinase,Dephospho-CoA kinase,dephospho-CoA kinase,Dephospho-CoA kinase
ERS227112_01835	ICORN_RH20207_annotate_bacteria_01835
t0429	cell division protein
ENC_08530	Enoyl-[acyl-carrier-protein
SL1344_1643	GTP cyclohydrolase II
SL1344_0930	KicA protein
SL3261_3168	3,4-dihydroxy-2-butanone 4-phosphate synthase
SL1344_4182	replicative DNA helicase
SEN2603	conserved hypothetical protein
ROD_18041	outer-membrane lipoprotein
NCTC13441_00509	GTP-binding protein Obg,GTPase CgtA,Predicted GTPase, probable translation factor,Obg family GTPase CgtA,GTP1/OBG
BN373_42461	ribosomal protein L21
NCTC13441_03791	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,acetyl-CoA carboxylase carboxyltransferase subunit alpha,Acetyl-CoA carboxylase, carboxyltransferase component (subunits alpha and beta),acetyl-CoA carboxylase, carboxyl transferase, alpha subunit,Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit
STMMW_17701	outer membrane lipoprotein
t4070	50S ribosomal subunit protein L22
ENC_15200	ABC-type transport system, involved in lipoprotein release, permease component
SL1344_3403	30S ribosomal subunit protein S19
SL1344_0232	DNA polymerase III, alpha chain
STMMW_34251	50S ribosomal subunit protein L16
SL3261_3265	PGM/PMM-family protein
SL3261_1132	3-oxoacyl-[acyl-carrier protein
SEN0124	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-dia minopim ligase
ENC_28120	Molecular chaperone GrpE (heat shock protein)
STM_MW22961	DNA gyrase subunit A
t4058	30S ribosomal subunit protein S7
ROD_00911	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-dia minopimelate ligase
NCTC13441_00393	50S ribosomal protein L30,50S ribosomal protein L30,ribosomal protein L30,Ribosomal protein L30p/L7e
NCTC13441_03894	UDP-N-acetylmuramate--L-alanine ligase,UDP-N-acetylmuramate--L-alanine ligase,Folylpolyglutamate synthase,UDP-N-acetylmuramate--alanine ligase,Mur ligase middle domain
ENC_31920	S-adenosylmethionine synthetase
SL3261_3401	30S ribosomal subunit protein S3
ETEC_0164	30S ribosomal protein S2
STMMW_00461	riboflavin biosynthesis protein RibF
ROD_45181	50S ribosomal subunit protein L18
ROD_06591	nicotinate-nucleotide adenylyltransferase
STMMW_13431	50S ribosomal subunit protein L20
STMMW_23871	folylpolyglutamate synthase
ROD_09831	tetraacyldisaccharide 4'-kinase (lipid A 4'-kinase)
SL3261_0922	tetraacyldisaccharide 4'-kinase
ROD_01801	outer membrane protein assembly factor
SL3261_0655	apolipoprotein N-acyltransferase
STM_MW44261	putative inner membrane protein
SL3261_0243	prolyl-tRNA synthetase
SL1344_1267	Threonyl-tRNA synthetase
CS17_00445	6,7-dimethyl-8-ribityllumazine synthase,6,7-dimethyl-8-ribityllumazine synthase,6,7-dimethyl-8-ribityllumazine synthase,6,7-dimethyl-8-ribityllumazine synthase,6,7-dimethyl-8-ribityllumazine synthase
BN373_45661	glycyl-tRNA synthetase, alpha subunit
ERS227112_04497	ICORN_RH20207_annotate_bacteria_04497
SL1344_2347	3-oxoacyl-[acyl-carrier-protein
ETEC_0180	acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
CS17_04288	ubiquinone biosynthesis protein,Probable ubiquinone biosynthesis protein UbiB,putative ubiquinone biosynthesis protein UbiB,2-polyprenylphenol 6-hydroxylase,ABC1 family
STM_MW37141	phosphopantetheine adenylyltransferase
CS17_04443	transcription antitermination protein NusG,Transcription antitermination protein nusG,transcription antitermination protein NusG,transcription termination/antitermination factor NusG,Transcription termination factor nusG
NCTC13441_04190	Valine--tRNA ligase,valyl-tRNA synthetase,Valyl-tRNA synthetase,valine--tRNA ligase,tRNA synthetases class I (I, L, M and V)
BN373_05951	dephospho-CoA kinase
BN373_12541	leucyl-tRNA synthetase
BN373_25831	riboflavin synthase, alpha subunit
ERS227112_01828	ICORN_RH20207_annotate_bacteria_01828
SL3261_0633	conserved hypothetical protein
ETEC_4240	preprotein translocase SecE subunit
SL1344_0655	apolipoprotein N-acyltransferase
ENC_28130	Predicted sugar kinase
ERS227112_00468	ICORN_RH20207_annotate_bacteria_00468
ETEC_4065	transcription termination factor
STM_MW34201	30S ribosomal subunit protein S14
STM_MW02271	undecaprenyl pyrophosphate synthetase
ETEC_0663	penicillin-binding protein 2
STMMW_01291	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-dia minopim ligase
ENC_04710	4-hydroxybenzoate octaprenyltransferase
SEN3926	UDP-N-acetylenolpyruvoylglucosamine reductase
ENC_23440	6,7-dimethyl-8-ribityllumazine synthase
CS17_02954	heat shock protein,Heat shock protein B25.3,heat shock protein GrpE,GrpE
ENC_46920	SSU ribosomal protein S2P
NCTC13441_02795	Lipoprotein-releasing system ATP-binding protein LolD,lipoprotein transporter ATP-binding subunit,Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, ATPase component,lipoprotein releasing system, ATP-binding protein,ABC transporter
STMMW_10041	KicA protein
ENC_27380	UDP-N-acetylmuramate dehydrogenase
ENC_20600	apolipoprotein N-acyltransferase
CS17_04434	UDP-N-acetylenolpyruvoylglucosamine reductase,UDP-N-acetylenolpyruvoylglucosamine reductase,UDP-N-acetylenolpyruvoylglucosamine reductase,UDP-N-acetylmuramate dehydrogenase,UDP-N-acetylenolpyruvoylglucosamine reductase,UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain
SEN1217	conserved hypothetical protein
t0280	holo-[acyl-carrier protein
CS17_00974	30S ribosomal protein S1,30S ribosomal protein S1,30S ribosomal protein S1,Cytidylate kinase,ribosomal protein S1,S1 RNA binding domain
ENC_46930	translation elongation factor Ts (EF-Ts)
SL1344_3405	50S ribosomal subunit protein L23
ENC_34950	rod shape-determining protein MreC
SL3261_0124	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diam i nopimelate--D-alan alanyl ligase
ROD_46201	putative organic solvent tolerance protein
t3380	transcription termination factor
SL1344_0124	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diam i nopimelate--D-alan alanyl ligase
BN373_15411	seryl-tRNA synthetase
STMMW_33181	probable ABC transport protein, ATP-binding component
SEN4308	probable DNA replication protein
SEN0224	Elongation factor Ts
SL3261_0636	leucyl-tRNA synthetase
SL1344_3413	elongation factor G
BN373_17061	acyl carrier protein
t2830	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
ERS227112_04699	ICORN_RH20207_annotate_bacteria_04699
ROD_09791	30S ribosomal protein S1
ERS227112_01281	ICORN_RH20207_annotate_bacteria_01281
ETEC_1697	riboflavin synthase alpha chain
STMMW_01371	cell division protein FtsQ
ENC_14140	phenylalanyl-tRNA synthetase, alpha subunit
NCTC13441_00124	Glycine--tRNA ligase alpha subunit,glycyl-tRNA synthetase subunit alpha,glycine--tRNA ligase, alpha subunit,Glycyl-tRNA synthetase alpha subunit
SL3261_4172	glycerol-3-phosphate acyltransferase
CS17_00093	cell division protein FtsQ,Cell division protein FtsQ,cell division protein FtsQ,Cell division protein FtsQ
BN373_43391	ribosomal protein S5
NCTC13441_00400	DNA-directed RNA polymerase subunit alpha,DNA-directed RNA polymerase subunit alpha,DNA-directed RNA polymerase, alpha subunit/40 kD subunit,DNA-directed RNA polymerase, alpha subunit,Bacterial RNA polymerase, alpha chain C terminal domain
t3205	L factor
STMMW_29151	2-phospho-D-glycerate hydro-lyase
BN373_47491	chromosomal replication initiator protein DnaA
ROD_46342	50S ribosomal subunit protein L21
ETEC_0581	bifunctional protein FolD [includes: methylenetetrahydrofolat dehydrogenase; methenyltetrahydrofolate cyclohydrolase
SL1344_2910	Cell division protein ftsB homolog.
SL3261_0184	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
STM_MW01291	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-dia minopim ligase
SEN0523	FolD bifunctional protein [includes: methylenetetrahydrofolate dehydrogenase; methenyltetrahydrofolate cyclohydrolase
STM_MW41961	replicative DNA helicase
STM_MW41051	50S ribosomal subunit protein L7/L12
BN373_36621	alanyl-tRNA synthetase
BN373_40881	1-acyl-sn-glycerol-3-phosphate acyltransferase
ERS227112_02437	ICORN_RH20207_annotate_bacteria_02437
NCTC13441_01027	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase,2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase,2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase,2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase,YgbB family
SEN0129	UDP-N-acetylglucosamine:N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
ROD_45031	50S ribosomal subunit protein L4
ROD_11541	malonyl CoA-acyl carrier protein transacylase
BN373_08551	riboflavin biosynthesis protein RibD
NCTC13441_04514	Transcription antitermination protein nusG,transcription antitermination protein NusG,transcription termination/antitermination factor NusG,Transcription termination factor nusG
t3479	transcription antitermination protein
SL3261_1358	riboflavin synthase alpha chain
ERS227112_00882	ICORN_RH20207_annotate_bacteria_00882
BN373_05861	cell division protein FtsQ
ENC_22180	methenyltetrahydrofolate cyclohydrolase /5,10-methylenetetrahydrofolate dehydrogenase (NADP+)
CS17_00087	phospho-N-acetylmuramoyl-pentapeptide- transferase,Phospho-N-acetylmuramoyl-pentapeptide-transferase,phospho-N-acetylmuramoyl-pentapeptide-transferase,phospho-N-acetylmuramoyl-pentapeptide-transferase,Glycosyl transferase family 4
SL3261_3400	50S ribosomal subunit protein L16
NCTC13441_03571	hypothetical protein,preprotein translocase subunit SecD,Predicted exporter,protein-export membrane protein SecD,Protein export membrane protein
t0275	signal peptidase I
SL1344_2931	Enolase
STM_MW27891	alanyl-tRNA synthetase
SEN3121	protein chain initiation factor 2
ETEC_4362	replicative DNA helicase
SL1344_4081	UDP-N-acetylenolpyruvoylglucosamine reductase
SL3261_3275	50S ribosomal subunit protein L27
ETEC_4663	DNA replication protein
ENC_30220	enolase
ERS227112_01707	ICORN_RH20207_annotate_bacteria_01707
SL1344_3392	50S ribosomal subunit protein L6
ERS227112_02426	ICORN_RH20207_annotate_bacteria_02426
ETEC_0467	riboflavin biosynthesis protein
t4079	30S ribosomal subunit protein S8
STM_MW14291	riboflavin synthase alpha chain
SEN3932	transcription antitermination protein
t0205	conserved hypothetical protein
BN373_15671	chromosome partition protein MukB
ROD_09821	lipid A export ATP-binding/permease protein
ERS227112_02008	ICORN_RH20207_annotate_bacteria_02008
STM_MW42061	single-strand DNA-binding protein
BN373_15581	tetraacyldisaccharide 4'-kinase
CS17_04156	inner membrane protein,Oxa1Ec,membrane protein insertase,membrane protein insertase, YidC/Oxa1 family, N-terminal domain,60Kd inner membrane protein
ROD_31171	alanyl-tRNA synthetase
SL3261_3290	conserved hypothetical protein
STM_MW25961	GTP-binding protein
ERS227112_03593	ICORN_RH20207_annotate_bacteria_03593
STMMW_39491	conserved hypothetical protein
ETEC_2525	cell division protein
SEN3214	biotin carboxylase
ENC_47000	outer membrane protein assembly complex, YaeT protein
STMMW_26871	50S ribosomal subunit protein L19
SL1344_2542	GTP-binding protein era homolog.
CS17_00085	UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase,UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase,Folylpolyglutamate synthase,UDP-N-acetylmuramyl-tripeptide synthetase,Mur ligase middle domain
SL3261_3291	probable ABC transport protein, ATP-binding component
STMMW_32951	cell division protein
ENC_32880	3,4-dihydroxy-2-butanone 4-phosphate synthase
BN373_40191	phosphoglycerate kinase
SL3261_2646	50S ribosomal protein L19. Chloroplast 50S ribosomal protein L19.
STMMW_33031	50S ribosomal subunit protein L21
STMMW_29631	prolipoprotein diacylglyceryl transferase
BN373_43341	30S ribosomal protein S11
CS17_00084	peptidoglycan synthetase FtsI,Peptidoglycan synthase FtsI precursor,peptidoglycan synthase FtsI,Membrane carboxypeptidase/penicillin-binding protein,stage V sporulation protein D,Penicillin binding protein transpeptidase domain
ERS227112_00869	ICORN_RH20207_annotate_bacteria_00869
STM_MW34221	50S ribosomal subunit protein L24
NCTC13441_00386	50S ribosomal protein L24,50S ribosomal protein L24,ribosomal protein L24
CS17_00438	protein-export protein,hypothetical protein,preprotein translocase subunit SecD,Predicted exporter,protein-export membrane protein SecD,Protein export membrane protein
SL3261_2654	heat shock protein GrpE (heat shock protein b25.3) (hsp24)
SL3261_0482	ferrochelatase
BN373_04391	DNA replication protein DnaC
SL1344_1705	Glutamyl-tRNA reductase
CS17_03856	aspartate-semialdehyde dehydrogenase,Aspartate-semialdehyde dehydrogenase,aspartate-semialdehyde dehydrogenase,Aspartate-semialdehyde dehydrogenase,aspartate-semialdehyde dehydrogenase,Semialdehyde dehydrogenase, dimerisation domain
NCTC13441_04251	30S ribosomal protein S18,30S ribosomal protein S18,Ribosomal protein S18,ribosomal protein S18,Ribosomal protein S18
ROD_37051	glycerol-3-phosphate acyltransferase
ENC_37210	Archaeal fructose-1,6-bisphosphatase and related enzymes of inositol monophosphatase family
SL3261_0233	acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
BN373_28321	ribose-phosphate pyrophosphokinase
SL3261_2241	DNA gyrase subunit A
STM_MW12261	ABC transporter integral membrane subunit
BN373_43401	ribosomal protein L18
SL3261_0921	probable transport ATP-binding protein MsbA
SL1344_3802	DNA gyrase subunit B
ROD_01771	undecaprenyl pyrophosphate synthetase
NCTC13441_03361	Rod shape-determining protein RodA,cell wall shape-determining protein,rod shape-determining protein RodA,Cell cycle protein
ETEC_0990	chromosome partition protein
STM_MW33031	50S ribosomal subunit protein L21
ERS227112_03109	ICORN_RH20207_annotate_bacteria_03109
SL1344_3275	50S ribosomal subunit protein L27
ROD_14071	riboflavin synthase alpha chain
t2219	leucyl-tRNA synthetase
ETEC_0088	UDP-N-acetylglucosamine--N-acetylmuramyl-(penta peptide pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
NCTC13441_00376	50S ribosomal protein L4,50S ribosomal protein L4,50S ribosomal protein L4,Ribosomal protein L4/L1 family
NCTC13441_03100	Serine--tRNA ligase,seryl-tRNA synthetase,Prolyl-tRNA synthetase,serine--tRNA ligase,tRNA synthetase class II core domain (G, H, P, S and T)
SEN0896	killing factor KicB
SL1344_3932	conserved hypothetical protein
NCTC13441_02492	DNA topoisomerase 1,DNA topoisomerase I subunit omega,Zn-finger domain associated with topoisomerase type I,DNA topoisomerase I,DNA topoisomerase
STMMW_16961	enoyl-[acyl-carrier-protein
ROD_33281	putative permease
ETEC_0667	nicotinate-nucleotide adenylyltransferase
ERS227112_00887	ICORN_RH20207_annotate_bacteria_00887
SL3261_2539	Holo-[acyl-carrier-protein
SL3261_3345	rod shape-determining protein
ENC_01700	3-octaprenyl-4hydroxybenzoate decarboxylase
STMMW_39431	ubiquinone biosynthesis protein
STMMW_34261	30S ribosomal subunit protein S3
SEN0144	conserved hypothetical protein
ERS227112_02718	ICORN_RH20207_annotate_bacteria_02718
ETEC_0983	tetraacyldisaccharide 4'-kinase (lipid A 4'-kinase)
CS17_00095	cell division protein FtsZ,Cell division protein FtsZ,cell division protein FtsZ,Cell division GTPase,cell division protein FtsZ,FtsZ family, C-terminal domain
NCTC13441_00395	hypothetical protein,preprotein translocase subunit SecY,Preprotein translocase subunit SecY,preprotein translocase, SecY subunit,SecY translocase
ETEC_3335	probable O-sialoglycoprotein endopeptidase (glycoprotease)
STM_MW02241	uridine 5'-monophosphate kinase
t1096	ribose-phosphate pyrophosphokinase
STMMW_34391	30S ribosomal subunit protein S7
STMMW_26971	conserved hypothetical protein
STMMW_34321	50S ribosomal subunit protein L3
STMMW_01391	cell division protein FtsZ
ERS227112_03939	ICORN_RH20207_annotate_bacteria_03939
ENC_22510	ferrochelatase
t0049	lipoprotein signal peptidase
NCTC13441_04445	Glycerol-3-phosphate acyltransferase,glycerol-3-phosphate acyltransferase,Glycerol-3-phosphate O-acyltransferase,glycerol-3-phosphate O-acyltransferase,Acyltransferase
SEN3363	aspartate-semialdehyde dehydrogenase
ENC_20710	nicotinate-nucleotide adenylyltransferase
ENC_02590	deoxyuridine 5'-triphosphate nucleotidohydrolase
STM_MW43371	30s ribosomal subunit protein S18
ENC_28060	tRNA (Guanine37-N(1)-) methyltransferase
NCTC13441_02974	Tetraacyldisaccharide 4'-kinase,tetraacyldisaccharide 4'-kinase,tetraacyldisaccharide 4'-kinase,Tetraacyldisaccharide-1-P 4'-kinase
t1934	asparaginyl-tRNA synthetase
ETEC_3549	30S ribosomal subunit protein S11
STM_MW32951	cell division protein
ROD_00941	UDP-N-acetylmuramoylalanine--D-glutamate ligase
t2321	methylenetetrahydrofolate dehydrogenase
ETEC_3573	30S ribosomal subunit protein S10
NCTC13441_01388	3-oxoacyl-[acyl-carrier-protein
SL1344_0233	acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
ERS227112_01833	ICORN_RH20207_annotate_bacteria_01833
SL3261_3506	aspartate-semialdehyde dehydrogenase
t3682	DNA polymerase III beta-subunit
ETEC_0087	cell division protein FtsW
SEN3547	phosphopantetheine adenylyltransferase
