ERS227112_00015	ICORN_RH20207_annotate_bacteria_00015
CS17_00236	phosphoheptose isomerase,Phosphoheptose isomerase,phosphoheptose isomerase,Uncharacterized protein containing SIS (Sugar ISomerase) phosphosugar binding domain,phosphoheptose isomerase,SIS domain
ERS227112_01432	ICORN_RH20207_annotate_bacteria_01432
t1061	cell division topological specificity factor
SL1344_0154	dihydrolipoamide dehydrogenase
NCTC13441_03817	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,MTA/SAH nucleosidase,Phosphorylase superfamily
ERS227112_02576	ICORN_RH20207_annotate_bacteria_02576
BN373_29031	cell division topological specificity factor MinE
ENC_40160	GTP cyclohydrolase I
NCTC13441_01145	hypothetical protein,outer membrane biogenesis protein BamD,DNA uptake lipoprotein,outer membrane assembly lipoprotein YfiO
STMMW_34241	30S ribosomal subunit protein S17
STM_MW07941	dihydrolipoamide succinyltransferase component (E2)
SL1344_2806	carbon storage regulator
ETEC_2687	cysteine desulfurase
SL3261_3373	polypeptide deformylase
STM_MW41021	50S ribosomal subunit protein L11
STMMW_26601	RNA polymerase sigma-E factor (sigma-24)
ETEC_0150	glutamate-1-semialdehyde 2,1-aminomutase
ENC_20820	lipoate synthase
ETEC_1811	glyceraldehyde 3-phosphate dehydrogenase A
ERS227112_00858	ICORN_RH20207_annotate_bacteria_00858
ENC_46870	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
SL3261_4325	primosomal replication protein N
SL1344_1172	Probable tRNA
NCTC13441_04666	Ubiquinone/menaquinone biosynthesis methyltransferase ubiE,ubiquinone/menaquinone biosynthesis methyltransferase,Predicted methyltransferase,ubiquinone/menaquinone biosynthesis methyltransferase,ubiE/COQ5 methyltransferase family
NCTC13441_01166	Sigma-24,RNA polymerase sigma factor AlgU,RNA polymerase sigma factor RpoE,Sigma-70, region 4
SEN3259	30S ribosomal subunit protein S17
ERS227112_00626	ICORN_RH20207_annotate_bacteria_00626
CS17_03072	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Uncharacterized protein family UPF0007
ROD_32551	30S ribosomal subunit protein S6
CS17_03495	30S ribosomal protein S21,30S ribosomal protein S21,30S ribosomal protein S21,ribosomal protein S21,Ribosomal protein S21
ENC_02270	protein translocase subunit secB
BN373_08581	thiamine-monophosphate kinase
ROD_11511	50S ribosomal protein L32
SL1344_4324	30s ribosomal protein S6
SEN0401	thiamine-monophosphate kinase
STMMW_32851	ribosome-binding factor A (P15B protein)
STM_MW25071	dihydrodipicolinate synthase
t1649	TonB protein
SEN2260	ribonucleoside-diphosphate reductase 1 beta chain
SEN2462	succinyl-diaminopimelate desuccinylase
SL1344_2505	Cysteine desulfurase
CS17_04286	ubiquinone/menaquinone biosynthesis methyltransferase,Ubiquinone/menaquinone biosynthesis methyltransferase ubiE,ubiquinone/menaquinone biosynthesis methyltransferase,Predicted methyltransferase,ubiquinone/menaquinone biosynthesis methyltransferase,ubiE/COQ5 methyltransferase family
SL1344_3677	ADP-heptose-LPS heptosyltransferase II
t2601	DNA polymerase III epsilon subunit
SEN3532	ADP-L-Glycero-D-mannoheptose-6-epimerase
STM_MW38881	ATP-dependent DNA helicase
ETEC_0744	cytochrome d ubiquinol oxidase subunit 2
CS17_00174	2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase,2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase,2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase,Tetrahydrodipicolinate N-succinyltransferase,2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase,Bacterial transferase hexapeptide (six repeats)
NCTC13441_00634	Dihydroneopterin aldolase,bifunctional dihydroneopterin aldolase/dihydroneopterin triphosphate 2'-epimerase,FolB domain,Dihydroneopterin aldolase
SL1344_3258	ribosome-binding factor A (P15B protein)
SL1344_0413	thiamine-monophosphate kinase
BN373_42271	ribosome-binding factor A
SL3261_3266	dihydropteroate synthase
ERS227112_02073	ICORN_RH20207_annotate_bacteria_02073
SEN2338	putative decarboxylase
ETEC_3323	bifunctional protein HldE [includes: D-beta-D-heptose 7-phosphate kinase; D-beta-D-heptose 1-phosphate adenosyltransferase
STMMW_10971	putative sulfite reductase
SL1344_0624	conserved hypothetical protein
BN373_45951	protein-export chaperone SecB
ROD_43611	RNA polymerase sigma-32 factor
t3126	dihydroneopterin aldolase
ROD_00101	chaperone protein DnaK (heat shock protein 70)
t4382	GroEL protein
STM_MW22251	GTP cyclohydrolase I
CS17_04229	ATP-dependent DNA helicase,ATP-dependent DNA helicase rep,ATP-dependent DNA helicase Rep,Superfamily I DNA and RNA helicases,ATP-dependent DNA helicase Rep,UvrD/REP helicase
STMMW_07971	cytochrome D ubiquinol oxidase subunit I
t4511	DNA polymerase III, chi subunit
ETEC_4060	ATP-dependent DNA helicase
ROD_09861	3-deoxy-manno-octulosonate cytidylyltransferase
STMMW_23021	ribonucleoside-diphosphate reductase 1 beta chain
t3384	ATP-dependent DNA helicase
ETEC_3491	30S ribosomal subunit protein S9
ROD_45111	30S ribosomal subunit protein S17
t2135	cytochrome d ubiquinol oxidase subunit II
ETEC_0013	chaperone protein DnaK (heat shock protein 70)
SEN0293	Phosphoheptose isomerase
NCTC13441_00351	tRNA 2-thiouridine synthesizing protein C,sulfur relay protein TusC,Uncharacterized protein involved in the oxidation of intracellular sulfur,sulfur relay protein TusC/DsrF,DsrE/DsrF-like family
STMMW_04891	thiamine-monophosphate kinase
ETEC_3464	putative organic solvent tolerance protein
ENC_25010	peptide deformylase
NCTC13441_03865	Dihydrolipoyl dehydrogenase,dihydrolipoamide dehydrogenase,Uncharacterized conserved protein,dihydrolipoyl dehydrogenase,Pyridine nucleotide-disulphide oxidoreductase
SL1344_0675	ferric uptake regulation protein
SL1344_0153	dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase
SL1344_3665	serine acetyltransferase
ENC_39600	ribonucleoside-diphosphate reductase class Ia beta subunit
SL1344_3033	2-octaprenyl-6-methoxyphenol hydroxylase
SL1344_0529	peptidyl-prolyl cis-trans isomerase B
SL1344_1128	50S ribosomal protein L32. Chloroplast 50S ribosomal protein L32.
CS17_04679	30S ribosomal protein S6,30S ribosomal protein S6,30S ribosomal protein S6,ribosomal protein S6,Ribosomal protein S6
STM_MW12441	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
STM_MW03211	phosphoheptose isomerase
SEN0212	MTA/SAH nucleosidase
CS17_04263	diaminopimelate epimerase,Diaminopimelate epimerase,diaminopimelate epimerase,Diaminopimelate epimerase,diaminopimelate epimerase,Diaminopimelate epimerase
NCTC13441_02028	Lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase,lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase,Lauroyl/myristoyl acyltransferase,lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase,Bacterial lipid A biosynthesis acyltransferase
ERS227112_04291	ICORN_RH20207_annotate_bacteria_04291
NCTC13441_03367	Lipoyl synthase,lipoyl synthase,lipoyl synthase,Radical SAM superfamily
NCTC13441_01258	Succinyl-diaminopimelate desuccinylase,succinyl-diaminopimelate desuccinylase,Metal-dependent amidase/aminoacylase/carboxypeptidase,succinyl-diaminopimelate desuccinylase,Peptidase family M20/M25/M40
NCTC13441_04497	Uroporphyrinogen decarboxylase,uroporphyrinogen decarboxylase,Uroporphyrinogen-III decarboxylase,uroporphyrinogen decarboxylase,Uroporphyrinogen decarboxylase (URO-D)
BN373_06731	methionine aminopeptidase, type I
ERS227112_02520	ICORN_RH20207_annotate_bacteria_02520
SEN0690	cytochrome d ubiquinol oxidase subunit I
CS17_00030	dihydrodipicolinate reductase,Dihydrodipicolinate reductase,dihydrodipicolinate reductase,Dihydrodipicolinate reductase,dihydrodipicolinate reductase,Dihydrodipicolinate reductase, C-terminus
SEN3718	ATP-dependent DNA helicase
SEN3533	ADP-heptose-LPS heptosyltransferase II
SEN3744	diaminopimelate epimerase
ERS227112_03176	ICORN_RH20207_annotate_bacteria_03176
ENC_17660	Uncharacterized conserved protein
STM_MW06041	peptidyl-prolyl cis-trans isomerase B
SL1344_3373	polypeptide deformylase
STMMW_42791	GroEL protein
SL3261_3033	2-octaprenyl-6-methoxyphenol hydroxylase
NCTC13441_03810	Methionine aminopeptidase,methionine aminopeptidase,Xaa-Pro aminopeptidase,methionine aminopeptidase, type I,Metallopeptidase family M24
BN373_35561	RNA polymerase sigma factor RpoE
STM_MW18701	lipid A acyltransferase
BN373_46041	ADP-glyceromanno-heptose 6-epimerase
SL3261_3666	glycerol-3-phosphate dehydrogenase
ENC_08110	outer membrane transport energization protein TonB (TC 2.C.1.1.1)
ETEC_3864	ADP-heptose:LPS heptosyl transferase I
CS17_01349	cell division topological specificity factor MinE,Cell division topological specificity factor,cell division topological specificity factor MinE,cell division topological specificity factor MinE,Septum formation topological specificity factor MinE
NCTC13441_02823	50S ribosomal protein L32,50S ribosomal protein L32,ribosomal protein L32,Ribosomal L32p protein family
SEN3934	50S ribosomal subunit protein L1
ENC_37250	FeS cluster assembly scaffold IscU
ROD_07281	cytochrome d ubiquinol oxidase subunit 2
NCTC13441_03761	DNA polymerase III subunit epsilon,DNA polymerase III subunit epsilon,exonuclease, DNA polymerase III, epsilon subunit family,Exonuclease
CS17_03014	carbon storage regulator,Carbon storage regulator,carbon storage regulator,carbon storage regulator,Global regulator protein family
CS17_00447	thiamine-monophosphate kinase,Thiamine-monophosphate kinase,thiamine monophosphate kinase,Hydrogenase maturation factor,thiamine-monophosphate kinase,AIR synthase related protein, N-terminal domain
ROD_33251	DNA polymerase III, chi subunit
SEN0602	lipoic acid synthetase
STMMW_09991	3-deoxy-manno-octulosonate cytidylyltransferase
SL1344_1176	isocitrate dehydrogenase
SEN2596	16S rRNA processing protein
STMMW_41871	LexA repressor
CS17_00013	chaperone protein DnaK (Heat shock protein 70) (Heat shock 70 kDaprotein) (HSP70),Heat shock protein 70,molecular chaperone DnaK,Ethanolamine utilization protein, possible chaperonin,chaperone protein DnaK,Hsp70 protein
BN373_35721	outer membrane assembly lipoprotein YfiO
ERS227112_02458	ICORN_RH20207_annotate_bacteria_02458
BN373_43651	protein TusB
ROD_38111	primosomal protein replication factor
ENC_34120	Dihydropteroate synthase
ERS227112_00899	ICORN_RH20207_annotate_bacteria_00899
SL3261_3316	30S ribosomal subunit protein S9
ERS227112_03129	ICORN_RH20207_annotate_bacteria_03129
STMMW_02131	MTA/SAH nucleosidase
ERS227112_03483	ICORN_RH20207_annotate_bacteria_03483
BN373_32241	ribosomal L25p family
STMMW_26791	putative lipoprotein
ETEC_1278	Cell division topological specificity factor
STMMW_35571	RNA polymerase sigma-32 factor
ETEC_3851	glycerol-3-phosphate dehydrogenase
STM_MW26891	16S rRNA processing protein
STM_MW31611	ADP-heptose synthase
NCTC13441_04513	50S ribosomal protein L11,50S ribosomal protein L11,ribosomal protein L11,Ribosomal protein L11, N-terminal domain
STM_MW41031	50S ribosomal subunit protein L1
ERS227112_00039	ICORN_RH20207_annotate_bacteria_00039
ERS227112_02290	ICORN_RH20207_annotate_bacteria_02290
CS17_04462	uroporphyrinogen decarboxylase,Uroporphyrinogen decarboxylase,uroporphyrinogen decarboxylase,Uroporphyrinogen-III decarboxylase,uroporphyrinogen decarboxylase,Uroporphyrinogen decarboxylase (URO-D)
ENC_24690	phosphoheptose isomerase
CS17_01227	50S ribosomal protein L32,50S ribosomal protein L32,50S ribosomal protein L32,ribosomal protein L32,Ribosomal L32p protein family
ROD_04141	delta-aminolevulinic acid dehydratase
CS17_00724	2-oxoglutarate dehydrogenase E1 component,2-oxoglutarate dehydrogenase E1 component,2-oxoglutarate dehydrogenase E1 component,oxoglutarate dehydrogenase (succinyl-transferring), E1 component,Transketolase, pyrimidine binding domain
CS17_03488	bifunctional dihydroneopterin aldolase/dihydroneopterin triphosphate 2'-epimerase,Dihydroneopterin aldolase,bifunctional dihydroneopterin aldolase/dihydroneopterin triphosphate 2'-epimerase,FolB domain,Dihydroneopterin aldolase
STM_MW44901	primosomal protein I
ETEC_3862	ADP-L-glycero-D-manno-heptose-6-epimerase
ETEC_0111	dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase
ENC_02400	lipopolysaccharide heptosyltransferase I
NCTC13441_00849	2-octaprenyl-6-methoxyphenol hydroxylase,2-octaprenyl-6-methoxyphenyl hydroxylase,2-polyprenyl-6-methoxyphenol 4-hydroxylase,FAD binding domain
STMMW_40601	primosomal protein replication factor
BN373_49761	ribosomal protein L11
CS17_03161	thymidylate synthetase,Thymidylate synthase,thymidylate synthase,thymidylate synthase,Thymidylate synthase
ENC_46270	pyruvate dehydrogenase E1 component, homodimeric type
ROD_12261	isocitrate dehydrogenase [NADP
ETEC_4257	uroporphyrinogen decarboxylase
ENC_36870	RNA polymerase, sigma-24 subunit, RpoE
ENC_33100	SSU ribosomal protein S21P
t2231	conserved hypothetical protein
SL3261_2505	Cysteine desulfurase
ERS227112_00352	ICORN_RH20207_annotate_bacteria_00352
SEN4158	primosomal replication protein N
SL3261_1176	isocitrate dehydrogenase
STM_MW23021	ribonucleoside-diphosphate reductase 1 beta chain
t4074	30S ribosomal subunit protein S17
ETEC_0986	3-deoxy-manno-octulosonate cytidylyltransferase
ETEC_2786	RNA polymerase sigma-E factor (sigma-24)
ENC_34730	SSU ribosomal protein S9P
ROD_01221	dihydrolipoyl dehydrogenase (E3 component of pyruvate and 2-oxoglutarate dehydrogenase complexes)
ETEC_0112	dihydrolipoyl dehydrogenase (E3 component of pyruvate and 2-oxoglutarate dehydrogenase complexes)
t0376	succinyldiaminopimelate desuccinylase
CS17_00731	cytochrome d ubiquinol oxidase subunit 1,Cytochrome d ubiquinol oxidase subunit 1,cytochrome d terminal oxidase subunit 1,Bacterial Cytochrome Ubiquinol Oxidase
STMMW_02191	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase
t0160	dihydrolipoamide dehydrogenase
ERS227112_05458	ICORN_RH20207_annotate_bacteria_05458
NCTC13441_03338	Probable rRNA maturation factor YbeY,metal-binding heat shock protein,metalloprotein, YbeY/UPF0054 family,Uncharacterized protein family UPF0054
ERS227112_02720	ICORN_RH20207_annotate_bacteria_02720
ROD_12231	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
SEN0657	ferric uptake regulation protein
ENC_23910	porphobilinogen synthase
ERS227112_01903	ICORN_RH20207_annotate_bacteria_01903
ETEC_2583	dihydrodipicolinate synthase
CS17_00126	dihydrolipoamide dehydrogenase,Dihydrolipoyl dehydrogenase,dihydrolipoamide dehydrogenase,Uncharacterized conserved protein,dihydrolipoyl dehydrogenase,Pyridine nucleotide-disulphide oxidoreductase
SL1344_3398	30S ribosomal subunit protein S17
ENC_23390	farnesyl-diphosphate synthase
STM_MW36991	ADP-L-Glycero-D-mannoheptose-6-epimerase
ENC_28070	16S rRNA processing protein RimM
SL3261_4088	50S ribosomal subunit protein L11
t3819	glycerol-3-phosphate dehydrogenase
BN373_49771	ribosomal protein L1
t2325	peptidyl-prolyl cis-trans isomerase B
ENC_02250	serine O-acetyltransferase
SEN2217	50s ribosomal protein L25
SEN4229	DNA polymerase III, chi subunit
STM_MW02631	DNA polymerase III epsilon subunit
ROD_24271	dihydrodipicolinate synthase
ENC_43000	ribosomal protein S6
ROD_06491	conserved hypothetical protein
NCTC13441_04443	LexA repressor,LexA repressor,repressor LexA,LexA DNA binding domain
NCTC13441_03262	Cytochrome d ubiquinol oxidase subunit 1,cytochrome d terminal oxidase subunit 1,Bacterial Cytochrome Ubiquinol Oxidase
STMMW_33431	30S ribosomal subunit protein S9
ETEC_0031	dihydrodipicolinate reductase
ROD_23161	50S ribosomal protein L25
BN373_15611	3-deoxy-D-manno-octulosonate cytidylyltransferase
BN373_38661	thymidylate synthase
ENC_22230	cysteinyl-tRNA synthetase
BN373_13101	cytochrome d ubiquinol oxidase, subunit I
NCTC13441_04034	Primosomal protein I,primosomal protein DnaI,Pyocin large subunit
t0208	MTA/SAH nucleosidase
NCTC13441_01206	Cysteine desulfurase,cysteine desulfurase,Uncharacterized protein conserved in bacteria,cysteine desulfurase IscS,Aminotransferase class-V
SL1344_3676	ADP-L-Glycero-D-mannoheptose-6-epimerase
NCTC13441_00074	Protein-export protein SecB,preprotein translocase subunit SecB,protein-export chaperone SecB,Preprotein translocase subunit SecB
ERS227112_03611	ICORN_RH20207_annotate_bacteria_03611
ERS227112_03767	ICORN_RH20207_annotate_bacteria_03767
NCTC13441_00065	ADP-L-glycero-D-manno-heptose-6-epimerase,ADP-L-glycero-D-mannoheptose-6-epimerase,Lipid A core - O-antigen ligase and related enzymes,ADP-glyceromanno-heptose 6-epimerase,NAD dependent epimerase/dehydratase family
ROD_01691	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase
BN373_12671	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase
t2140	2-oxoglutarate dehydrogenase E1 component
STM_MW18081	cell division topological specificity factor
ERS227112_01801	ICORN_RH20207_annotate_bacteria_01801
SEN3391	RNA polymerase sigma-32 factor
STM_MW07361	putative monooxygenase
NCTC13441_02101	Glyceraldehyde-3-phosphate dehydrogenase A,glyceraldehyde-3-phosphate dehydrogenase A,Transketolase,glyceraldehyde-3-phosphate dehydrogenase, type I,Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain
ERS227112_00749	ICORN_RH20207_annotate_bacteria_00749
t4143	LexA repressor
ROD_44751	tRNA 2-thiouridine synthesizing protein c
ROD_46441	dihydropteroate synthase
CS17_04829	primosomal protein I,Primosomal protein I,primosomal protein DnaI,Pyocin large subunit
t3327	ubiquinone/menaquinone biosynthesis methyltransferase UbiE
ENC_37950	dihydrodipicolinate synthase
BN373_06081	pyruvate dehydrogenase (acetyl-transferring), homodimeric type
ROD_45931	30S ribosomal subunit protein S9
SEN3885	primosomal protein replication factor
t2444	thiamine-monophosphate kinase
ERS227112_03175	ICORN_RH20207_annotate_bacteria_03175
BN373_49541	ubiquinone/menaquinone biosynthesis methyltransferase UbiE
SEN1320	cys regulon transcriptional activator
ENC_06400	lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase
STMMW_22251	GTP-CH-I
NCTC13441_00469	30S ribosomal protein S9,30S ribosomal protein S9,Ribosomal protein S9,archaeal ribosomal protein S9P,Ribosomal protein S9/S16
SL1344_2396	pts system, glucose-specific IIA component
t3350	diaminopimelate epimerase
STM_MW17321	TonB protein
SEN3234	polypeptide deformylase
STM_MW09981	conserved hypothetical protein
STMMW_23781	putative decarboxylase
ENC_17950	ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydD
STMMW_36991	ADP-L-Glycero-D-mannoheptose-6-epimerase
ETEC_3336	30S ribosomal subunit protein S21
SL3261_3398	30S ribosomal subunit protein S17
STM_MW24521	pts system, glucose-specific IIA component
STM_MW44221	DNA polymerase III, chi subunit
SEN1221	cell division topological specificity factor
ETEC_3716	sulfurtransferase (tRNA 2-thiouridine synthesizin protein A)
ROD_01201	pyruvate dehydrogenase E1 component
SL3261_3416	conserved hypothetical protein
STM_MW39181	diaminopimelate epimerase
SL1344_0895	transport ATP-binding protein CydD
STMMW_12441	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
t4442	30s ribosomal protein S6
ETEC_2708	serine hydroxymethyltransferase
ENC_06940	cell division topological specificity factor MinE
NCTC13441_03270	2-oxoglutarate dehydrogenase E1 component,2-oxoglutarate dehydrogenase E1 component,oxoglutarate dehydrogenase (succinyl-transferring), E1 component,Transketolase, pyrimidine binding domain
STM_MW09691	transport ATP-binding protein CydD
SL1344_2909	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
ROD_04701	geranyltranstransferase
SL3261_0530	cysteinyl-tRNA synthetase
SL1344_0621	lipoic acid synthetase
SL1344_0152	pyruvate dehydrogenase E1 component
ERS227112_01551	ICORN_RH20207_annotate_bacteria_01551
ENC_34050	ribosome-binding factor A
SEN0517	peptidyl-prolyl cis-trans isomerase B
ETEC_1377	cys regulon transcriptiona activator
ETEC_3014	thymidylate synthase
t2727	carbon storage regulator
t0424	glucose-specific IIA component of PTS system
STM_MW27881	carbon storage regulator
SEN0861	transport ATP-binding protein CydD
STMMW_02211	methionine aminopeptidase
STMMW_17081	cys regulon transcriptional activator
t0313	putative L-cysteine desulfurase
CS17_01032	Sulfurtransferase tusE,Sulfurtransferase TusE,sulfur transfer protein TusE,sulfur relay protein, TusE/DsrC/DsvC family,DsrC like protein
ETEC_4664	primosomal protein I
NCTC13441_02927	Sulfurtransferase TusE,sulfur transfer protein TusE,sulfur relay protein, TusE/DsrC/DsvC family,DsrC like protein
ROD_41981	ADP-L-glycero-D-manno-heptose-6-epimerase
SL3261_3665	serine acetyltransferase
ETEC_2288	GTP cyclohydrolase I
SL1344_3872	ATP-dependent DNA helicase
ENC_25250	30S ribosomal protein S17
t3234	possible exported protein
ETEC_4490	60 Kda chaperonin
STMMW_07331	conserved hypothetical protein
ETEC_0423	delta-aminolevulinic acid dehydratase
STM_MW07511	ferric uptake regulation protein
ERS227112_01633	ICORN_RH20207_annotate_bacteria_01633
SL1344_1225	glyceraldehyde 3-phosphate dehydrogenase A
ENC_20040	cytochrome bd quinol oxidase subunit 2 apoprotein
ETEC_0470	thiamine-monophosphate kinase
STMMW_25021	succinyl-diaminopimelate desuccinylase
BN373_16191	sulfurtransferase TusE
BN373_48631	primosomal protein N'
t3820	serine acetyltransferase
STM_MW17081	cys regulon transcriptional activator
STM_MW01581	pyruvate dehydrogenase E1 component
CS17_03641	putative organic solvent tolerance protein,Lipopolysaccharide export system protein lptC,lipopolysaccharide exporter periplasmic protein,Uncharacterized protein conserved in bacteria,Lipopolysaccharide-assembly, LptC-related
BN373_09711	cysteinyl-tRNA synthetase
STMMW_36871	serine acetyltransferase
SL3261_0121	cell division protein FtsL
ROD_25581	16S rRNA processing protein
SL3261_0154	dihydrolipoamide dehydrogenase
ETEC_0578	cysteinyl-tRNA synthetase
STMMW_07511	ferric uptake regulation protein
ROD_46211	putative organic solvent tolerance protein
BN373_07201	phosphoheptose isomerase
ROD_06461	lipoic acid synthetase
ENC_01980	diaminopimelate epimerase
ENC_08340	Transcriptional regulator
ERS227112_02424	ICORN_RH20207_annotate_bacteria_02424
SEN0518	cysteinyl-tRNA synthetase
ENC_01260	uroporphyrinogen decarboxylase
STMMW_25601	putative L-cysteine desulfurase
BN373_18191	gIyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
NCTC13441_00239	Heat shock regulatory protein F33.4,RNA polymerase factor sigma-32,alternative sigma factor RpoH,Sigma-70 region 2
STMMW_32931	dihydropteroate synthase
NCTC13441_04512	50S ribosomal protein L1,50S ribosomal protein L1,ribosomal protein L1,Ribosomal protein L1p/L10e family
t0988	lipid A acyltransferase
SL3261_1128	50S ribosomal protein L32. Chloroplast 50S ribosomal protein L32.
CS17_04056	serine acetyltransferase,Serine acetyltransferase,serine acetyltransferase,Acetyltransferase (isoleucine patch superfamily),serine O-acetyltransferase,Serine acetyltransferase, N-terminal
ENC_45950	cell division protein FtsL
t3260	30S ribosomal subunit protein S9
t0158	pyruvate dehydrogenase E1 component
STM_MW35671	conserved hypothetical protein
ENC_02380	ADP-L-glycero-D-manno-heptose-6-epimerase
CS17_00725	dihydrolipoamide succinyltransferase component (E2),Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,dihydrolipoamide succinyltransferase,Acetyl/propionyl-CoA carboxylase, alpha subunit,dihydrolipoyllysine-residue succinyltransferase, E2 component of oxoglutarate dehydrogenase (succinyl-transferring) complex,2-oxoacid dehydrogenases acyltransferase (catalytic domain)
SL1344_3901	diaminopimelate epimerase
STMMW_09691	transport ATP-binding protein CydD
t3807	lipopolysaccharide heptosyltransferase-1
STMMW_30171	2-octaprenyl-6-methoxyphenol hydroxylase
BN373_35851	16S rRNA processing protein RimM
ENC_17650	3-deoxy-D-manno-octulosonate cytidylyltransferase
BN373_29561	lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase
SL1344_0224	hypothetical membrane protein
STMMW_35671	conserved hypothetical protein
STM_MW31701	30S ribosomal subunit protein S21
ROD_37691	50S ribosomal subunit protein L11
CS17_00552	cysteinyl-tRNA synthetase,Cysteine--tRNA ligase,cysteinyl-tRNA synthetase,Cysteinyl-tRNA synthetase,cysteine--tRNA ligase,tRNA synthetases class I (C) catalytic domain
NCTC13441_00384	30S ribosomal protein S17,30S ribosomal protein S17,30S ribosomal protein S17,Ribosomal protein S17
ETEC_1154	50S ribosomal protein L32
t0159	dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase
NCTC13441_03606	Delta-aminolevulinic acid dehydratase,delta-aminolevulinic acid dehydratase,Delta-aminolevulinic acid dehydratase,Delta-aminolevulinic acid dehydratase
ERS227112_02570	ICORN_RH20207_annotate_bacteria_02570
NCTC13441_04565	Primosomal protein N',primosome assembly protein PriA,ATP-dependent protease HslVU (ClpYQ), peptidase subunit,primosomal protein N',DEAD/DEAH box helicase
ETEC_4298	LexA repressor
ROD_37551	uroporphyrinogen decarboxylase
CS17_00225	DNA polymerase III subunit epsilon,DNA polymerase III subunit epsilon,DNA polymerase III subunit epsilon,exonuclease, DNA polymerase III, epsilon subunit family,Exonuclease
SEN2468	Dihydrodipicolinate synthase
SL3261_0529	peptidyl-prolyl cis-trans isomerase B
ERS227112_03432	ICORN_RH20207_annotate_bacteria_03432
ENC_27930	outer membrane assembly lipoprotein YfiO
SEN3278	conserved hypothetical protein
SL3261_2806	carbon storage regulator
ETEC_0737	dihydrolipoamide succinyltransferase component (E2)
SEN2843	thymidylate synthetase
SL1344_2517	serine hydroxymethyltransferase
ETEC_3329	dihydroneopterin aldolase
t4055	conserved hypothetical protein
ROD_28691	thymidylate synthase
SL3261_3543	conserved hypothetical protein
NCTC13441_02776	Isocitrate dehydrogenase [NADP
ERS227112_02833	ICORN_RH20207_annotate_bacteria_02833
STM_MW25601	putative L-cysteine desulfurase
ROD_49261	2-octaprenyl-6-methoxyphenol hydroxylase
ERS227112_00054	ICORN_RH20207_annotate_bacteria_00054
SL1344_3924	ubiquinone/menaquinone biosynthesis methyltransferase UbiE
ERS227112_01831	ICORN_RH20207_annotate_bacteria_01831
SEN0230	putative membrane protein
ROD_04661	thiamine-monophosphate kinase
ERS227112_03614	ICORN_RH20207_annotate_bacteria_03614
NCTC13441_03960	Dihydrodipicolinate reductase,dihydrodipicolinate reductase,Dihydrodipicolinate reductase,dihydrodipicolinate reductase,Dihydrodipicolinate reductase, C-terminus
STMMW_07981	cytochrome D ubiquinol oxidase subunit II
ENC_25420	sulfur relay protein TusB/DsrH
BN373_17611	isocitrate dehydrogenase, NADP-dependent
SL1344_0723	cytochrome d ubiquinol oxidase subunit II
STM_MW22551	50s ribosomal protein L25
ROD_37031	LexA repressor
STMMW_07941	dihydrolipoamide succinyltransferase component (E2)
STM_MW39411	ubiquinone/menaquinone biosynthesis methyltransferase UbiE
BN373_49041	ATP-dependent DNA helicase Rep
BN373_32541	ribonucleoside-diphosphate reductase, beta subunit
SL1344_0718	2-oxoglutarate dehydrogenase E1 component
