CS17_00008	transaldolase B,Transaldolase,transaldolase B,Transaldolase,transaldolase,Transaldolase
CS17_03106	small protein involved in the cell envelope stress response,hypothetical protein
CS17_03107	protein,Domain of unknown function (DUF477)
CS17_03108	enolase,Enolase,enolase,L-alanine-DL-glutamate epimerase and related enzymes of enolase superfamily,phosphopyruvate hydratase,Enolase, C-terminal TIM barrel domain
CS17_03109	CTP synthetase,CTP synthase,CTP synthetase,Carbamoylphosphate synthase small subunit,CTP synthase,CTP synthase N-terminus
CS17_03115	two-component sensor kinase/response regulator,Signal transduction histidine-protein kinase BarA,hybrid sensory histidine kinase BarA,Uncharacterized domain of BarA-like signal transduction histidine kinases,TMAO reductase sytem sensor TorS,Uncharacterized signal transduction histidine kinase domain (DUF2222)
CS17_03161	thymidylate synthetase,Thymidylate synthase,thymidylate synthase,thymidylate synthase,Thymidylate synthase
CS17_03162	prolipoprotein diacylglyceryl transferase,Prolipoprotein diacylglyceryl transferase,prolipoprotein diacylglyceryl transferase,prolipoprotein diacylglyceryl transferase,Prolipoprotein diacylglyceryl transferase
CS17_03168	lipoprotein,Uncharacterized lipoprotein ygdR precursor,Bacterial protein of unknown function (DUF903)
CS17_03182	membrane protein,Inner membrane transport protein YqeG,threonine/serine transporter TdcC,serine transporter,Tryptophan/tyrosine permease family
CS17_03183	bipartite regulator domain
CS17_03184	hypothetical protein
CS17_03186	FidL-like protein
CS17_03187	small stress response protein,hypothetical protein
CS17_03188	hypothetical protein
CS17_03189	hypothetical protein
CS17_03190	type III secretion-associated chaperone,Salmonella invasin chaperone,chaperone protein SicA,type III secretion low calcium response chaperone LcrH/SycD,Tetratricopeptide repeat
CS17_03191	putative invasion genes regulator,transcriptional regulator,Transcriptional regulatory protein, C terminal
CS17_03192	hypothetical protein
CS17_03193	peptidoglycan-binding-like protein precursor,invasion protein IagB,Transglycosylase SLT domain
CS17_03194	putative 2-component transcriptional regulator,Virulence factors putative positive transcription regulator BvgA,two component system sensor kinase SsrB,Response regulator,transcriptional regulator EpsA,Bacterial regulatory proteins, luxR family
CS17_03195	response regulator protein
CS17_03196	putative oxygen-regulated invasion protein,invasion protein OrgB
CS17_03197	putative oxygen-regulated invasion protein,Oxygen-regulated invasion protein OrgA,invasion protein OrgA,type III secretion apparatus protein OrgA/MxiK,Bacterial type III secretion apparatus protein (OrgA_MxiK)
CS17_03198	type III secretion system protein,Lipoprotein prgK precursor,type III secretion system lipoprotein PrgK,Type III secretory pathway, lipoprotein EscJ,type III secretion apparatus lipoprotein, YscJ/HrcJ family,Secretory protein of YscJ/FliF family
CS17_03199	type III secretion protein EprJ
CS17_03200	Type III secretion EprI protein,hypothetical protein,type III secretion system needle complex protein PrgI,type III secretion apparatus needle protein
CS17_03201	Type III secretion EprH protein,hypothetical protein,type III secretion system needle complex protein PrgH,type III secretion apparatus protein PrgH/EprH,Type III secretion system protein PrgH-EprH (PrgH)
CS17_03202	transcriptional regulator,Bacterial regulatory proteins, luxR family
CS17_03203	type III secretion system protein,invasion lipoprotein InvH,InvH outer membrane lipoprotein
CS17_03204	type III secretion system protein,Surface presentation of antigens protein spaS,type III secretion system protein SpaS,type III secretion protein, YscU/HrpY family,FlhB HrpN YscU SpaS Family
CS17_03205	type III secretion system protein,Surface presentation of antigens protein spaS,type III secretion system protein SpaS,type III secretion protein, YscU/HrpY family,FlhB HrpN YscU SpaS Family
CS17_03206	type III secretion system protein SpaS,Surface presentation of antigens protein spaS,type III secretion system protein SpaS,type III secretion protein, YscU/HrpY family,FlhB HrpN YscU SpaS Family
CS17_03207	type III secretion system protein,type III secretion system protein SpaR,Type III secretory pathway, component EscT,type III secretion apparatus protein SpaR/YscT/HrcT,Bacterial export proteins, family 1
CS17_03208	type III secretion system protein,type III secretion system protein SpaQ,Type III secretory pathway, component EscS,type III secretion protein, HrpO family,Bacterial export proteins, family 3
CS17_03209	type III secretion system protein,Flagellar biosynthetic protein fliP precursor,type III secretion system protein SpaP,Type III secretory pathway, component EscR,type III secretion apparatus protein, YscR/HrcR family,FliP family
CS17_03210	surface presentation of antigens protein SpaO,type III secretion system protein SpaO,Flagellar motor switch/type III secretory pathway protein,type III secretion apparatus protein, YscQ/HrcQ family,Surface presentation of antigens (SPOA)
CS17_03211	EivJ,Spa32 protein,antigen presentation protein SpaN,Surface presentation of antigens protein
CS17_03212	type III secretion system protein
CS17_03213	type III secretion protein
CS17_03214	type III secretion apparatus protein,type III secretion system protein SpaM,Salmonella surface presentation of antigen gene type M protein
CS17_03217	type III secretion system protein InvA,Invasion protein invA,type III secretion system protein InvA,Type III secretory pathway, component EscV,type III secretion protein, HrcV family,FHIPEP family
CS17_03218	protein EivF
CS17_03219	Protein of unknown function (DUF2566)
CS17_03247	lysyl-tRNA synthetase,Lysine--tRNA ligase,lysyl-tRNA synthetase,Aspartyl/asparaginyl-tRNA synthetases,lysine--tRNA ligase,tRNA synthetases class II (D, K and N)
CS17_03248	peptide chain release factor 2,Peptide chain release factor 2,peptide chain release factor 2,peptide chain release factor 2,RF-1 domain
CS17_03255	tRNA-modifying protein,tRNA-modifying protein ygfZ,putative global regulator,Glycine cleavage system T protein (aminomethyltransferase),folate-binding protein YgfZ,Aminomethyltransferase folate-binding domain
CS17_03264	2-octaprenyl-6-methoxyphenol hydroxylase,2-octaprenyl-6-methoxyphenol hydroxylase,2-octaprenyl-6-methoxyphenyl hydroxylase,2-polyprenyl-6-methoxyphenol 4-hydroxylase,FAD binding domain
CS17_03273	ribose-5-phosphate isomerase A,Ribose-5-phosphate isomerase A,ribose-5-phosphate isomerase A,Ribose 5-phosphate isomerase,ribose 5-phosphate isomerase A,Ribose 5-phosphate isomerase A (phosphoriboisomerase A)
CS17_03284	fructose-bisphosphate aldolase,Fructose-bisphosphate aldolase class 2,fructose-bisphosphate aldolase,Fructose/tagatose bisphosphate aldolase,fructose-bisphosphate aldolase, class II,Fructose-bisphosphate aldolase class-II
CS17_03285	phosphoglycerate kinase,Phosphoglycerate kinase,phosphoglycerate kinase,3-phosphoglycerate kinase,Phosphoglycerate kinase
CS17_03297	mannitol-specific cryptic PTS system IIIA component,Mannitol-specific cryptic phosphotransferase enzyme IIA component,putative PTS system mannitol-specific transporter subunit IIA,PTS system, fructose subfamily, IIA component,Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2
CS17_03304	S-adenosylmethionine synthetase,S-adenosylmethionine synthase,S-adenosylmethionine synthetase,methionine adenosyltransferase,S-adenosylmethionine synthetase, C-terminal domain
CS17_03311	putative holliday junction resolvase,Putative Holliday junction resolvase,Holliday junction resolvase-like protein,RNAse H domain protein, YqgF family,Uncharacterised protein family (UPF0081)
CS17_03347	hypothetical protein
CS17_03353	hemolysin expression modulating protein,Hemolysin expression-modulating protein Hha,gene expression modulator,Haemolysin expression modulating protein
CS17_03358	phage-associated protein
CS17_03365	CP4-6 prophage protein
CS17_03414	IS621, transposase,Transposase IS116/IS110/IS902 family
CS17_03439	1-acylglycerol-3-phosphate O-acyltransferase,1-acyl-sn-glycerol-3-phosphate acyltransferase,1-acyl-sn-glycerol-3-phosphate acyltransferase,1-acylglycerol-3-phosphate O-acyltransferases,Acyltransferase
CS17_03440	topoisomerase IV subunit A,DNA topoisomerase 4 subunit A,DNA topoisomerase IV subunit A,Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit,DNA topoisomerase IV, A subunit,DNA gyrase/topoisomerase IV, subunit A
CS17_03449	putative monooxygenase,Probable quinol monooxygenase ygiN,Antibiotic biosynthesis monooxygenase
CS17_03451	GntR family transcriptional regulator,HTH-type transcriptional repressor yvoA,DNA-binding transcriptional regulator FrlR,Transcriptional regulators,histidine utilization repressor,UTRA domain
CS17_03454	ribokinase,Ribokinase,ribokinase,Uncharacterized protein conserved in bacteria,ribokinase,pfkB family carbohydrate kinase
CS17_03455	Uncharacterized protein conserved in bacteria
CS17_03456	Oligogalacturonate-specific porin kdgM precursor,Oligogalacturonate-specific porin protein (KdgM)
CS17_03458	topoisomerase IV subunit B,DNA topoisomerase 4 subunit B,DNA topoisomerase IV subunit B,DNA topoisomerase IV, B subunit,DNA gyrase B
CS17_03468	hypothetical protein
CS17_03469	3,4-dihydroxy-2-butanone 4-phosphate synthase,3,4-dihydroxy-2-butanone 4-phosphate synthase,3,4-dihydroxy-2-butanone 4-phosphate synthase,3,4-dihydroxy-2-butanone-4-phosphate synthase,3,4-dihydroxy-2-butanone 4-phosphate synthase
CS17_03475	putative fimbrial chaperone,Chaperone protein papD precursor,fimbrial chaperone protein StdC,Gram-negative pili assembly chaperone, C-terminal domain
CS17_03476	protein involved in detoxification of methylglyoxal
CS17_03482	bifunctional protein HldE [includes: D-beta-D-heptose 7-phosphate kinase; D-beta-D-heptose 1-phosphate adenosyltransferase
CS17_03486	multifunctional Cca protein [includes: tRNA nucleotidyltransferase; 2'-nucleotidase; 2',3'-cyclic phosphodiesterase; phosphatase
CS17_03488	bifunctional dihydroneopterin aldolase/dihydroneopterin triphosphate 2'-epimerase,Dihydroneopterin aldolase,bifunctional dihydroneopterin aldolase/dihydroneopterin triphosphate 2'-epimerase,FolB domain,Dihydroneopterin aldolase
CS17_03494	O-sialoglycoprotein endopeptidase,t(6)A37 threonylcarbamoyladenosine biosynthesis protein,UGMP family protein,Transcription initiation factor TFIID, subunit TAF12 (also component of histone acetyltransferase SAGA),putative glycoprotease GCP,Glycoprotease family
CS17_03495	30S ribosomal protein S21,30S ribosomal protein S21,30S ribosomal protein S21,ribosomal protein S21,Ribosomal protein S21
CS17_03496	DNA primase,DNA primase,DNA primase,DNA primase (bacterial type),DNA primase,DNA primase catalytic core, N-terminal domain
CS17_03497	RNA polymerase,Sigma-70,RNA polymerase sigma factor RpoD,RNA polymerase sigma factor RpoD,Sigma-70, non-essential region
CS17_03527	fimbrial protein,putative fimbrial protein TcfA,Gram-negative pili assembly chaperone, N-terminal domain
CS17_03529	DedA family membrane protein,Inner membrane protein YqjA,hypothetical protein,SNARE associated Golgi protein
CS17_03551	protein
CS17_03552	hypothetical protein
CS17_03553	IS621, transposase,Transposase IS116/IS110/IS902 family
CS17_03571	N-acetylgalactosamine-specific PTS system EIIB component 1,EIIAB-Man,PTS system N-acetylgalactosamine-specific transporter subunit IIB,Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIB,PTS system, mannose/fructose/sorbose family, IIB component,PTS system sorbose subfamily IIB component
CS17_03607	ribosome-binding factor A,hypothetical protein,ribosome-binding factor A,ribosome-binding factor A,Ribosome-binding factor A
CS17_03608	translation initiation factor IF2-alpha,Translation initiation factor IF-2,translation initiation factor IF-2,EMAP domain,translation initiation factor IF-2,Elongation factor Tu GTP binding domain
CS17_03609	transcription termination/antitermination factor NusA,N utilization substance protein A,transcription elongation factor NusA,Transcription elongation factor,transcription termination factor NusA,NusA N-terminal domain
CS17_03616	preprotein translocase subunit SecG,Preprotein translocase band 1 subunit,preprotein translocase subunit SecG,preprotein translocase, SecG subunit,Preprotein translocase SecG subunit
CS17_03617	phosphoglucosamine mutase,Phosphoglucosamine mutase,phosphoglucosamine mutase,Predicted glutamine amidotransferase,phosphoglucosamine mutase,Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I
CS17_03618	dihydropteroate synthase,Dihydropteroate synthase,dihydropteroate synthase,dihydropteroate synthase,Pterin binding enzyme
CS17_03619	cell division protein,ATP-dependent zinc metalloprotease FtsH,ATP-dependent metalloprotease,Ribosome-associated chaperone zuotin,ATP-dependent metallopeptidase HflB,Peptidase family M41
CS17_03621	putative RNA-binding protein,RNA-binding protein YhbY,RNA-binding protein YhbY,putative RNA-binding protein, YhbY family,CRS1 / YhbY (CRM) domain
CS17_03625	GTPase ObgE,GTP-binding protein Obg,GTPase CgtA,Predicted GTPase, probable translation factor,Obg family GTPase CgtA,GTP1/OBG
CS17_03627	50S ribosomal protein L27,50S ribosomal protein L27,50S ribosomal protein L27,Ribosomal protein L27,ribosomal protein L27,Ribosomal L27 protein
CS17_03628	50S ribosomal protein L21,50S ribosomal protein L21,50S ribosomal protein L21,ribosomal protein L21,Ribosomal prokaryotic L21 protein
CS17_03629	octaprenyl-diphosphate synthase,Octaprenyl-diphosphate synthase,octaprenyl diphosphate synthase,Geranylgeranyl pyrophosphate synthase,solanesyl diphosphate synthase,Polyprenyl synthetase
CS17_03631	UDP-N-acetylglucosamine L-carboxyvinyltransferase,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,ATP phosphoribosyltransferase,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
CS17_03633	putative anti-sigma factor antagonist,Probable phospholipid ABC transporter-binding protein mlaB,Predicted NTP binding protein (contains STAS domain)
CS17_03634	putative organic solvent tolerance protein,Probable phospholipid-binding protein mlaC precursor,ABC transporter periplasmic binding protein MlaC,hopanoid biosynthesis associated membrane protein HpnM,Toluene tolerance, Ttg2
CS17_03642	lipopolysaccharide transport periplasmic protein LptA,Lipopolysaccharide export system protein lptA precursor,lipopolysaccharide transport periplasmic protein LptA,Uncharacterized protein conserved in bacteria,lipopolysaccharide transport periplasmic protein LptA,OstA-like protein
CS17_03643	lipopolysaccharide ABC transporter,Lipopolysaccharide export system ATP-binding protein LptB,lipopolysaccharide ABC transporter ATP-binding protein,Uncharacterized protein conserved in bacteria,daunorubicin resistance ABC transporter, ATP-binding protein,ABC transporter
CS17_03668	50S ribosomal protein L13,50S ribosomal protein L13,50S ribosomal protein L13,Ribosomal protein L13,ribosomal protein L13,Ribosomal protein L13
CS17_03670	cytochrome d ubiquinol oxidase subunit III,Putative cytochrome d ubiquinol oxidase subunit 3,hypothetical protein,Protein of unknown function (DUF1043)
CS17_03685	rod shape-determining protein,Rod shape-determining protein mreD,rod shape-determining protein MreD,rod shape-determining protein MreD,rod shape-determining protein MreD
CS17_03686	rod shape-determining protein,rod shape-determining protein MreC,rod shape-determining protein MreC,rod shape-determining protein MreC
CS17_03687	rod shape-determining protein MreB,Rod shape-determining protein MreB,rod shape-determining protein MreB,Ethanolamine utilization protein, possible chaperonin,cell shape determining protein, MreB/Mrl family,MreB/Mbl protein
CS17_03690	biotin carboxyl carrier protein of acetyl-CoA carboxylase,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,acetyl-CoA carboxylase biotin carboxyl carrier protein subunit,Biotin carboxyl carrier protein,acetyl-CoA carboxylase, biotin carboxyl carrier protein,Biotin-requiring enzyme
CS17_03691	acetyl-CoA carboxylase,Biotin carboxylase,acetyl-CoA carboxylase biotin carboxylase subunit,Acetyl/propionyl-CoA carboxylase, alpha subunit,acetyl-CoA carboxylase, biotin carboxylase subunit,Carbamoyl-phosphate synthase L chain, ATP binding domain
CS17_03699	acref/envcd operon repressor (TetR-family transcriptional regulator),Probable acrEF/envCD operon repressor,DNA-binding transcriptional regulator EnvR,transcriptional repressor BetI,MAATS-type transcriptional repressor, C-terminal region
CS17_03713	hypothetical protein
CS17_03714	putative transferase,hypothetical protein,carnitine operon protein CaiE,Acetyltransferase (isoleucine patch superfamily),phenylacetic acid degradation protein PaaY,Bacterial transferase hexapeptide (six repeats)
CS17_03715	transcriptional regulator,Protein of unknown function (DUF1488)
CS17_03716	shikimate dehydrogenase,Shikimate dehydrogenase,shikimate 5-dehydrogenase,5-enolpyruvylshikimate-3-phosphate synthase,shikimate 5-dehydrogenase,Shikimate dehydrogenase substrate binding domain
CS17_03717	ribosome maturation factor,t(6)A37 threonylcarbamoyladenosine biosynthesis protein RimN,tRNA(ANN) t(6)A37 threonylcarbamoyladenosine modification protein,Putative translation factor (SUA5),Sua5/YciO/YrdC/YwlC family protein,yrdC domain
CS17_03718	putative DNA topoisomerase,DNA topoisomerase 1,DNA topoisomerase I,Zn-finger domain associated with topoisomerase type I,DNA topoisomerase I,Topoisomerase DNA binding C4 zinc finger
CS17_03719	protein Smg,hypothetical protein,Uncharacterized protein conserved in bacteria,Protein of unknown function (DUF494)
CS17_03721	polypeptide deformylase,Peptide deformylase,peptide deformylase,N-formylmethionyl-tRNA deformylase,peptide deformylase,Polypeptide deformylase
CS17_03722	methionyl-tRNA formyltransferase,Methionyl-tRNA formyltransferase,methionyl-tRNA formyltransferase,Folate-dependent phosphoribosylglycinamide formyltransferase PurN,methionyl-tRNA formyltransferase,Formyl transferase
CS17_03725	large-conductance mechanosensitive channel,Large-conductance mechanosensitive channel,large-conductance mechanosensitive channel,large conductance mechanosensitive channel protein,Large-conductance mechanosensitive channel, MscL
CS17_03726	regulator,Alternative ribosome-rescue factor A,Domain of unknown function
CS17_03729	50S ribosomal protein L17,50S ribosomal protein L17,50S ribosomal protein L17,Ribosomal protein L17,ribosomal protein L17,Ribosomal protein L17
CS17_03730	DNA-directed RNA polymerase subunit alpha,DNA-directed RNA polymerase subunit alpha,DNA-directed RNA polymerase subunit alpha,DNA-directed RNA polymerase, alpha subunit/40 kD subunit,DNA-directed RNA polymerase, alpha subunit,Bacterial RNA polymerase, alpha chain C terminal domain
CS17_03731	30S ribosomal protein S4,30S ribosomal protein S4,30S ribosomal protein S4,ribosomal protein S4,Ribosomal protein S4/S9 N-terminal domain
CS17_03732	30S ribosomal protein S11,30S ribosomal protein S11,30S ribosomal protein S11,Ribosomal protein S11,30S ribosomal protein S11,Ribosomal protein S11
CS17_03735	preprotein translocase membrane subunit,hypothetical protein,preprotein translocase subunit SecY,Preprotein translocase subunit SecY,preprotein translocase, SecY subunit,SecY translocase
CS17_03736	50S ribosomal protein L15,50S ribosomal protein L15,50S ribosomal protein L15,ribosomal protein L15,Ribosomal protein L18e/L15
CS17_03737	50S ribosomal protein L30,50S ribosomal protein L30,50S ribosomal protein L30,ribosomal protein L30,Ribosomal protein L30p/L7e
CS17_03738	30S ribosomal protein S5,30S ribosomal protein S5,30S ribosomal protein S5,Ribosomal protein S5,ribosomal protein S5,Ribosomal protein S5, C-terminal domain
CS17_03739	50S ribosomal protein L18,50S ribosomal protein L18,50S ribosomal protein L18,ribosomal protein L18,Ribosomal L18p/L5e family
CS17_03740	50S ribosomal protein L6,50S ribosomal protein L6,50S ribosomal protein L6,ribosomal protein L6,Ribosomal protein L6
CS17_03741	30S ribosomal protein S8,30S ribosomal protein S8,30S ribosomal protein S8,Ribosomal protein S8,Ribosomal protein S8
CS17_03742	30S ribosomal protein S14,30S ribosomal protein S14,30S ribosomal protein S14,Ribosomal protein S14p/S29e
CS17_03743	50S ribosomal protein L5,50S ribosomal protein L5,50S ribosomal protein L5,Ribosomal protein L5,ribosomal L5P family C-terminus
CS17_03744	50S ribosomal protein L24,50S ribosomal protein L24,50S ribosomal protein L24,ribosomal protein L24
CS17_03745	50S ribosomal protein L14,50S ribosomal protein L14,50S ribosomal protein L14,Ribosomal protein L14,ribosomal protein L14,Ribosomal protein L14p/L23e
CS17_03746	30S ribosomal protein S17,30S ribosomal protein S17,30S ribosomal protein S17,30S ribosomal protein S17,Ribosomal protein S17
CS17_03747	50S ribosomal protein L29,50S ribosomal protein L29,50S ribosomal protein L29,Ribosomal protein L29,ribosomal protein L29,Ribosomal L29 protein
CS17_03748	50S ribosomal protein L16,50S ribosomal protein L16,50S ribosomal protein L16,Ribosomal protein L16/L10E,ribosomal protein L16,Ribosomal protein L16p/L10e
CS17_03749	30S ribosomal protein S3,30S ribosomal protein S3,30S ribosomal protein S3,Uncharacterized conserved protein,ribosomal protein S3,Ribosomal protein S3, C-terminal domain
CS17_03750	50S ribosomal protein L22,50S ribosomal protein L22,50S ribosomal protein L22,ribosomal protein L22,Ribosomal protein L22p/L17e
CS17_03751	30S ribosomal protein S19,30S ribosomal protein S19,30S ribosomal protein S19,Ribosomal protein S19,ribosomal protein S19,Ribosomal protein S19
CS17_03752	50S ribosomal protein L2,50S ribosomal protein L2,50S ribosomal protein L2,Ribosomal protein L2,ribosomal protein L2,Ribosomal Proteins L2, C-terminal domain
CS17_03753	50S ribosomal protein L23,50S ribosomal protein L23,50S ribosomal protein L23,Ribosomal protein L23,archaeal ribosomal protein L23,Ribosomal protein L23
CS17_03754	50S ribosomal protein L4,50S ribosomal protein L4,50S ribosomal protein L4,50S ribosomal protein L4,Ribosomal protein L4/L1 family
CS17_03755	50S ribosomal protein L3,50S ribosomal protein L3,50S ribosomal protein L3,Ribosomal protein L3,50S ribosomal protein L3,Ribosomal protein L3
CS17_03756	30S ribosomal protein S10,30S ribosomal protein S10,30S ribosomal protein S10,ribosomal protein S10,Ribosomal protein S10p/S20e
CS17_03758	bacterioferritin,Bacterioferritin,bacterioferritin,Bacterioferritin (cytochrome b1),bacterioferritin,Ferritin-like domain
CS17_03760	protein chain elongation factor EF-Tu,Elongation factor Tu 1,elongation factor Tu,GTPases - translation elongation factors,translation elongation factor Tu,Elongation factor Tu GTP binding domain
CS17_03761	translation elongation factor G,Elongation factor G,elongation factor G,GTPases - translation elongation factors,translation elongation factor G,Elongation factor Tu GTP binding domain
CS17_03762	30S ribosomal protein S7,30S ribosomal protein S7,30S ribosomal protein S7,Ribosomal protein S7,ribosomal protein S7,Ribosomal protein S7p/S5e
CS17_03763	30S ribosomal protein S12,30S ribosomal protein S12,30S ribosomal protein S12,Ribosomal protein S12,ribosomal protein S12,Ribosomal protein S12
CS17_03768	FKBP-type peptidyl-prolyl isomerase,FKBP-type peptidyl-prolyl cis-trans isomerase fkpA precursor,FKBP-type peptidyl-prolyl cis-trans isomerase,ABC-type uncharacterized transport system, permease component,peptidyl-prolyl isomerase, gliding motility-associated,Domain amino terminal to FKBP-type peptidyl-prolyl isomerase
CS17_03769	protein SlyX,hypothetical protein,phi X174 lysis protein,SlyX
CS17_03770	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD,FKBP-type peptidyl-prolyl cis-trans isomerase slyD,FKBP-type peptidyl-prolyl cis-trans isomerase,FKBP-type peptidyl-prolyl cis-trans isomerase
CS17_03773	glutathione-regulated potassium-efflux system ancillary protein,General stress protein 14,glutathione-regulated potassium-efflux system ancillary protein KefG,Putative NADPH-quinone reductase (modulator of drug activity B),Flavodoxin-like fold
CS17_03777	putative phosphoribulokinase,Phosphoribulokinase, plasmid,phosphoribulokinase,Phosphoribulokinase / Uridine kinase family
CS17_03805	tryptophanyl-tRNA synthetase,Tryptophan--tRNA ligase,tryptophanyl-tRNA synthetase,Tryptophanyl-tRNA synthetase,tryptophan--tRNA ligase,tRNA synthetases class I (W and Y)
CS17_03808	DNA adenine methylase,DNA adenine methylase,DNA adenine methylase,Site-specific DNA methylase,DNA adenine methylase,D12 class N6 adenine-specific DNA methyltransferase
CS17_03818	ADP compounds hydrolase,ADP compounds hydrolase nudE,adenosine nucleotide hydrolase NudE,nucleoside triphosphatase YtkD,NUDIX domain
CS17_03822	heat shock protein,Heat shock protein 33,Hsp33-like chaperonin,Phosphoenolpyruvate carboxykinase (ATP),Hsp33 protein
CS17_03829	ferrous iron transport protein A,Ferrous iron transport protein A,ferrous iron transport protein A,FeoA domain
CS17_03847	membrane protein
CS17_03856	aspartate-semialdehyde dehydrogenase,Aspartate-semialdehyde dehydrogenase,aspartate-semialdehyde dehydrogenase,Aspartate-semialdehyde dehydrogenase,aspartate-semialdehyde dehydrogenase,Semialdehyde dehydrogenase, dimerisation domain
CS17_03881	component of RNA polymerase,Heat shock regulatory protein F33.4,RNA polymerase factor sigma-32,alternative sigma factor RpoH,Sigma-70 region 2
CS17_03882	cell division protein FtsX,Cell division protein FtsX,cell division ABC transporter subunit FtsX,putative protein insertion permease FtsX,FtsX-like permease family
CS17_03883	cell division ATP-binding membraine protein FtsE,Cell division ATP-binding protein FtsE,cell division protein FtsE,ABC-type spermidine/putrescine transport systems, ATPase components,cell division ATP-binding protein FtsE,ABC transporter
CS17_03884	cell division protein FtsY,Cell division protein FtsY,signal recognition particle-docking protein FtsY,Signal recognition particle GTPase,signal recognition particle-docking protein FtsY,SRP54-type protein, GTPase domain
CS17_03888	inner membrane protein,YhhN-like protein
CS17_03890	sulfurtransferase (tRNA 2-thiouridine synthesizin protein A),Sulfurtransferase TusA,sulfur transfer protein SirA,Uncharacterized conserved protein,selenium metabolism protein YedF,SirA-like protein
CS17_03906	protein
CS17_03907	protein
CS17_03911	type 1 fimbriae regulatory protein,Tyrosine recombinase XerD,tyrosine recombinase,Site-specific recombinase XerD,tyrosine recombinase XerD,Phage integrase family
CS17_03918	putative signal transduction protein,Cyclic di-GMP phosphodiesterase yahA,transcriptional regulator RcsB,Bacterial regulatory proteins, luxR family
CS17_03919	putative signal transduction protein,Cyclic di-GMP phosphodiesterase yahA,phage resistance protein,Predicted signal transduction protein containing sensor and EAL domains,EAL domain
CS17_03922	hypothetical protein
CS17_03930	universal stress protein A,Universal stress protein A,universal stress global response regulator UspA,Universal stress protein family
CS17_03940	yhiS
CS17_03943	magnesium transporter ATPase,hypothetical protein,putative Mg(2 ) transport ATPase,MgtC family
CS17_03945	putative periplasmic acid stress chaperone,10K-S protein,acid-resistance protein,hns-dependent expression protein A (HdeA)
CS17_03946	putative acid resistance protein,hypothetical protein,acid-resistance membrane protein,Uncharacterized conserved protein
CS17_03947	DNA-binding transcriptional activator,Transcriptional regulator gadE
CS17_03948	hypothetical protein
CS17_03954	AraC family transcriptional regulator,HTH-type transcriptional regulator gadX,DNA-binding transcriptional regulator GadX,Adenosine deaminase,YSIRK-targeted surface antigen transcriptional regulator,Bacterial regulatory helix-turn-helix proteins, AraC family
CS17_04003	glycine-tRNA synthetase, beta subunit,Glycine--tRNA ligase beta subunit,glycyl-tRNA synthetase subunit beta,glycine--tRNA ligase, beta subunit,Glycyl-tRNA synthetase beta subunit
CS17_04004	glycine tRNA synthetase,Glycine--tRNA ligase alpha subunit,glycyl-tRNA synthetase subunit alpha,glycine--tRNA ligase, alpha subunit,Glycyl-tRNA synthetase alpha subunit
CS17_04015	putative endo-beta-N-acetylglucosaminidase,hypothetical protein,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase
CS17_04039	protein
CS17_04040	lyase containing HEAT-repeat protein,hypothetical protein,putative lyase,HEAT repeat
CS17_04042	hypothetical protein
CS17_04050	putative inner membrane lipoprotein,Protein of unknown function (DUF3251)
CS17_04056	serine acetyltransferase,Serine acetyltransferase,serine acetyltransferase,Acetyltransferase (isoleucine patch superfamily),serine O-acetyltransferase,Serine acetyltransferase, N-terminal
CS17_04057	glycerol-3-phosphate dehydrogenase,Glycerol-3-phosphate dehydrogenase [NAD(P) 
CS17_04058	preprotein translocase subunit SecB,Protein-export protein SecB,preprotein translocase subunit SecB,protein-export chaperone SecB,Preprotein translocase subunit SecB
CS17_04060	putative rhodanase-like exported protein,hypothetical protein,molybdopterin biosynthesis protein MoeB,Uncharacterized conserved protein,Rhodanese-like domain
CS17_04067	ADP-glyceromanno-heptose 6-epimerase RfaD,ADP-L-glycero-D-manno-heptose-6-epimerase,ADP-L-glycero-D-mannoheptose-6-epimerase,Lipid A core - O-antigen ligase and related enzymes,ADP-glyceromanno-heptose 6-epimerase,NAD dependent epimerase/dehydratase family
CS17_04068	ADP-heptose--LPS-heptosyltransferase II,ADP-heptose--LPS heptosyltransferase 2,ADP-heptose:LPS heptosyltransferase II,ADP-heptose synthase, bifunctional sugar kinase/adenylyltransferase,lipopolysaccharide heptosyltransferase II,Glycosyltransferase family 9 (heptosyltransferase)
CS17_04069	lipopolysaccharide heptosyltransferase 1,Lipopolysaccharide heptosyltransferase 1,ADP-heptose:LPS heptosyl transferase I,lipopolysaccharide heptosyltransferase I,Glycosyltransferase family 9 (heptosyltransferase)
CS17_04075	UDP-glucose:(glucosyl) LPS alpha1,3-glucosyltransferase WaaO,Lipopolysaccharide 1,2-glucosyltransferase,lipopolysaccharide 1,3-galactosyltransferase,Glycosyl transferase family 8
