EMBL_ACC	LEN_(MB)	LEN_(BPs)	NUM_GENES	GC_CONTENT	NCBI_TAXONOMY	SPECIES_NAME	DESCRIPTION
AP009256.1	2.1MB	2089645	617084	0.59	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Bifidobacterium.	Bifidobacterium adolescentis ATCC 15703	Bifidobacterium adolescentis ATCC 15703 DNA, complete genome.
AP009324.1	2.9MB	2880168	474907	0.33	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae;Staphylococcus.	Staphylococcus aureus subsp. aureus Mu3	Staphylococcus aureus subsp. aureus Mu3 DNA, complete genome.
AP009332.1	2.0MB	1950135	377592	0.39	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Lactococcus.	Lactococcus garvieae ATCC 49156	Lactococcus garvieae ATCC 49156 DNA, complete genome.
AP009333.1	2.0MB	1963964	382840	0.39	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Lactococcus.	Lactococcus garvieae Lg2	Lactococcus garvieae Lg2 DNA, complete genome.
AP009351.1	2.9MB	2878897	475267	0.33	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae;Staphylococcus.	Staphylococcus aureus subsp. aureus str. Newman	Staphylococcus aureus subsp. aureus str. Newman DNA, complete genome.
AP009378.1	4.7MB	4717338	1195763	0.51	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Escherichia.	Escherichia coli SE15	Escherichia coli SE15 DNA, complete genome.
AP009380.1	2.4MB	2354886	567867	0.48	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae;Porphyromonas.	Porphyromonas gingivalis ATCC 33277	Porphyromonas gingivalis ATCC 33277 DNA, complete genome.
AP009384.1	5.4MB	5369772	1803599	0.67	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales;Xanthobacteraceae; Azorhizobium.	Azorhizobium caulinodans ORS 571	Azorhizobium caulinodans ORS 571 DNA, complete genome.
AP009385.1	3.4MB	3448421	1153353	0.67	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Burkholderiaceae; Burkholderia; Burkholderia cepacia complex.	Burkholderia multivorans ATCC 17616	Burkholderia multivorans ATCC 17616 DNA, complete genome, chromosome 1.
AP009386.1	2.5MB	2473162	828240	0.67	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Burkholderiaceae; Burkholderia; Burkholderia cepacia complex.	Burkholderia multivorans ATCC 17616	Burkholderia multivorans ATCC 17616 genomic DNA, complete genome,
AP009387.1	0.9MB	919805	303073	0.66	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Burkholderiaceae; Burkholderia; Burkholderia cepacia complex.	Burkholderia multivorans ATCC 17616	Burkholderia multivorans ATCC 17616 genomic DNA, complete genome,
AP009389.1	3.0MB	3025375	804073	0.53	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae;Pelotomaculum.	Pelotomaculum thermopropionicum SI	Pelotomaculum thermopropionicum SI DNA, complete genome.
AP009484.1	2.1MB	2102324	390837	0.37	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Macrococcus.	Macrococcus caseolyticus JCSC5402	Macrococcus caseolyticus JCSC5402 DNA, complete genome.
AP009493.1	8.5MB	8545929	3082315	0.72	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae;Streptomyces.	Streptomyces griseus subsp. griseus NBRC 13350	Streptomyces griseus subsp. griseus NBRC 13350 DNA, complete genome.
AP009510.1	1.1MB	1125857	202894	0.35	Bacteria; Elusimicrobia; environmental samples.	uncultured Termite group 1 bacterium phylotype Rs-D17	Uncultured Termite group 1 bacterium phylotype Rs-D17 DNA, complete genome.
AP009552.1	5.8MB	5842795	1235741	0.42	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Microcystis.	Microcystis aeruginosa NIES-843	Microcystis aeruginosa NIES-843 DNA, complete genome.
AP009608.1	1.0MB	1004014	136137	0.27	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	Mycoplasma fermentans PG18	Mycoplasma fermentans PG18 DNA, nearly complete genome.
AP010655.1	2.0MB	2013587	373081	0.37	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus mutans NN2025	Streptococcus mutans NN2025 DNA, complete genome.
AP010656.1	1.1MB	1114206	179112	0.33	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales;Candidatus Azobacteroides.	Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2	Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2 DNA, complete
AP010803.1	3.5MB	3514822	1137512	0.65	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales;Sphingomonadaceae; Sphingobium.	Sphingobium japonicum UT26S	Sphingobium japonicum UT26S DNA, chromosome 1, complete genome.
AP010804.1	0.7MB	681892	221911	0.66	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales;Sphingomonadaceae; Sphingobium.	Sphingobium japonicum UT26S	Sphingobium japonicum UT26S DNA, chromosome 2, complete genome.
AP010888.1	2.4MB	2385164	717598	0.60	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Bifidobacterium.	Bifidobacterium longum subsp. longum JCM 1217	Bifidobacterium longum subsp. longum JCM 1217 DNA, complete genome.
AP010889.1	2.8MB	2828958	850201	0.60	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Bifidobacterium.	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	Bifidobacterium longum subsp. infantis JCM 1222 DNA, complete genome.
AP010890.1	2.4MB	2400312	719058	0.60	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Bifidobacterium.	Bifidobacterium longum subsp. infantis 157F	Bifidobacterium longum subsp. infantis 157F DNA, complete genome.
AP010904.1	5.2MB	5248049	1646869	0.63	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales;Desulfovibrionaceae; Desulfovibrio.	Desulfovibrio magneticus RS-1	Desulfovibrio magneticus RS-1 DNA, complete genome.
AP010918.1	4.4MB	4371711	1431726	0.66	Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae;Mycobacterium; Mycobacterium tuberculosis complex.	Mycobacterium bovis BCG str. Tokyo 172	Mycobacterium bovis BCG str. Tokyo 172 DNA, complete genome.
AP010935.1	2.1MB	2106340	414623	0.40	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus dysgalactiae subsp. equisimilis GGS_124	Streptococcus dysgalactiae subsp. equisimilis GGS_124 DNA, complete genome.
AP010946.1	3.3MB	3311395	1122500	0.68	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;Rhodospirillaceae; Azospirillum.	Azospirillum sp. B510	Azospirillum sp. B510 DNA, complete genome.
AP010953.1	5.7MB	5697240	1443842	0.51	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Escherichia.	Escherichia coli O26:H11 str. 11368	Escherichia coli O26:H11 str. 11368 DNA, complete genome.
AP010958.1	5.4MB	5449314	1374737	0.51	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Escherichia.	Escherichia coli O103:H2 str. 12009	Escherichia coli O103:H2 str. 12009 DNA, complete genome.
AP010960.1	5.4MB	5371077	1357633	0.51	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Escherichia.	Escherichia coli O111:H- str. 11128	Escherichia coli O111:H- str. 11128 DNA, complete genome.
AP010968.1	8.8MB	8783278	3245338	0.74	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae;Kitasatospora.	Kitasatospora setae KM-6054	Kitasatospora setae KM-6054 DNA, complete genome.
AP010969.1	1.9MB	1933610	365192	0.38	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus; Streptococcus anginosus group.	Streptococcus intermedius JTH08	Streptococcus intermedius JTH08 DNA, complete genome.
AP011112.1	1.7MB	1743135	381860	0.44	Bacteria; Aquificae; Aquificales; Aquificaceae; Hydrogenobacter.	Hydrogenobacter thermophilus TK-6	Hydrogenobacter thermophilus TK-6 DNA, complete genome.
AP011114.1	2.2MB	2151145	422424	0.39	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus dysgalactiae subsp. equisimilis RE378	Streptococcus dysgalactiae subsp. equisimilis RE378 DNA, complete genome.
AP011115.1	7.9MB	7913450	2693714	0.68	Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus.	Rhodococcus opacus B4	Rhodococcus opacus B4 DNA, complete genome.
AP011121.1	2.9MB	2907495	764753	0.53	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;Acetobacteraceae; Acetobacter.	Acetobacter pasteurianus IFO 3283-01	Acetobacter pasteurianus IFO 3283-01 DNA, complete genome.
AP011128.1	2.9MB	2907287	764685	0.53	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;Acetobacteraceae; Acetobacter.	Acetobacter pasteurianus IFO 3283-03	Acetobacter pasteurianus IFO 3283-03 DNA, complete genome.
AP011135.1	2.9MB	2906044	764391	0.53	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;Acetobacteraceae; Acetobacter.	Acetobacter pasteurianus IFO 3283-07	Acetobacter pasteurianus IFO 3283-07 DNA, complete genome.
AP011142.1	2.9MB	2907267	764677	0.53	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;Acetobacteraceae; Acetobacter.	Acetobacter pasteurianus IFO 3283-22	Acetobacter pasteurianus IFO 3283-22 DNA, complete genome.
AP011149.1	2.9MB	2907309	764693	0.53	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;Acetobacteraceae; Acetobacter.	Acetobacter pasteurianus IFO 3283-26	Acetobacter pasteurianus IFO 3283-26 DNA, complete genome.
AP011156.1	2.9MB	2904642	763961	0.53	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;Acetobacteraceae; Acetobacter.	Acetobacter pasteurianus IFO 3283-32	Acetobacter pasteurianus IFO 3283-32 DNA, complete genome.
AP011163.1	2.8MB	2815241	741629	0.53	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;Acetobacteraceae; Acetobacter.	Acetobacter pasteurianus IFO 3283-01-42C	Acetobacter pasteurianus IFO 3283-01-42C DNA, complete genome.
AP011170.1	2.9MB	2904624	763952	0.53	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;Acetobacteraceae; Acetobacter.	Acetobacter pasteurianus IFO 3283-12	Acetobacter pasteurianus IFO 3283-12 DNA, complete genome.
AP011177.1	5.0MB	4962103	1108518	0.45	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales;Shewanellaceae; Shewanella.	Shewanella violacea DSS12	Shewanella violacea DSS12 DNA, complete genome.
AP011529.1	2.2MB	2234389	348195	0.31	Bacteria; Deferribacteres; Deferribacterales; Deferribacteraceae;Deferribacter.	Deferribacter desulfuricans SSM1	Deferribacter desulfuricans SSM1 DNA, complete genome.
AP011533.1	1.3MB	1283087	211135	0.32	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales;Rickettsiaceae; Rickettsieae; Rickettsia; spotted fever group.	Rickettsia japonica YH	Rickettsia japonica YH DNA, complete genome.
AP011540.1	2.3MB	2264603	673672	0.60	Bacteria; Actinobacteria; Micrococcales; Micrococcaceae; Rothia.	Rothia mucilaginosa DY-18	Rothia mucilaginosa DY-18 DNA, complete genome.
AP011541.2	4.1MB	4105380	891817	0.43	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	Bacillus subtilis subsp. natto BEST195	Bacillus subtilis subsp. natto BEST195 DNA, complete genome.
AP011548.1	3.0MB	3005051	700089	0.47	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus rhamnosus GG	Lactobacillus rhamnosus ATCC 53103 DNA, complete genome.
AP011615.1	6.8MB	6788435	1476489	0.44	Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales;Arthrospira.	Arthrospira platensis NIES-39	Arthrospira platensis NIES-39 DNA, nearly complete genome.
AP011940.1	1.6MB	1575399	305239	0.39	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter pylori F16	Helicobacter pylori F16 DNA, complete genome.
AP011941.1	1.6MB	1570564	304357	0.39	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter pylori F30	Helicobacter pylori F30 DNA, complete genome.
AP011943.1	1.6MB	1578824	304376	0.39	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter pylori F32	Helicobacter pylori F32 DNA, complete genome.
AP011945.1	1.6MB	1609006	310971	0.39	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter pylori F57	Helicobacter pylori F57 DNA, complete genome.
AP011957.1	5.0MB	4954814	1291558	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Typhimurium str. T000240	Salmonella enterica subsp. enterica serovar Typhimurium str. T000240 DNA,
AP012027.1	1.8MB	1787941	326026	0.37	Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales;Erysipelotrichaceae; Erysipelothrix.	Erysipelothrix rhusiopathiae str. Fujisawa	Erysipelothrix rhusiopathiae str. Fujisawa DNA, complete genome.
AP012029.1	3.5MB	3532378	949898	0.54	Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae;Anaerolinea.	Anaerolinea thermophila UNI-1	Anaerolinea thermophila UNI-1 DNA, complete genome.
AP012030.1	4.6MB	4621430	1172881	0.51	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Escherichia.	Escherichia coli DH1	Escherichia coli DH1 (ME8569) DNA, complete genome.
AP012032.1	4.6MB	4555535	1224623	0.54	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Pantoea.	Pantoea ananatis AJ13355	Pantoea ananatis AJ13355 DNA, complete genome.
AP012035.1	3.7MB	3749411	1259514	0.68	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;Acetobacteraceae; Acidiphilium.	Acidiphilium multivorum AIU301	Acidiphilium multivorum AIU301 DNA, complete genome.
AP012044.1	4.4MB	4410036	1169759	0.53	Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae;Oscillibacter.	Oscillibacter valericigenes Sjm18-20	Oscillibacter valericigenes Sjm18-20 DNA, complete genome.
AP012046.1	2.6MB	2562720	465935	0.36	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae;Tetragenococcus.	Tetragenococcus halophilus NBRC 12172	Tetragenococcus halophilus NBRC 12172 DNA, complete genome.
AP012047.1	2.3MB	2256675	303354	0.27	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Campylobacteraceae; Arcobacter.	Arcobacter butzleri ED-1	Arcobacter butzleri ED-1 DNA, complete genome.
AP012048.1	2.9MB	2945673	388077	0.27	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Campylobacteraceae; Arcobacter.	Arcobacter sp. L	Arcobacter sp. L DNA, complete genome.
AP012050.1	2.6MB	2569486	465864	0.36	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Amphibacillus.	Amphibacillus xylanus NBRC 15112	Amphibacillus xylanus NBRC 15112 DNA, complete genome.
AP012051.1	1.6MB	1558103	275042	0.35	Bacteria; Caldiserica; Caldisericia; Caldisericales; Caldisericaceae;Caldisericum.	Caldisericum exile AZM16c01	Caldisericum exile AZM16c01 DNA, complete genome.
AP012052.1	4.0MB	3982034	1395833	0.70	Bacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Microbacterium.	Microbacterium testaceum StLB037	Microbacterium testaceum StLB037 DNA, complete genome.
AP012053.1	2.4MB	2362241	441490	0.38	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus gallolyticus subsp. gallolyticus ATCC 43143	Streptococcus gallolyticus subsp. gallolyticus ATCC 43143 DNA, complete
AP012054.1	2.1MB	2100077	392363	0.37	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus pasteurianus ATCC 43144	Streptococcus pasteurianus ATCC 43144 DNA, complete genome.
AP012057.1	4.8MB	4830181	1629074	0.67	Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales;Acidimicrobiaceae; Ilumatobacter.	Ilumatobacter coccineus YM16-304	Ilumatobacter coccineus YM16-304 DNA, complete genome.
AP012157.1	4.0MB	3969327	768649	0.39	Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Solibacillus.	Solibacillus silvestris StLB046	Solibacillus silvestris StLB046 DNA, complete genome.
AP012159.1	3.1MB	3136818	957344	0.61	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;Acetobacteraceae; Komagataeibacter.	Komagataeibacter medellinensis NBRC 3288	Gluconacetobacter xylinus NBRC 3288 DNA, complete genome.
AP012167.1	2.4MB	2395134	553057	0.46	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus brevis KB290	Lactobacillus brevis KB290 DNA, complete genome.
AP012200.1	1.9MB	1891014	303732	0.31	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae;Melissococcus.	Melissococcus plutonius ATCC 35311	Melissococcus plutonius ATCC 35311 DNA, complete genome.
AP012202.1	1.6MB	1620005	232586	0.28	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae;Candidatus Arthromitus.	Candidatus Arthromitus sp. SFB-mouse-Japan	Candidatus Arthromitus sp. SFB-mouse-Japan DNA, complete genome.
AP012203.1	2.3MB	2339898	571330	0.48	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae;Porphyromonas.	Porphyromonas gingivalis TDC60	Porphyromonas gingivalis TDC60 DNA, complete genome.
AP012204.1	5.7MB	5683123	1913351	0.67	Bacteria; Actinobacteria; Propionibacteriales; Propionibacteriaceae;Microlunatus.	Microlunatus phosphovorus NM-1	Microlunatus phosphovorus NM-1 DNA, complete genome.
AP012205.1	3.6MB	3571103	853533	0.48	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales;Synechocystis.	Synechocystis sp. PCC 6803	Synechocystis sp. PCC 6803 DNA, complete genome, strain: GT-S.
AP012206.1	9.2MB	9207384	2930285	0.64	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales;Bradyrhizobiaceae; Bradyrhizobium.	Bradyrhizobium japonicum USDA 6	Bradyrhizobium japonicum USDA 6 DNA, complete genome.
AP012209.1	1.6MB	1586397	226593	0.28	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae;Candidatus Arthromitus.	Candidatus Arthromitus sp. SFB-mouse-Yit	Candidatus Arthromitus sp. SFB-mouse-Yit DNA, complete genome.
AP012210.1	1.5MB	1515556	213109	0.28	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae;Candidatus Arthromitus.	Candidatus Arthromitus sp. SFB-rat-Yit	Candidatus Arthromitus sp. SFB-rat-Yit DNA, complete genome.
AP012211.1	3.1MB	3123671	876587	0.56	Bacteria; Actinobacteria; Coriobacteriia; Eggerthellales; Eggerthellaceae;Eggerthella.	Eggerthella sp. YY7918	Eggerthella sp. YY7918 DNA, complete genome.
AP012212.1	2.8MB	2835737	718851	0.51	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae;Clostridium.	Clostridium sp. SY8519	Clostridium sp. SY8519 DNA, complete genome.
AP012222.1	4.2MB	4199332	1375590	0.66	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales;Sphingomonadaceae; Sphingobium.	Sphingobium sp. SYK-6	Sphingobium sp. SYK-6 DNA, complete genome.
AP012224.1	4.3MB	4332995	1395012	0.64	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales;Chromobacteriaceae; Pseudogulbenkiania.	Pseudogulbenkiania sp. NH8B	Pseudogulbenkiania sp. NH8B DNA, complete genome.
AP012273.1	3.1MB	3129662	883187	0.56	Bacteria; Proteobacteria; Gammaproteobacteria; Thiolapillus.	Thiolapillus brandeum	Thiolapillus brandeum DNA, complete genome.
AP012276.1	3.6MB	3570004	853305	0.48	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales;Synechocystis.	Synechocystis sp. PCC 6803 substr. GT-I	Synechocystis sp. PCC 6803 substr. GT-I DNA, complete genome.
AP012277.1	3.6MB	3570103	853312	0.48	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales;Synechocystis.	Synechocystis sp. PCC 6803 substr. PCC-N	Synechocystis sp. PCC 6803 substr. PCC-N DNA, complete genome.
AP012278.1	3.6MB	3570114	853312	0.48	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales;Synechocystis.	Synechocystis sp. PCC 6803 substr. PCC-P	Synechocystis sp. PCC 6803 substr. PCC-P DNA, complete genome.
AP012279.1	7.2MB	7231841	2324989	0.64	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales;Bradyrhizobiaceae; Bradyrhizobium.	Bradyrhizobium sp. S23321	Bradyrhizobium sp. S23321 DNA, complete genome.
AP012280.1	6.8MB	6764661	2233124	0.66	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas.	Pseudomonas aeruginosa NCGM2.S1	Pseudomonas aeruginosa NCGM2.S1 DNA, complete genome.
AP012281.1	2.4MB	2421471	426272	0.35	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Lactococcus.	Lactococcus lactis subsp. lactis IO-1	Lactococcus lactis subsp. lactis IO-1 DNA, complete genome.
AP012282.1	1.8MB	1846178	292211	0.31	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae;Melissococcus.	Melissococcus plutonius DAT561	Melissococcus plutonius DAT561 DNA, complete genome.
AP012284.1	2.6MB	2579188	686722	0.53	Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae;Corynebacterium.	Corynebacterium ulcerans 0102	Corynebacterium ulcerans 0102 DNA, complete genome.
AP012292.1	3.0MB	3003680	765822	0.51	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae;Selenomonas.	Selenomonas ruminantium subsp. lactilytica TAM6421	Selenomonas ruminantium subsp. lactilytica TAM6421 DNA, complete genome.
AP012303.1	0.8MB	817176	163801	0.40	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	Mycoplasma pneumoniae 309	Mycoplasma pneumoniae 309 DNA, complete genome.
AP012304.1	5.1MB	5081166	1660831	0.65	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales;Rhodocyclaceae; Azoarcus.	Azoarcus sp. KH32C	Azoarcus sp. KH32C DNA, complete genome.
AP012306.1	4.0MB	3976195	1013924	0.51	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Escherichia.	Escherichia coli str. K-12 substr. MDS42	Escherichia coli str. K-12 substr. MDS42 DNA, complete genome.
AP012319.1	8.8MB	8773466	3107131	0.71	Bacteria; Actinobacteria; Micromonosporales; Micromonosporaceae;Actinoplanes.	Actinoplanes missouriensis 431	Actinoplanes missouriensis 431 DNA, complete genome.
AP012320.1	5.0MB	5043253	1798204	0.71	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Rubrivivax.	Rubrivivax gelatinosus IL144	Rubrivivax gelatinosus IL144 DNA, complete genome.
AP012322.1	2.0MB	2021974	603013	0.59	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Bifidobacterium.	Bifidobacterium angulatum DSM 20098 = JCM 7096	Bifidobacterium angulatum DSM 20098 = JCM 7096 DNA, complete genome.
AP012323.1	2.2MB	2211039	691871	0.63	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Bifidobacterium.	Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456	Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456 DNA, complete
AP012324.1	2.3MB	2269415	666531	0.59	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Bifidobacterium.	Bifidobacterium breve DSM 20213 = JCM 1192	Bifidobacterium breve DSM 20213 = JCM 1192 DNA, complete genome.
AP012325.1	2.1MB	2079525	582238	0.56	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Bifidobacterium.	Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043	Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043 DNA, complete
AP012326.1	2.6MB	2635669	765945	0.59	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Bifidobacterium.	Bifidobacterium dentium JCM 1195 = DSM 20436	Bifidobacterium dentium JCM 1195 = DSM 20436 DNA, complete genome.
AP012327.1	2.3MB	2337234	655789	0.56	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Bifidobacterium.	Bifidobacterium kashiwanohense JCM 15439 = DSM 21854	Bifidobacterium kashiwanohense JCM 15439 = DSM 21854 DNA, complete genome.
AP012330.1	2.3MB	2313752	649561	0.56	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Bifidobacterium.	Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505	Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505 DNA,
AP012331.1	3.2MB	3158347	1019855	0.65	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Bifidobacterium.	Bifidobacterium scardovii JCM 12489 = DSM 13734	Bifidobacterium scardovii JCM 12489 = DSM 13734 DNA, complete genome.
AP012332.1	1.7MB	1667406	347351	0.41	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Gardnerella.	Gardnerella vaginalis ATCC 14018 = JCM 11026	Gardnerella vaginalis ATCC 14018 = JCM 11026 DNA, complete genome.
AP012333.1	1.9MB	1890857	552839	0.58	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Parascardovia.	Parascardovia denticolens DSM 10105 = JCM 12538	Parascardovia denticolens DSM 10105 = JCM 12538 DNA, complete genome.
AP012334.1	1.8MB	1797862	434226	0.49	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Scardovia.	Scardovia inopinata JCM 12537	Scardovia inopinata JCM 12537 DNA, complete genome.
AP012335.1	1.8MB	1811124	351508	0.39	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus pyogenes JRS4	Streptococcus pyogenes JRS4 DNA, complete genome.
AP012336.1	2.0MB	2015626	376264	0.37	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus mutans LJ23	Streptococcus mutans LJ23 DNA, complete genome.
