Gene	Product	log(ii/essentiality_threshold)														Locus tag														Number of copies of gene in the genome														path_id	path_name
		Enterobacter.cloacae.NCTC.9394	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655	Enterobacter.cloacae.NCTC.9394	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655	Enterobacter.cloacae.NCTC.9394	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655		
miaA	tRNA isopentenyltransferase (miaA)	2.8210493545	1.891634347	2.0825742074	1.7521886991	2.3504975889	2.3358187129	2.2634398224	1.4297242744	1.6777027991	-0.2583922943	2.2563092074	1.5054579636	1.7123466278	4.5	ENC_42700	BN373_01791	ERS227112_02047	ROD_32311	SL1344_4294	SL3261_4294	STMMW_43051	STM_MW43051	SEN4127	t4411	EC958_4658	NCTC13441_04282	BW25113_4171	b4171	1	0	0	0	0	0	0	0	0	0	0	0	0	0	eco01110	Biosynthesis of secondary metabolites 
pgk	phosphoglycerate kinase	-4.5	-4.5	-4.5	-4.5	-4.5	-2.5420557197	-1.7182595208	-1.6369693047	-0.8531566855	-2.3941554669	-0.2984816609	-4.5	-4.5	-4.5	ENC_31600	BN373_40191	ERS227112_01310	ROD_50671	SL1344_3045	SL3261_3045	STMMW_30301	STM_MW30301	SEN2912	t2988	EC958_3205	NCTC13441_00830	BW25113_2926	b2926	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
pgm	phosphoglucomutase, alpha-D-glucose phosphate-specific	2.2690768917	2.162081247	-2.0004477678	1.6717566386	1.9419050631	2.1633165308	1.6555595603	0.696654017	1.3928028389	-0.8805513848	2.0109983207	1.0469525082	1.85910321	4.5	ENC_20380	BN373_12821	ERS227112_03152	ROD_06961	SL1344_0680	SL3261_0680	STMMW_07561	STM_MW07561	SEN0662	t2177	EC958_0806	NCTC13441_03303	BW25113_0688	b0688	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
plsB	glycerol-3-phosphate acyltransferase	-4.5	-2.5452832921	-4.5	-1.0175750203	-4.5	-2.7910010912	-1.729910775	-4.5	-1.585636447	-4.5	-2.3910380931	-3.1449142218	-4.5	-4.5	ENC_04720	BN373_00361	ERS227112_01901	ROD_37051	SL1344_4172	SL3261_4172	STMMW_41851	STM_MW41851	SEN4004	t4141	EC958_4497	NCTC13441_04445	BW25113_4041	b4041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
plsC	1-acyl-sn-glycerol-3-phosphate acyltransferase	-2.0266961426	-4.5	-4.5	-0.5220678164	-2.0904898322	-4.5	-1.9702226765	-4.5	-1.1329970912	-4.5	-4.5	-1.7021634909	-4.5	-4.5	ENC_32530	BN373_40881	ERS227112_01172	ROD_35641	SL1344_3147	SL3261_3147	STMMW_31331	STM_MW31331	SEN3016	t3094	EC958_3416	NCTC13441_00683	BW25113_3018	b3018	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
prs	ribose-phosphate pyrophosphokinase	-4.5	-0.7890031956	-4.5	-1.6230858323	-1.9107734895	-1.2895045012	-1.2711571467	-4.5	-1.5737769852	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_07550	BN373_28321	ERS227112_04430	ROD_18061	SL1344_1708	SL3261_1708	STMMW_17721	STM_MW17721	SEN1259	t1096	EC958_1475	NCTC13441_02635	BW25113_1207	b1207	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
psd	phosphatidylserine decarboxylase precursor	-4.5	-4.5	-4.5	-4.5	-2.4015062393	-4.5	-0.6343225504	-1.4223621706	-2.0309135649	-4.5	-1.3360742698	-4.5	-4.5	-4.5	ENC_42620	BN373_01701	ERS227112_02035	ROD_32221	SL1344_4285	SL3261_4285	STMMW_42961	STM_MW42961	SEN4118	t4400	EC958_4650	NCTC13441_04293	BW25113_4160	b4160	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
pssA	CDP-diacylglycerol--serine O-phosphatidyltransferase	-4.5	-0.6950379579	-4.5	-4.5	-1.3988918013	-4.5	-0.9020569698	-4.5	-1.2070198516	-4.5	-2.4589267873	-1.9156161786	-1.7219397756	-4.5	ENC_435added	BN373_35661	ERS227112_00005	ROD_25301	SL1344_2616	SL3261_2616	STMMW_26721	STM_MW26721	SEN2579	t0258	EC958_2891	NCTC13441_01154	BW25113_2585	b2585	1	1	1	2	2	2	2	2	2	2	2	2	2	2	eco01110	Biosynthesis of secondary metabolites 
purB	Adenylosuccinate lyase	-0.3997295056	0.6734803412	-0.3914253176	0.5473927831	0.4655118386	0.3297383417	0.821875512	0.5458981323	0.7256497596	-0.6786715774	-0.1592854202	1.0466354666	-4.5	-4.5	ENC_15040	BN373_17561	ERS227112_03609	ROD_12211	SL1344_1170	SL3261_1170	STMMW_12421	STM_MW12421	SEN1817	t1688	EC958_1328	NCTC13441_02781	BW25113_1131	b1131	3	4	4	2	3	3	3	3	3	2	2	2	2	2	eco01110	Biosynthesis of secondary metabolites 
ribA	GTP cyclohydrolase II	-4.5	-4.5	-4.5	-4.5	-1.4493375436	-0.8058768234	-4.5	-4.5	-0.7136723874	-4.5	-1.3417683432	-4.5	-4.5	-4.5	ENC_08380	BN373_18991	ERS227112_05455	ROD_17231	SL1344_1643	SL3261_1643	STMMW_17061	STM_MW17061	SEN1322	t1624	EC958_1609	NCTC13441_02486	BW25113_1277	b1277	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
ribB	3,4-dihydroxy-2-butanone 4-phosphate synthase	-4.5	-4.5	-4.5	-0.8055780542	-4.5	-4.5	-1.8373214199	-1.1107410874	-0.9978148991	-4.5	-2.2153064272	-4.5	-4.5	-4.5	ENC_32880	BN373_41061	ERS227112_01154	ROD_35901	SL1344_3168	SL3261_3168	STMMW_31561	STM_MW31561	SEN3037	t3115	EC958_3451	NCTC13441_00647	BW25113_3041	b3041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
ribD	diaminohydroxyphosphoribosylaminopyrimidine deaminase /5-amino-6-(5-phosphoribosylamino)uracil reductase	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-2.5206357105	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_23450	BN373_08551	ERS227112_02717	ROD_04631	SL1344_0410	SL3261_0410	STMMW_04861	STM_MW04861	SEN0398	t2447	EC958_0552	NCTC13441_03565	BW25113_0414	b0414	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
ribE	riboflavin synthase alpha chain	-4.5	-0.3682298024	-4.5	-4.5	-4.5	-4.5	-0.7925928442	-4.5	-0.5149655254	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_13370	BN373_25831	ERS227112_04672	ROD_14071	SL1344_1358	SL3261_1358	STMMW_14291	STM_MW14291	SEN1621	t1294	EC958_1884	NCTC13441_02219	BW25113_1662	b1662	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
ribF	FMN adenylyltransferase /riboflavin kinase	-4.5	-4.5	-4.5	-1.8018323397	-1.236499352	-4.5	-4.5	-4.5	-0.9019796899	-4.5	-0.8541640661	-1.2513357892	-4.5	-4.5	ENC_45420	BN373_05011	ERS227112_02355	ROD_00221	SL1344_0046	SL3261_0046	STMMW_00461	STM_MW00461	SEN0045	t0047	EC958_0157	NCTC13441_03967	BW25113_0025	b0025	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
ribH	6,7-dimethyl-8-ribityllumazine synthase	-4.5	-4.5	-4.5	-4.5	-4.5	-1.3059341692	-4.5	-4.5	-4.5	-4.5	-0.2322435606	-4.5	-4.5	-4.5	ENC_23440	BN373_08561	ERS227112_02718	ROD_04641	SL1344_0411	SL3261_0411	STMMW_04871	STM_MW04871	SEN0399	t2446	EC958_0553	NCTC13441_03564	BW25113_0415	b0415	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
rpiA	ribose 5-phosphate isomerase	1.9518005784	1.6165362	-1.5057629549	1.4229880801	-0.8963198796	-1.2767550432	0.8688065354	-0.3677491859	0.1302107411	-1.8022173381	0.4974311091	1.9714897883	1.3255999939	4.5	ENC_31530	BN373_40131	ERS227112_01316	ROD_49161	SL1344_3039	SL3261_3039	STMMW_30231	STM_MW30231	SEN2906	t2981	EC958_3194	NCTC13441_00841	BW25113_2914	b2914	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
sucA	2-oxoglutarate dehydrogenase E1 component	0.0405202214	1.3347492219	0.8800014659	1.3339850689	1.9094557589	1.3778558487	1.0270709132	0.6538368577	1.347248963	-1.3619047841	0.9881780534	0.8212862788	0.7278105644	4.5	ENC_20130	BN373_13051	ERS227112_03175	ROD_07231	SL1344_0718	SL3261_0718	STMMW_07931	STM_MW07931	SEN0686	t2140	EC958_0840	NCTC13441_03270	BW25113_0726	b0726	1	1	1	1	1	1	1	1	1	1	2	2	1	1	eco01110	Biosynthesis of secondary metabolites 
sucB	2-oxoglutarate dehydrogenase E2 component	-2.3489032612	0.5829721443	0.9100561076	0.8034404187	1.466121871	1.2590553488	0.4583945079	-0.3014833051	1.039070445	-4.5	0.905361541	1.1770911777	0.5683076613	4.5	ENC_20120	BN373_13061	ERS227112_03176	ROD_07241	SL1344_0719	SL3261_0719	STMMW_07941	STM_MW07941	SEN0687	t2139	EC958_0841	NCTC13441_03269	BW25113_0727	b0727	1	3	1	1	1	1	1	1	1	1	2	2	1	1	eco01110	Biosynthesis of secondary metabolites 
tktA	transketolase	1.0618405801	1.9858802308	1.64530687	2.0041488423	2.0606476469	1.6503095755	1.8017013499	1.1872829884	1.4627508166	-1.8516259556	1.5751694551	0.9303221118	1.9140807742	4.5	ENC_31720	BN373_40211	ERS227112_01308	ROD_50511	SL1344_3052	SL3261_3052	STMMW_30371	STM_MW30371	SEN2919	t2996	EC958_3220	NCTC13441_00816	BW25113_2935	b2935	2	3	2	3	2	2	2	2	2	2	3	3	2	2	eco01110	Biosynthesis of secondary metabolites 
ubiA	4-hydroxybenzoate octaprenyltransferase	-2.434410371	-0.1321227054	-1.1418200133	-0.4053071332	-2.4145073458	-4.5	-2.3223354848	-4.5	-1.2613434212	-4.5	-0.8374917354	-2.1252718421	-1.5421660472	-4.5	ENC_04710	BN373_00351	ERS227112_01900	ROD_37061	SL1344_4171	SL3261_4171	STMMW_41841	STM_MW41841	SEN4003	t4140	EC958_4496	NCTC13441_04446	BW25113_4040	b4040	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
ubiD	3-octaprenyl-4hydroxybenzoate decarboxylase	-2.1102269812	-0.5053616705	-2.3195288805	-0.4573480666	-0.648058883	-0.6512447852	-0.7266222135	-0.6745180632	-0.6423739104	-4.5	-0.9658117666	-0.9479863638	-4.5	-4.5	ENC_01700	BN373_49621	ERS227112_01809	ROD_39131	SL1344_3932	SL3261_3932	STMMW_39491	STM_MW39491	SEN3773	t3319	EC958_4323	NCTC13441_04658	BW25113_3843	b3843	3	3	3	2	2	2	2	2	2	2	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
ubiE	ubiquinone/menaquinone biosynthesis methyltransferases	-1.4346343999	-0.7558370213	-4.5	-0.0691261911	-0.9880702525	-1.7692784392	-0.5665499216	-1.6112563182	-0.6600107594	-4.5	0	0.0648746363	-0.0976178377	4.5	ENC_01780	BN373_49541	ERS227112_01801	ROD_39211	SL1344_3924	SL3261_3924	STMMW_39411	STM_MW39411	SEN3765	t3327	EC958_4315	NCTC13441_04666	BW25113_3833	b3833	4	4	4	5	4	4	4	4	4	6	3	3	3	3	eco01110	Biosynthesis of secondary metabolites 
ubiF	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase	-1.3076357922	1.5790638956	-0.57688836	0.6102966587	0.1818653797	-2.0548700636	-0.562516708	-4.5	-1.8063898936	-4.5	1.0767295723	0.3462483889	0.8761825926	4.5	ENC_20540	BN373_12671	ERS227112_03129	ROD_06751	SL1344_0660	SL3261_0660	STMMW_07361	STM_MW07361	SEN0640	t2202	EC958_0780	NCTC13441_03335	BW25113_0662	b0662	3	3	3	3	3	3	3	3	3	3	3	3	3	3	eco01110	Biosynthesis of secondary metabolites 
ubiG	3-demethylubiquinone-9 3-O-methyltransferase	X	0.0574763804	-4.5	-1.3408873243	-1.9603073887	-4.5	-4.5	-4.5	-1.9911304195	-4.5	-4.5	-4.5	-4.5	4.5	X	BN373_32521	ERS227112_03938	ROD_23541	SL1344_2245	SL3261_2245	STMMW_23001	STM_MW23001	SEN2258	t0588	EC958_2568	NCTC13441_01476	BW25113_2232	b2232	3	5	4	5	5	5	5	5	4	4	7	7	7	7	eco01110	Biosynthesis of secondary metabolites 
ubiH	2-octaprenyl-6-methoxyphenol hydroxylase /2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase	-1.4711579972	0.528824968	-4.5	0.252237597	-0.1769929839	-1.8549189906	-1.3192162382	-4.5	-2.9277617467	-2.3602156965	0.2422457729	-0.3179736905	-0.8597249118	4.5	ENC_31470	BN373_40071	ERS227112_01323	ROD_49261	SL1344_3033	SL3261_3033	STMMW_30171	STM_MW30171	SEN2900	t2975	EC958_3188	NCTC13441_00849	BW25113_2907	b2907	3	3	3	3	3	3	3	3	3	3	3	3	3	3	eco01110	Biosynthesis of secondary metabolites 
ubiX	3-octaprenyl-4hydroxybenzoate decarboxylase	-0.3368676833	1.8784901241	-1.1750986406	-4.5	1.3111752218	1.1636849338	1.8140750477	0.8447898064	1.0899162397	0.9166845229	0.5029817262	-0.9035949951	-4.5	4.5	ENC_38970	BN373_33111	ERS227112_03878	ROD_27191	SL1344_2325	SL3261_2325	STMMW_23781	STM_MW23781	SEN2338	t0508	EC958_2646	NCTC13441_01400	BW25113_2311	b2311	2	2	2	2	2	2	2	2	2	2	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
uppS	Undecaprenyl pyrophosphate synthetase	-4.5	-0.9995063666	-1.7497863638	-4.5	-1.9789277464	-4.5	-1.1387141669	-4.5	-0.8261440537	-4.5	-4.5	-1.6649603747	-1.1256599916	-4.5	ENC_46970	BN373_06791	ERS227112_02529	ROD_01771	SL1344_0222	SL3261_0222	STMMW_02271	STM_MW02271	SEN0228	t0222	EC958_0320	NCTC13441_03803	BW25113_0174	b0174	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
entD	enterochelin synthetase component D	X	2.342883443	2.0854226914	1.9967241477	2.405490568	2.2850913206	1.9057818025	1.7833674756	1.6782149495	1.2328104132	2.3960628586	2.4326376075	1.0067936784	-4.5	X	BN373_11791	ERS227112_03039	ROD_05921	SL1344_0572	SL3261_0572	STMMW_06491	STM_MW06491	SEN0553	t2284	EC958_0701	NCTC13441_03413	BW25113_0583	b0583	0	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01053	Biosynthesis of siderophore group nonribosomal peptides 
fabG	3-oxoacyl-[acyl-carrier-protein] reductase	-4.5	-0.502209631	-4.5	-4.5	-4.5	-4.5	-0.5287455691	-4.5	-2.0592301275	-4.5	-0.9501952372	-4.5	-4.5	-4.5	ENC_15460	BN373_17051	ERS227112_03569	ROD_11551	SL1344_1132	SL3261_1132	STMMW_12041	STM_MW12041	SEN1854	t1725	EC958_1289	NCTC13441_02819	BW25113_1093	b1093	20	35	32	18	11	11	11	11	12	10	17	17	14	14	eco01040	Biosynthesis of unsaturated fatty acids 
birA	bifunctional protein BirA	X	-0.58148614	-1.9026573192	0.030152897	-1.2693034547	-1.3003083603	-0.5999613598	-4.5	-0.4694456381	-0.2047996813	0.3575543551	-0.257901607	-0.7050038845	-4.5	X	BN373_49711	ERS227112_01821	ROD_37761	SL1344_4082	SL3261_4082	STMMW_40971	STM_MW40971	SEN3927	t3488	EC958_5089	NCTC13441_04522	BW25113_3973	b3973	0	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00780	Biotin metabolism 
fabB	3-oxoacyl-[acyl-carrier-protein] synthase I	-2.1974257369	-4.5	-4.5	-1.9637433377	-1.7330882303	-1.3856405014	-1.3034211333	-4.5	-1.4844598565	-4.5	-4.5	-4.5	-1.5738499117	-4.5	ENC_38840	BN373_33231	ERS227112_03866	ROD_27351	SL1344_2347	SL3261_2347	STMMW_24001	STM_MW24001	SEN2360	t0486	EC958_2658	NCTC13441_01388	BW25113_2323	b2323	4	3	3	5	2	2	2	2	2	2	2	2	2	2	eco00780	Biotin metabolism 
fabG	3-oxoacyl-[acyl-carrier-protein] reductase	-4.5	-0.502209631	-4.5	-4.5	-4.5	-4.5	-0.5287455691	-4.5	-2.0592301275	-4.5	-0.9501952372	-4.5	-4.5	-4.5	ENC_15460	BN373_17051	ERS227112_03569	ROD_11551	SL1344_1132	SL3261_1132	STMMW_12041	STM_MW12041	SEN1854	t1725	EC958_1289	NCTC13441_02819	BW25113_1093	b1093	20	35	32	18	11	11	11	11	12	10	17	17	14	14	eco00780	Biotin metabolism 
fabI	Enoyl-[acyl-carrier-protein] reductase [NADH]	-4.5	-0.5847567964	-4.5	-4.5	-4.5	-4.5	-1.001055435	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_08530	BN373_19101	ERS227112_05444	ROD_17111	SL1344_1631	SL3261_1631	STMMW_16961	STM_MW16961	SEN1332	t1613	EC958_1622	NCTC13441_02474	BW25113_1288	b1288	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00780	Biotin metabolism 
fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-0.5862022603	-1.2418083234	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_582added	BN373_06851	ERS227112_02535	ROD_01831	SL1344_0228	SL3261_0228	STMMW_02331	STM_MW02331	SEN0234	t0228	EC958_0326	NCTC13441_03796	BW25113_0180	b0180	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00780	Biotin metabolism 
accA	acetyl-CoA carboxylase carboxyltransferase subunit alpha	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-2.0611159024	-4.5	-1.2947620187	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_47080	BN373_06901	ERS227112_02540	ROD_01881	SL1344_0233	SL3261_0233	STMMW_02381	STM_MW02381	SEN0239	t0233	EC958_0331	NCTC13441_03791	BW25113_0185	b0185	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01200	Carbon metabolism 
accB	biotin carboxyl carrier protein	-1.5570538888	-0.8371673697	-4.5	-4.5	-1.7106580789	-4.5	-4.5	X	-1.3214113017	-4.5	-4.5	-4.5	-0.8840421093	-4.5	ENC_35030	BN373_43051	ERS227112_00942	ROD_45591	SL1344_3352	SL3261_3352	STMMW_33771	X	SEN3213	t3294	EC958_3647	NCTC13441_00446	BW25113_3255	b3255	1	2	1	1	1	1	1	0	1	1	1	1	1	1	eco01200	Carbon metabolism 
accC	Biotin carboxylase	-2.1002628673	-4.5	-4.5	-1.5313932766	-2.6929607146	-2.7560792555	-1.2522391353	-4.5	-3.0661120384	-4.5	-2.1037791903	-4.5	-4.5	-4.5	ENC_35050	BN373_43061	ERS227112_00941	ROD_45581	SL1344_3353	SL3261_3353	STMMW_33781	STM_MW33781	SEN3214	t3295	EC958_3648	NCTC13441_00445	BW25113_3256	b3256	1	0	0	0	0	0	0	0	0	0	0	0	0	0	eco01200	Carbon metabolism 
accD	acetyl-CoA carboxylase carboxyltransferase subunit alpha	-4.5	-4.5	-4.5	-1.6843217266	-4.5	-4.5	-1.710090881	-4.5	-4.5	-4.5	-2.0109132603	-4.5	-4.5	-4.5	ENC_38910	BN373_33161	ERS227112_03873	ROD_27281	SL1344_2335	SL3261_2335	STMMW_23881	STM_MW23881	SEN2348	t0498	EC958_2651	NCTC13441_01395	BW25113_2316	b2316	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01200	Carbon metabolism 
aceE	pyruvate dehydrogenase E1 component, homodimeric type	1.2696037409	2.0437983264	0.2521806314	1.5864429927	0.110527517	0.9327913785	0.9535114205	-0.313692292	0.7746859797	-1.6050684544	0.8767102889	-0.3220568791	1.6059941799	4.5	ENC_46270	BN373_06081	ERS227112_02456	ROD_01201	SL1344_0152	SL3261_0152	STMMW_01581	STM_MW01581	SEN0156	t0158	EC958_0256	NCTC13441_03867	BW25113_0114	b0114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01200	Carbon metabolism 
aceF	pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase, long form	0.9133373207	1.9203138271	-0.2331814339	1.2239036763	0	-0.0910065042	0.399763648	-0.30496167	0.3627593102	-2.6393038246	0.7595260314	-0.671923976	0.2989506555	4.5	ENC_46280	BN373_06091	ERS227112_02457	ROD_01211	SL1344_0153	SL3261_0153	STMMW_01591	STM_MW01591	SEN0157	t0159	EC958_0257	NCTC13441_03866	BW25113_0115	b0115	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01200	Carbon metabolism 
acnB	aconitase	2.6081987806	1.9876938234	-0.176944007	1.9375338145	2.2372075442	2.041201891	1.9328987963	0.9487358422	1.5308715912	0.3601897732	1.091651065	1.3066494234	1.9978960016	4.5	ENC_46340	BN373_06141	ERS227112_02462	ROD_01251	SL1344_0159	SL3261_0159	STMMW_01641	STM_MW01641	SEN0162	t0164	EC958_0260	NCTC13441_03863	BW25113_0118	b0118	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01200	Carbon metabolism 
cysE	serine O-acetyltransferase	1.0837095836	0.6573880502	-4.5	1.314346542	-0.0609862357	1.208573829	0.6949488336	-4.5	0.0564886806	1.3664611489	-0.259906167	-0.09312706	0.1859459267	4.5	ENC_02250	BN373_45931	ERS227112_00627	ROD_42091	SL1344_3665	SL3261_3665	STMMW_36871	STM_MW36871	SEN3521	t3820	EC958_4015	NCTC13441_00076	BW25113_3607	b3607	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01200	Carbon metabolism 
eno	enolase	-4.5	-0.4138866294	-4.5	-1.4691359872	-4.5	-4.5	-4.5	-1.5505985829	-1.492243699	-4.5	0.3965460498	-2.1593127492	-4.5	-4.5	ENC_30220	BN373_37671	ERS227112_01537	ROD_30351	SL1344_2931	SL3261_2931	STMMW_29151	STM_MW29151	SEN2791	t2853	EC958_3048	NCTC13441_00995	BW25113_2779	b2779	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01200	Carbon metabolism 
fbaA	fructose-bisphosphate aldolase	X	-0.8946265231	-4.5	-4.5	-1.7958522457	-1.3666825203	-1.2360038199	-4.5	-0.9087222659	-2.3141521704	0.3985301564	-2.0147456354	-4.5	-4.5	X	BN373_40181	ERS227112_01311	ROD_50681	SL1344_3044	SL3261_3044	STMMW_30291	STM_MW30291	SEN2911	t2987	EC958_3204	NCTC13441_00831	BW25113_2925	b2925	0	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01200	Carbon metabolism 
folD	methenyltetrahydrofolate cyclohydrolase /5,10-methylenetetrahydrofolate dehydrogenase (NADP+)	-2.1598109245	0.3760107936	-4.5	-0.3401239331	-2.0851081909	-1.8464942813	-0.5471772927	-4.5	-1.59235964	-1.627633436	-1.9200796599	-4.5	-4.5	-4.5	ENC_22180	BN373_09731	ERS227112_02835	ROD_05611	SL1344_0535	SL3261_0535	STMMW_06101	STM_MW06101	SEN0523	t2321	EC958_0668	NCTC13441_03446	BW25113_0529	b0529	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01200	Carbon metabolism 
gapA	glyceraldehyde-3-phosphate dehydrogenase	-4.5	-4.5	-4.5	-4.5	-1.9918123502	-4.5	-1.3420305258	-4.5	-0.9231260509	-4.5	0.1040114018	-4.5	-4.5	4.5	ENC_14760	BN373_18191	ERS227112_03665	ROD_12731	SL1344_1225	SL3261_1225	STMMW_12971	STM_MW12971	SEN1762	t1169	EC958_2001	NCTC13441_02101	BW25113_1779	b1779	3	3	4	3	2	2	2	2	2	2	3	3	3	3	eco01200	Carbon metabolism 
glyA	serine hydroxymethyltransferase	-1.5695471202	-1.3466417536	-4.5	1.6585957606	0.5563811839	1.5967618923	-4.5	0.4159777824	-1.2462443696	-0.154086078	-1.6046028481	-4.5	-4.5	4.5	ENC_37150	BN373_35341	ERS227112_00039	ROD_24931	SL1344_2517	SL3261_2517	STMMW_25721	STM_MW25721	SEN2535	t0301	EC958_2857	NCTC13441_01190	BW25113_2551	b2551	1	1	1	1	1	1	1	1	2	2	1	1	1	1	eco01200	Carbon metabolism 
icd	isocitrate dehydrogenase (NADP)	0.8975770359	0.3598895999	-4.5	0.1892814784	1.5591340033	1.4511651275	1.5375133499	0.2458733579	1.0905579873	-0.3658515076	-1.4498838492	-0.7604474198	1.2507240753	4.5	ENC_14990	BN373_17611	ERS227112_03614	ROD_12261	SL1344_1176	SL3261_1176	STMMW_12481	STM_MW12481	SEN1811	t1682	EC958_1333	NCTC13441_02776	BW25113_1136	b1136	2	3	4	5	2	2	2	2	2	2	2	2	3	3	eco01200	Carbon metabolism 
lpdA	dihydrolipoamide dehydrogenase	-1.3143918345	0.8016237362	-4.5	-0.6975769459	-0.7138162473	-2.5784884794	-0.2967405039	-1.6306134324	0.1672680032	-2.3528419954	-2.086324611	-4.5	0.6791219417	4.5	ENC_46290	BN373_06101	ERS227112_02458	ROD_01221	SL1344_0154	SL3261_0154	STMMW_01601	STM_MW01601	SEN0158	t0160	EC958_0258	NCTC13441_03865	BW25113_0116	b0116	3	4	5	3	4	4	4	4	4	4	5	5	4	4	eco01200	Carbon metabolism 
pgk	phosphoglycerate kinase	-4.5	-4.5	-4.5	-4.5	-4.5	-2.5420557197	-1.7182595208	-1.6369693047	-0.8531566855	-2.3941554669	-0.2984816609	-4.5	-4.5	-4.5	ENC_31600	BN373_40191	ERS227112_01310	ROD_50671	SL1344_3045	SL3261_3045	STMMW_30301	STM_MW30301	SEN2912	t2988	EC958_3205	NCTC13441_00830	BW25113_2926	b2926	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01200	Carbon metabolism 
