Gene	Product	log(ii/essentiality+AF8-threshold)													Locus tag													Number of copies of gene in the genome													path+AF8-id	path+AF8-name
		Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655		
hemD	uroporphyrinogen+AC0-III synthase	+AC0-1.4362897372	+AC0-4.5	+AC0-1.163676751	+AC0-1.65565608	+AC0-4.5	+AC0-2.3341452519	+AC0-4.5	+AC0-0.8944203421	+AC0-4.5	+AC0-4.5	+AC0-1.2115806021	+AC0-4.5	+AC0-4.5	BN373+AF8-49281	ERS227112+AF8-01775	ROD+AF8-39471	SL1344+AF8-3892	SL3261+AF8-3892	STMMW+AF8-39081	STM+AF8-MW39081	SEN3738	t3360	EC958+AF8-4265	NCTC13441+AF8-04716	BW25113+AF8-3804	b3804	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
hemE	uroporphyrinogen decarboxylase	+AC0-0.1569212407	+AC0-2.0191302113	+AC0-1.3151295169	+AC0-2.7330117225	+AC0-1.664320467	+AC0-1.9296901682	+AC0-4.5	+AC0-1.5417293484	+AC0-4.5	+AC0-2.7185789024	+AC0-4.5	+AC0-4.5	4.5	BN373+AF8-49941	ERS227112+AF8-01850	ROD+AF8-37551	SL1344+AF8-4106	SL3261+AF8-4106	STMMW+AF8-41201	STM+AF8-MW41201	SEN3953	t3464	EC958+AF8-5108	NCTC13441+AF8-04497	BW25113+AF8-3997	b3997	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
hemG	protoporphyrinogen oxidase	+AC0-4.5	+AC0-1.3112012488	+AC0-1.523890945	+AC0-1.3569816852	+AC0-1.4505757705	+AC0-0.645593587	+AC0-1.2892742452	+AC0-0.6334301639	+AC0-4.5	+AC0-2.1518234836	+AC0-4.5	+AC0-0.6946358696	+AC0-4.5	BN373+AF8-49691	ERS227112+AF8-01816	ROD+AF8-39051	SL1344+AF8-3940	SL3261+AF8-3940	STMMW+AF8-39571	STM+AF8-MW39571	SEN3781	t3311	EC958+AF8-4330	NCTC13441+AF8-04651	BW25113+AF8-3850	b3850	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
hemH	ferrochelatase	+AC0-1.100747326	+AC0-1.7085460309	+AC0-4.5	+AC0-2.1618976257	+AC0-1.9696567178	+AC0-0.3143294594	+AC0-4.5	+AC0-1.5989177297	+AC0-4.5	+AC0-2.018531247	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-09451	ERS227112+AF8-02810	ROD+AF8-05331	SL1344+AF8-0482	SL3261+AF8-0482	STMMW+AF8-05591	STM+AF8-MW05591	SEN0470	t2371	EC958+AF8-0614	NCTC13441+AF8-03503	BW25113+AF8-0475	b0475	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
hemL	glutamate+AC0-1+AC0-semialdehyde+AC0-2,1+AC0-aminomutase	1.960154414	+AC0-1.1636996103	+AC0-0.8294680973	0.7472049494	1.9833912343	1.1099013878	+AC0-4.5	+AC0-0.9600598438	+AC0-0.7283725385	+AC0-0.935156593	+AC0-1.4904561489	+AC0-0.0173809319	+AC0-4.5	BN373+AF8-06601	ERS227112+AF8-02510	ROD+AF8-01581	SL1344+AF8-0203	SL3261+AF8-0203	STMMW+AF8-02081	STM+AF8-MW02081	SEN0207	t0203	EC958+AF8-0302	NCTC13441+AF8-03822	BW25113+AF8-0154	b0154	11	10	6	6	6	6	5	6	6	6	6	7	7	eco01110	Biosynthesis of secondary metabolites 
icd	isocitrate dehydrogenase, NADP+AC0-dependent	0.3598895999	+AC0-4.5	0.1892814784	1.5591340033	1.4511651275	1.5375133499	0.2458733579	1.0905579873	+AC0-0.3658515076	+AC0-1.4498838492	+AC0-0.7604474198	1.2507240753	4.5	BN373+AF8-17611	ERS227112+AF8-03614	ROD+AF8-12261	SL1344+AF8-1176	SL3261+AF8-1176	STMMW+AF8-12481	STM+AF8-MW12481	SEN1811	t1682	EC958+AF8-1333	NCTC13441+AF8-02776	BW25113+AF8-1136	b1136	3	4	5	2	2	2	2	2	2	2	2	3	3	eco01110	Biosynthesis of secondary metabolites 
ispA	geranyltranstransferase	1.5371188858	+AC0-4.5	1.6518494525	+AC0-1.3876907751	0.6200116105	+AC0-0.9959682873	+AC0-0.6809425865	+AC0-0.9180976556	+AC0-4.5	+AC0-2.0656791088	+AC0-1.6778082301	+AC0-4.5	+AC0-4.5	BN373+AF8-08621	ERS227112+AF8-02724	ROD+AF8-04701	SL1344+AF8-0417	SL3261+AF8-0417	STMMW+AF8-04931	STM+AF8-MW04931	SEN0405	t2440	EC958+AF8-0559	NCTC13441+AF8-03558	BW25113+AF8-0421	b0421	2	2	2	2	2	2	2	2	2	2	2	2	2	eco01110	Biosynthesis of secondary metabolites 
ispB	octaprenyl+AC0-diphosphate synthase	+AC0-0.4682733114	+AC0-1.6922880116	+AC0-1.929699794	+AC0-2.3947062917	+AC0-2.4399701545	+AC0-1.532781492	+AC0-4.5	+AC0-0.939349659	+AC0-4.5	+AC0-2.481116565	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-42471	ERS227112+AF8-01001	ROD+AF8-46331	SL1344+AF8-3277	SL3261+AF8-3277	STMMW+AF8-33041	STM+AF8-MW33041	SEN3138	t3222	EC958+AF8-3587	NCTC13441+AF8-00505	BW25113+AF8-3187	b3187	2	2	2	2	2	2	2	2	2	2	2	2	2	eco01110	Biosynthesis of secondary metabolites 
ispD	2+AC0-C+AC0-methyl+AC0-D+AC0-erythritol 4+AC0-phosphate cytidylyltransferase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.9864788372	+AC0-4.5	+AC0-0.6916797516	+AC0-4.5	+AC0-1.1754516509	+AC0-4.5	2.1153454195	1.4983989433	+AC0-4.5	+AC0-4.5	BN373+AF8-37531	ERS227112+AF8-01551	ROD+AF8-30621	SL1344+AF8-2909	SL3261+AF8-2909	STMMW+AF8-28931	STM+AF8-MW28931	SEN2769	t2831	EC958+AF8-3018	NCTC13441+AF8-01026	BW25113+AF8-2747	b2747	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
ispE	4+AC0-diphosphocytidyl+AC0-2C+AC0-methyl+AC0-D+AC0-erythritol kinase	+AC0-0.6785422917	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.1634174489	+AC0-4.5	+AC0-1.0618681556	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-28311	ERS227112+AF8-04431	ROD+AF8-18051	SL1344+AF8-1707	SL3261+AF8-1707	STMMW+AF8-17711	STM+AF8-MW17711	SEN1260	t1097	EC958+AF8-1476	NCTC13441+AF8-02634	BW25113+AF8-1208	b1208	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
ispF	2C+AC0-methyl+AC0-D+AC0-erythritol 2,4+AC0-cyclodiphosphate synthase	+AC0-4.5	+AC0-4.5	+AC0-1.237666796	+AC0-4.5	+AC0-1.5143782371	+AC0-1.3956269141	+AC0-4.5	+AC0-1.8798152492	+AC0-4.5	+AC0-4.5	+AC0-1.101748519	+AC0-4.5	+AC0-4.5	BN373+AF8-37521	ERS227112+AF8-01552	ROD+AF8-30631	SL1344+AF8-2908	SL3261+AF8-2908	STMMW+AF8-28921	STM+AF8-MW28921	SEN2768	t2830	EC958+AF8-3017	NCTC13441+AF8-01027	BW25113+AF8-2746	b2746	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
ispG	4+AC0-hydroxy+AC0-3+AC0-methylbut+AC0-2+AC0-en+AC0-1+AC0-yl diphosphate synthase	+AC0-1.2591417828	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-0.6717794797	+AC0-4.5	+AC0-4.5	+AC0-1.7056976515	+AC0-4.5	+AC0-4.5	BN373+AF8-35021	ERS227112+AF8-00069A	ROD+AF8-24581	SL1344+AF8-2485	SL3261+AF8-2485	STMMW+AF8-25401	STM+AF8-MW25401	SEN2503	t0333	EC958+AF8-2825	NCTC13441+AF8-5added	BW25113+AF8-2515	b2515	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
ispH	4+AC0-hydroxy+AC0-3+AC0-methylbut+AC0-2+AC0-enyl diphosphate reductase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-2.3040234775	+AC0-4.5	+AC0-0.7039100518	+AC0-0.6201911257	+AC0-4.5	+AC0-2.4689324197	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-05051	ERS227112+AF8-02359	ROD+AF8-00261	SL1344+AF8-0050	SL3261+AF8-0050	STMMW+AF8-00501	STM+AF8-MW00501	SEN0049	t0051	EC958+AF8-0161	NCTC13441+AF8-03963	BW25113+AF8-0029	b0029	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
lpdA	dihydrolipoamide dehydrogenase	0.8016237362	+AC0-4.5	+AC0-0.6975769459	+AC0-0.7138162473	+AC0-2.5784884794	+AC0-0.2967405039	+AC0-1.6306134324	0.1672680032	+AC0-2.3528419954	+AC0-2.086324611	+AC0-4.5	0.6791219417	4.5	BN373+AF8-06101	ERS227112+AF8-02458	ROD+AF8-01221	SL1344+AF8-0154	SL3261+AF8-0154	STMMW+AF8-01601	STM+AF8-MW01601	SEN0158	t0160	EC958+AF8-0258	NCTC13441+AF8-03865	BW25113+AF8-0116	b0116	4	5	3	4	4	4	4	4	4	5	5	4	4	eco01110	Biosynthesis of secondary metabolites 
metK	S+AC0-adenosylmethionine synthetase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-2.4170879356	+AC0-4.5	+AC0-1.5732397931	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-40281	ERS227112+AF8-01288	ROD+AF8-50471	SL1344+AF8-3065	SL3261+AF8-3065	STMMW+AF8-30511	STM+AF8-MW30511	SEN2933	t3002	EC958+AF8-5057	NCTC13441+AF8-00810	BW25113+AF8-2942	b2942	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
miaA	tRNA delta(2)+AC0-isopentenylpyrophosphate transferase	1.891634347	2.0825742074	1.7521886991	2.3504975889	2.3358187129	2.2634398224	1.4297242744	1.6777027991	+AC0-0.2583922943	2.2563092074	1.5054579636	1.7123466278	4.5	BN373+AF8-01791	ERS227112+AF8-02047	ROD+AF8-32311	SL1344+AF8-4294	SL3261+AF8-4294	STMMW+AF8-43051	STM+AF8-MW43051	SEN4127	t4411	EC958+AF8-4658	NCTC13441+AF8-04282	BW25113+AF8-4171	b4171	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
pgk	phosphoglycerate kinase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-2.5420557197	+AC0-1.7182595208	+AC0-1.6369693047	+AC0-0.8531566855	+AC0-2.3941554669	+AC0-0.2984816609	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-40191	ERS227112+AF8-01310	ROD+AF8-50671	SL1344+AF8-3045	SL3261+AF8-3045	STMMW+AF8-30301	STM+AF8-MW30301	SEN2912	t2988	EC958+AF8-3205	NCTC13441+AF8-00830	BW25113+AF8-2926	b2926	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
pgm	phosphoglucomutase, alpha+AC0-D+AC0-glucose phosphate+AC0-specific	2.162081247	+AC0-2.0004477678	1.6717566386	1.9419050631	2.1633165308	1.6555595603	0.696654017	1.3928028389	+AC0-0.8805513848	2.0109983207	1.0469525082	1.85910321	4.5	BN373+AF8-12821	ERS227112+AF8-03152	ROD+AF8-06961	SL1344+AF8-0680	SL3261+AF8-0680	STMMW+AF8-07561	STM+AF8-MW07561	SEN0662	t2177	EC958+AF8-0806	NCTC13441+AF8-03303	BW25113+AF8-0688	b0688	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
plsB	glycerol+AC0-3+AC0-phosphate acyltransferase	+AC0-2.5452832921	+AC0-4.5	+AC0-1.0175750203	+AC0-4.5	+AC0-2.7910010912	+AC0-1.729910775	+AC0-4.5	+AC0-1.585636447	+AC0-4.5	+AC0-2.3910380931	+AC0-3.1449142218	+AC0-4.5	+AC0-4.5	BN373+AF8-00361	ERS227112+AF8-01901	ROD+AF8-37051	SL1344+AF8-4172	SL3261+AF8-4172	STMMW+AF8-41851	STM+AF8-MW41851	SEN4004	t4141	EC958+AF8-4497	NCTC13441+AF8-04445	BW25113+AF8-4041	b4041	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
plsC	1+AC0-acyl+AC0-sn+AC0-glycerol+AC0-3+AC0-phosphate acyltransferase	+AC0-4.5	+AC0-4.5	+AC0-0.5220678164	+AC0-2.0904898322	+AC0-4.5	+AC0-1.9702226765	+AC0-4.5	+AC0-1.1329970912	+AC0-4.5	+AC0-4.5	+AC0-1.7021634909	+AC0-4.5	+AC0-4.5	BN373+AF8-40881	ERS227112+AF8-01172	ROD+AF8-35641	SL1344+AF8-3147	SL3261+AF8-3147	STMMW+AF8-31331	STM+AF8-MW31331	SEN3016	t3094	EC958+AF8-3416	NCTC13441+AF8-00683	BW25113+AF8-3018	b3018	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
prs	ribose+AC0-phosphate pyrophosphokinase	+AC0-0.7890031956	+AC0-4.5	+AC0-1.6230858323	+AC0-1.9107734895	+AC0-1.2895045012	+AC0-1.2711571467	+AC0-4.5	+AC0-1.5737769852	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-28321	ERS227112+AF8-04430	ROD+AF8-18061	SL1344+AF8-1708	SL3261+AF8-1708	STMMW+AF8-17721	STM+AF8-MW17721	SEN1259	t1096	EC958+AF8-1475	NCTC13441+AF8-02635	BW25113+AF8-1207	b1207	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
psd	phosphatidylserine decarboxylase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-2.4015062393	+AC0-4.5	+AC0-0.6343225504	+AC0-1.4223621706	+AC0-2.0309135649	+AC0-4.5	+AC0-1.3360742698	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-01701	ERS227112+AF8-02035	ROD+AF8-32221	SL1344+AF8-4285	SL3261+AF8-4285	STMMW+AF8-42961	STM+AF8-MW42961	SEN4118	t4400	EC958+AF8-4650	NCTC13441+AF8-04293	BW25113+AF8-4160	b4160	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
pssA	CDP+AC0-diacylglycerol+AC0ALQ-serine O+AC0-phosphatidyltransferase	+AC0-0.6950379579	+AC0-4.5	+AC0-4.5	+AC0-1.3988918013	+AC0-4.5	+AC0-0.9020569698	+AC0-4.5	+AC0-1.2070198516	+AC0-4.5	+AC0-2.4589267873	+AC0-1.9156161786	+AC0-1.7219397756	+AC0-4.5	BN373+AF8-35661	ERS227112+AF8-00005	ROD+AF8-25301	SL1344+AF8-2616	SL3261+AF8-2616	STMMW+AF8-26721	STM+AF8-MW26721	SEN2579	t0258	EC958+AF8-2891	NCTC13441+AF8-01154	BW25113+AF8-2585	b2585	1	1	2	2	2	2	2	2	2	2	2	2	2	eco01110	Biosynthesis of secondary metabolites 
purB	adenylosuccinate lyase	0.6734803412	+AC0-0.3914253176	0.5473927831	0.4655118386	0.3297383417	0.821875512	0.5458981323	0.7256497596	+AC0-0.6786715774	+AC0-0.1592854202	1.0466354666	+AC0-4.5	+AC0-4.5	BN373+AF8-17561	ERS227112+AF8-03609	ROD+AF8-12211	SL1344+AF8-1170	SL3261+AF8-1170	STMMW+AF8-12421	STM+AF8-MW12421	SEN1817	t1688	EC958+AF8-1328	NCTC13441+AF8-02781	BW25113+AF8-1131	b1131	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
ribA	GTP cyclohydrolase II	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.4493375436	+AC0-0.8058768234	+AC0-4.5	+AC0-4.5	+AC0-0.7136723874	+AC0-4.5	+AC0-1.3417683432	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-18991	ERS227112+AF8-05455	ROD+AF8-17231	SL1344+AF8-1643	SL3261+AF8-1643	STMMW+AF8-17061	STM+AF8-MW17061	SEN1322	t1624	EC958+AF8-1609	NCTC13441+AF8-02486	BW25113+AF8-1277	b1277	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
ribB	3,4+AC0-dihydroxy+AC0-2+AC0-butanone 4+AC0-phosphate synthase	+AC0-4.5	+AC0-4.5	+AC0-0.8055780542	+AC0-4.5	+AC0-4.5	+AC0-1.8373214199	+AC0-1.1107410874	+AC0-0.9978148991	+AC0-4.5	+AC0-2.2153064272	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-41061	ERS227112+AF8-01154	ROD+AF8-35901	SL1344+AF8-3168	SL3261+AF8-3168	STMMW+AF8-31561	STM+AF8-MW31561	SEN3037	t3115	EC958+AF8-3451	NCTC13441+AF8-00647	BW25113+AF8-3041	b3041	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
ribD	riboflavin biosynthesis protein RibD	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-2.5206357105	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-08551	ERS227112+AF8-02717	ROD+AF8-04631	SL1344+AF8-0410	SL3261+AF8-0410	STMMW+AF8-04861	STM+AF8-MW04861	SEN0398	t2447	EC958+AF8-0552	NCTC13441+AF8-03565	BW25113+AF8-0414	b0414	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
ribE	riboflavin synthase, alpha subunit	+AC0-0.3682298024	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-0.7925928442	+AC0-4.5	+AC0-0.5149655254	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-25831	ERS227112+AF8-04672	ROD+AF8-14071	SL1344+AF8-1358	SL3261+AF8-1358	STMMW+AF8-14291	STM+AF8-MW14291	SEN1621	t1294	EC958+AF8-1884	NCTC13441+AF8-02219	BW25113+AF8-1662	b1662	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
ribF	riboflavin biosynthesis protein RibF	+AC0-4.5	+AC0-4.5	+AC0-1.8018323397	+AC0-1.236499352	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-0.9019796899	+AC0-4.5	+AC0-0.8541640661	+AC0-1.2513357892	+AC0-4.5	+AC0-4.5	BN373+AF8-05011	ERS227112+AF8-02355	ROD+AF8-00221	SL1344+AF8-0046	SL3261+AF8-0046	STMMW+AF8-00461	STM+AF8-MW00461	SEN0045	t0047	EC958+AF8-0157	NCTC13441+AF8-03967	BW25113+AF8-0025	b0025	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
ribH	6,7+AC0-dimethyl+AC0-8+AC0-ribityllumazine synthase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.3059341692	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-0.2322435606	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-08561	ERS227112+AF8-02718	ROD+AF8-04641	SL1344+AF8-0411	SL3261+AF8-0411	STMMW+AF8-04871	STM+AF8-MW04871	SEN0399	t2446	EC958+AF8-0553	NCTC13441+AF8-03564	BW25113+AF8-0415	b0415	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
rpiA	ribose 5+AC0-phosphate isomerase A	1.6165362	+AC0-1.5057629549	1.4229880801	+AC0-0.8963198796	+AC0-1.2767550432	0.8688065354	+AC0-0.3677491859	0.1302107411	+AC0-1.8022173381	0.4974311091	1.9714897883	1.3255999939	4.5	BN373+AF8-40131	ERS227112+AF8-01316	ROD+AF8-49161	SL1344+AF8-3039	SL3261+AF8-3039	STMMW+AF8-30231	STM+AF8-MW30231	SEN2906	t2981	EC958+AF8-3194	NCTC13441+AF8-00841	BW25113+AF8-2914	b2914	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
sucA	oxoglutarate dehydrogenase (succinyl+AC0-transferring), E1 component	1.3347492219	0.8800014659	1.3339850689	1.9094557589	1.3778558487	1.0270709132	0.6538368577	1.347248963	+AC0-1.3619047841	0.9881780534	0.8212862788	0.7278105644	4.5	BN373+AF8-13051	ERS227112+AF8-03175	ROD+AF8-07231	SL1344+AF8-0718	SL3261+AF8-0718	STMMW+AF8-07931	STM+AF8-MW07931	SEN0686	t2140	EC958+AF8-0840	NCTC13441+AF8-03270	BW25113+AF8-0726	b0726	1	1	1	1	1	1	1	1	1	2	2	1	1	eco01110	Biosynthesis of secondary metabolites 
sucB	dihydrolipoyllysine+AC0-residue succinyltransferase, E2 component of oxoglutarate dehydrogenase (succinyl+AC0-transferring) complex	0.5829721443	0.9100561076	0.8034404187	1.466121871	1.2590553488	0.4583945079	+AC0-0.3014833051	1.039070445	+AC0-4.5	0.905361541	1.1770911777	0.5683076613	4.5	BN373+AF8-13061	ERS227112+AF8-03176	ROD+AF8-07241	SL1344+AF8-0719	SL3261+AF8-0719	STMMW+AF8-07941	STM+AF8-MW07941	SEN0687	t2139	EC958+AF8-0841	NCTC13441+AF8-03269	BW25113+AF8-0727	b0727	3	1	1	1	1	1	1	1	1	2	2	1	1	eco01110	Biosynthesis of secondary metabolites 
tktA	transketolase 1, thiamine triphosphate+AC0-binding	1.9858802308	1.64530687	2.0041488423	2.0606476469	1.6503095755	1.8017013499	1.1872829884	1.4627508166	+AC0-1.8516259556	1.5751694551	0.9303221118	1.9140807742	4.5	BN373+AF8-40211	ERS227112+AF8-01308	ROD+AF8-50511	SL1344+AF8-3052	SL3261+AF8-3052	STMMW+AF8-30371	STM+AF8-MW30371	SEN2919	t2996	EC958+AF8-3220	NCTC13441+AF8-00816	BW25113+AF8-2935	b2935	3	2	3	2	2	2	2	2	2	3	3	2	2	eco01110	Biosynthesis of secondary metabolites 
ubiA	4+AC0-hydroxybenzoate polyprenyl transferase	+AC0-0.1321227054	+AC0-1.1418200133	+AC0-0.4053071332	+AC0-2.4145073458	+AC0-4.5	+AC0-2.3223354848	+AC0-4.5	+AC0-1.2613434212	+AC0-4.5	+AC0-0.8374917354	+AC0-2.1252718421	+AC0-1.5421660472	+AC0-4.5	BN373+AF8-00351	ERS227112+AF8-01900	ROD+AF8-37061	SL1344+AF8-4171	SL3261+AF8-4171	STMMW+AF8-41841	STM+AF8-MW41841	SEN4003	t4140	EC958+AF8-4496	NCTC13441+AF8-04446	BW25113+AF8-4040	b4040	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
ubiD	3+AC0-octaprenyl+AC0-4+AC0-hydroxybenzoate carboxy+AC0-lyase	+AC0-0.5053616705	+AC0-2.3195288805	+AC0-0.4573480666	+AC0-0.648058883	+AC0-0.6512447852	+AC0-0.7266222135	+AC0-0.6745180632	+AC0-0.6423739104	+AC0-4.5	+AC0-0.9658117666	+AC0-0.9479863638	+AC0-4.5	+AC0-4.5	BN373+AF8-49621	ERS227112+AF8-01809	ROD+AF8-39131	SL1344+AF8-3932	SL3261+AF8-3932	STMMW+AF8-39491	STM+AF8-MW39491	SEN3773	t3319	EC958+AF8-4323	NCTC13441+AF8-04658	BW25113+AF8-3843	b3843	3	3	2	2	2	2	2	2	2	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
ubiE	ubiquinone/menaquinone biosynthesis methyltransferase UbiE	+AC0-0.7558370213	+AC0-4.5	+AC0-0.0691261911	+AC0-0.9880702525	+AC0-1.7692784392	+AC0-0.5665499216	+AC0-1.6112563182	+AC0-0.6600107594	+AC0-4.5	0	0.0648746363	+AC0-0.0976178377	4.5	BN373+AF8-49541	ERS227112+AF8-01801	ROD+AF8-39211	SL1344+AF8-3924	SL3261+AF8-3924	STMMW+AF8-39411	STM+AF8-MW39411	SEN3765	t3327	EC958+AF8-4315	NCTC13441+AF8-04666	BW25113+AF8-3833	b3833	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
ubiF	2+AC0-octaprenyl+AC0-3+AC0-methyl+AC0-6+AC0-methoxy+AC0-1,4+AC0-benzoquinol hydroxylase	1.5790638956	+AC0-0.57688836	0.6102966587	0.1818653797	+AC0-2.0548700636	+AC0-0.562516708	+AC0-4.5	+AC0-1.8063898936	+AC0-4.5	1.0767295723	0.3462483889	0.8761825926	4.5	BN373+AF8-12671	ERS227112+AF8-03129	ROD+AF8-06751	SL1344+AF8-0660	SL3261+AF8-0660	STMMW+AF8-07361	STM+AF8-MW07361	SEN0640	t2202	EC958+AF8-0780	NCTC13441+AF8-03335	BW25113+AF8-0662	b0662	3	3	3	3	3	3	3	3	3	3	3	3	3	eco01110	Biosynthesis of secondary metabolites 
ubiG	3+AC0-demethylubiquinone+AC0-9 3+AC0-O+AC0-methyltransferase	0.0574763804	+AC0-4.5	+AC0-1.3408873243	+AC0-1.9603073887	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.9911304195	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	4.5	BN373+AF8-32521	ERS227112+AF8-03938	ROD+AF8-23541	SL1344+AF8-2245	SL3261+AF8-2245	STMMW+AF8-23001	STM+AF8-MW23001	SEN2258	t0588	EC958+AF8-2568	NCTC13441+AF8-01476	BW25113+AF8-2232	b2232	5	4	5	5	5	5	5	4	4	7	7	7	7	eco01110	Biosynthesis of secondary metabolites 
