gene_tag	essentiality_in_K12	KEGG_pathway	gene_name	eggnog_annotation
b3433	essential	Glycine, serine and threonine metabolism /Monobactam biosynthesis /Cysteine and methionine metabolism /Lysine biosynthesis /Metabolic pathways /Biosynthesis of secondary metabolites /Microbial metabolism in diverse environments /Biosynthesis of antibiotics /2-Oxocarboxylic acid metabolism /Biosynthesis of amino acids	ASD	Catalyzes the NADPH-dependent formation of L-aspartate- semialdehyde (L-ASA) by the reductive dephosphorylation of L- aspartyl-4-phosphate (By similarity)
b3304	essential	Ribosome	RPLR	This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance (By similarity)
b3699	essential	-	GYRB	DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)
b3186	essential	Ribosome	RPLU	This protein binds to 23S rRNA in the presence of protein L20 (By similarity)
b0090	essential	Peptidoglycan biosynthesis /Metabolic pathways /Vancomycin resistance	MURG	Cell wall formation. Catalyzes the transfer of a GlcNAc subunit on undecaprenyl-pyrophosphoryl-MurNAc-pentapeptide (lipid intermediate I) to form undecaprenyl-pyrophosphoryl-MurNAc- (pentapeptide)GlcNAc (lipid intermediate II) (By similarity)
b2615	essential	Nicotinate and nicotinamide metabolism /Metabolic pathways	PPNK	Catalyzes the phosphorylation of NAD to NADP. Utilizes ATP and other nucleoside triphosphates as well as inorganic polyphosphate as a source of phosphorus (By similarity)
b3988	essential	Purine metabolism /Pyrimidine metabolism /Metabolic pathways /RNA polymerase	RPOC	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)
b3843	essential	Ubiquinone and other terpenoid-quinone biosynthesis /Metabolic pathways /Biosynthesis of secondary metabolites	UBID	Catalyzes the decarboxylation of 3-octaprenyl-4-hydroxy benzoate to 2-octaprenylphenol (By similarity)
b3464	essential	Quorum sensing /Protein export /Bacterial secretion system	FTSY	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Acts as a receptor for the complex formed by the signal recognition particle (SRP) and the ribosome-nascent chain (RNC). Interaction with SRP-RNC leads to the transfer of the RNC complex to the Sec translocase for insertion into the membrane, the hydrolysis of GTP by both Ffh and FtsY, and the dissociation of the SRP-FtsY complex into the individual components (By similarity)
b0026	essential	Aminoacyl-tRNA biosynthesis	ILES	amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile) (By similarity)
b2891	essential	-	PRFB	Peptide chain release factor 2 directs the termination of translation in response to the peptide chain termination codons UGA and UAA (By similarity)
b2114	essential	Selenocompound metabolism /Aminoacyl-tRNA biosynthesis	METG	Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation (By similarity)
b0474	essential	Purine metabolism /Metabolic pathways /Biosynthesis of secondary metabolites /Biosynthesis of antibiotics	ADK	Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism (By similarity)
b3850	essential	Porphyrin and chlorophyll metabolism /Metabolic pathways /Biosynthesis of secondary metabolites	HEMG	Protoporphyrinogen oxidase
b4361	essential	-	DNAC	dna replication protein
b4142	essential	-	GROS	Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter (By similarity)
b2563	essential	Pantothenate and CoA biosynthesis	ACPS	Transfers the 4'-phosphopantetheine moiety from coenzyme A to a Ser of acyl-carrier-protein (By similarity)
b0184	essential	Purine metabolism /Pyrimidine metabolism /Metabolic pathways /DNA replication /Mismatch repair /Homologous recombination	DNAE	DNA polymerase III, subunit alpha
b2514	essential	Aminoacyl-tRNA biosynthesis	HISS	histidyl-tRNA synthetase
b3559	essential	Aminoacyl-tRNA biosynthesis	GLYS	Glycyl-tRNA synthetase beta subunit
b2400	essential	Porphyrin and chlorophyll metabolism /Aminoacyl-tRNA biosynthesis /Metabolic pathways /Biosynthesis of secondary metabolites	GLTX	Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu) (By similarity)
b0025	essential	Riboflavin metabolism /Metabolic pathways /Biosynthesis of secondary metabolites	RIBF	riboflavin biosynthesis protein ribF
b0093	essential	-	FTSQ	Essential cell division protein. May link together the upstream cell division proteins, which are predominantly cytoplasmic, with the downstream cell division proteins, which are predominantly periplasmic. May control correct divisome assembly (By similarity)
b3301	essential	Ribosome	RPLO	Binds to the 23S rRNA (By similarity)
b3305	essential	Ribosome	RPLF	This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center (By similarity)
b2607	essential	-	TRMD	Specifically methylates guanosine-37 in various tRNAs (By similarity)
b3201	essential	ABC transporters	LPTB	abc transporter atp-binding protein
b3041	essential	Riboflavin metabolism /Metabolic pathways /Biosynthesis of secondary metabolites	RIBB	Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate (By similarity)
b2585	essential	Glycine, serine and threonine metabolism /Glycerophospholipid metabolism /Metabolic pathways /Biosynthesis of secondary metabolites	PSSA	Phosphatidylserine synthase
b0174	essential	Terpenoid backbone biosynthesis /Biosynthesis of secondary metabolites	UPPS	Catalyzes the sequential condensation of isopentenyl diphosphate (IPP) with (2E,6E)-farnesyl diphosphate (E,E-FPP) to yield (2Z,6Z,10Z,14Z,18Z,22Z,26Z,30Z,34E,38E)-undecaprenyl diphosphate (di-trans,octa-cis-UPP). UPP is the precursor of glycosyl carrier lipid in the biosynthesis of bacterial cell wall polysaccharide components such as peptidoglycan and lipopolysaccharide (By similarity)
b1714	essential	Aminoacyl-tRNA biosynthesis	PHES	Phenylalanyl-tRNA synthetase alpha subunit
b3183	essential	-	OBG	An essential GTPase which binds GTP, GDP and possibly (p)ppGpp with moderate affinity, with high nucleotide exchange rates and a fairly low GTP hydrolysis rate. It may play a role in control of the cell cycle, stress response, ribosome biogenesis and in those bacteria that undergo differentiation, in morphogenesis control (By similarity)
b0095	essential	-	FTSZ	Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity (By similarity)
b1118	essential	ABC transporters	LOLE	Lipoprotein releasing system transmembrane protein
b1288	essential	Fatty acid biosynthesis /Biotin metabolism /Metabolic pathways /Fatty acid metabolism	FABI	Enoyl- acyl-carrier-protein reductase NADH
b3986	essential	Ribosome	RPLL	Seems to be the binding site for several of the factors involved in protein synthesis and appears to be essential for accurate translation (By similarity)
b4040	essential	Ubiquinone and other terpenoid-quinone biosynthesis /Metabolic pathways /Biosynthesis of secondary metabolites	UBIA	Synthesis of 3-octaprenyl-4-hydroxybenzoate (By similarity)
b1637	essential	Aminoacyl-tRNA biosynthesis	TYRS	Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr) (By similarity)
