STM_MW00581	citrate carrier protein
STMMW_01401	Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell (By similarity)
STMMW_01421	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving both as a receptor for the preprotein-SecB complex and as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane (By similarity)
STMMW_01461	Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A (By similarity)
STMMW_01471	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth (By similarity)
STMMW_01481	type IV pilin biogenesis protein
STMMW_01491	pathway protein e
STMMW_01501	Prokaryotic N-terminal methylation motif
STMMW_01511	nicotinate-nucleotide pyrophosphorylase
STMMW_01551	transporter
STMMW_01581	Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2) (By similarity)
STMMW_01591	Dihydrolipoamide acetyltransferase
STMMW_01601	dihydrolipoyl dehydrogenase
STMMW_01661	UPF0231 protein
STMMW_01691	Catalyzes the NAD(P)-dependent oxidation of 4- (phosphohydroxy)-L-threonine (HTP) into 2-amino-3-oxo-4- (phosphohydroxy)butyric acid which spontaneously decarboxylates to form 3-amino-2-oxopropyl phosphate (AHAP) (By similarity)
STMMW_01701	Transcriptional regulator
STMMW_01711	Catalyzes the decarboxylation of S-adenosylmethionine to S-adenosylmethioninamine (dcAdoMet), the propylamine donor required for the synthesis of the polyamines spermine and spermidine from the diamine putrescine (By similarity)
STMMW_01721	Catalyzes the production of spermidine from putrescine and decarboxylated S-adenosylmethionine (dcSAM), which serves as an aminopropyl donor (By similarity)
STMMW_01741	Copper resistance protein
STMMW_01751	Glucose dehydrogenase
STMMW_01761	Hypoxanthine phosphoribosyltransferase
STMMW_01771	carbonic anhydrase
STMMW_01791	(ABC) transporter
STMMW_01801	Fimbrial
STMMW_01821	chaperone
STMMW_01831	Fimbriae (also called pili), polar filaments radiating from the surface of the bacterium to a length of 0.5-1.5 micrometers and numbering 100-300 per cell, enable bacteria to colonize the epithelium of specific host organs
STMMW_01841	IIA component
STMMW_01851	Polysaccharide deacetylase
STMMW_01891	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
STMMW_01931	Sugar fermentation stimulation protein homolog
STMMW_01961	penicillin-binding protein 1B
STMMW_01971	receptor
STMMW_02011	fimbrial protein
STMMW_02021	outer membrane usher protein
STMMW_02071	Protein of unknown function (DUF2544)
STMMW_02081	Glutamate-1-semialdehyde aminotransferase
STMMW_02101	Required for insertion of 4Fe-4S clusters for at least IspG (By similarity)
STMMW_02111	membrAne
STMMW_02131	Catalyzes the irreversible cleavage of the glycosidic bond in both 5'-methylthioadenosine (MTA) and S- adenosylhomocysteine (SAH AdoHcy) to adenine and the corresponding thioribose, 5'-methylthioribose and S-ribosylhomocysteine, respectively (By similarity)
STMMW_02141	deoxyguanosinetriphosphate triphosphohydrolase-like protein
STMMW_02151	protease
STMMW_02171	UPF0325 protein
STMMW_02181	transporter
STMMW_02191	Tetrahydrodipicolinate N-succinyltransferase
STMMW_02211	Removes the N-terminal methionine from nascent proteins (By similarity)
STMMW_02221	30S ribosomal protein S2
STMMW_02231	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome (By similarity)
STMMW_02241	Catalyzes the reversible phosphorylation of UMP to UDP (By similarity)
STMMW_02251	Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another (By similarity)
STMMW_02261	Catalyzes the NADP-dependent rearrangement and reduction of 1-deoxy-D-xylulose-5-phosphate (DXP) to 2-C-methyl-D-erythritol 4-phosphate (MEP) (By similarity)
STMMW_02271	Catalyzes the sequential condensation of isopentenyl diphosphate (IPP) with (2E,6E)-farnesyl diphosphate (E,E-FPP) to yield (2Z,6Z,10Z,14Z,18Z,22Z,26Z,30Z,34E,38E)-undecaprenyl diphosphate (di-trans,octa-cis-UPP). UPP is the precursor of glycosyl carrier lipid in the biosynthesis of bacterial cell wall polysaccharide components such as peptidoglycan and lipopolysaccharide (By similarity)
STMMW_02281	Phosphatidate cytidylyltransferase
STMMW_02301	Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane
STMMW_02321	as the acyl donor. Is involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell (By similarity)
STMMW_02331	Involved in unsaturated fatty acids biosynthesis. Catalyzes the dehydration of short chain beta-hydroxyacyl-ACPs and long chain saturated and unsaturated beta-hydroxyacyl-ACPs (By similarity)
STMMW_02341	Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell (By similarity)
STMMW_02351	Condensation of UDP-2,3-diacylglucosamine and 2,3- diacylglucosamine-1-phosphate to form lipid A disaccharide, a precursor of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell (By similarity)
STMMW_02371	DNA polymerase III, subunit alpha
STMMW_02381	Component of the acetyl coenzyme A carboxylase (ACC) complex. First, biotin carboxylase catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the carboxyltransferase to acetyl-CoA to form malonyl-CoA (By similarity)
STMMW_02421	Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNA(Ile) that contains the anticodon CAU, in an ATP-dependent manner. Cytidine is converted to lysidine, thus changing the amino acid specificity of the tRNA from methionine to isoleucine (By similarity)
STMMW_02441	UPF0253 protein
STMMW_02481	Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction proline is first activated by ATP to form Pro- AMP and then transferred to the acceptor end of tRNA(Pro). As ProRS can inadvertently accommodate and process non-cognate amino acids such as alanine and cysteine, to avoid such errors it has two additional distinct editing activities against alanine. One activity is designated as 'pretransfer' editing and involves the tRNA(Pro)-independent hydrolysis of activated Ala-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Ala-tRNA(Pro). The misacylated Cys- tRNA(Pro) is not edited by ProRS (By similarity)
STMMW_02501	Outer membrane lipoprotein
STMMW_02511	(Lipo)protein
STMMW_02521	transporter, permease
STMMW_02541	reductase
STMMW_02631	DNA polymerase III, epsilon subunit
STMMW_02701	NA
STMMW_02791	type VI secretion system effector, Hcp1 family
STMMW_02851	Type VI secretion
STMMW_03021	Inherit from proNOG: cytoplasmic protein
STMMW_03041	Pfam:DUF1813
STMMW_03071	Pfam:Transposase_8
STMMW_03211	Catalyzes the isomerization of sedoheptulose 7-phosphate in D-glycero-D-manno-heptose 7-phosphate (By similarity)
STMMW_03221	glutamine amidotransferase
STMMW_03241	Poorly processive, error-prone DNA polymerase involved in untargeted mutagenesis. Copies undamaged DNA at stalled replication forks, which arise in vivo from mismatched or misaligned primer ends. These misaligned primers can be extended by PolIV. Exhibits no 3'-5' exonuclease (proofreading) activity. May be involved in translesional synthesis, in conjunction with the beta clamp from PolIII (By similarity)
STMMW_03421	NA
STMMW_03531	NA
STMMW_03541	Peptidase S24-like
STMMW_03561	Bacteriophage CII protein
STMMW_03601	NA
STMMW_03631	recombination protein NinB
STMMW_03661	bacteriophage lambda NinG
STMMW_03681	Phage NinH protein
STMMW_03691	Antitermination protein
STMMW_03711	NA
STMMW_03721	lysozyme
STMMW_03781	Terminase-like family
STMMW_03791	NA
STMMW_03801	Bacteriophage, scaffolding protein
STMMW_03811	P22 coat protein - gene protein 5
STMMW_03831	DNA stabilization
STMMW_03901	Head binding
STMMW_03911	Acyltransferase
STMMW_03971	Uncharacterized protein yoac
STMMW_04001	Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate (By similarity)
STMMW_04111	Inherit from proNOG: membrAne
STMMW_04131	(EAL) domain protein
STMMW_04141	Inherit from proNOG: membrAne
STMMW_04151	NA
STMMW_04191	Outer membrane lipoprotein
STMMW_04271	type III restriction-modification system
STMMW_04281	Type III
STMMW_04351	cytochrome subunit of dehydrogenase
STMMW_04361	uncharacterized protein yahO
STMMW_04421	delta-aminolevulinic acid dehydratase
STMMW_04431	outer membrane autotransporter barrel
STMMW_04441	DNA-binding transcriptional regulator
STMMW_04531	Inhibits RpoS proteolysis by regulating RssB activity, thereby increasing the stability of the sigma stress factor RpoS especially during phosphate starvation, but also in stationary phase and during nitrogen starvation. Its effect on RpoS stability is due to its interaction with RssB, which probably blocks the interaction of RssB with RpoS, and the consequent delivery of the RssB-RpoS complex to the ClpXP protein degradation pathway (By similarity)
STMMW_04561	pyrroline-5-carboxylate reductase
STMMW_04571	UPF0178 protein
STMMW_04601	Protein of aro operon, regulated by aroR
STMMW_04611	UPF0345 protein
STMMW_04771	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA (By similarity)
STMMW_04781	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA (By similarity)
STMMW_04861	Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)- pyrimidinedione 5'-phosphate (By similarity)
STMMW_04871	Catalyzes the formation of 6,7-dimethyl-8- ribityllumazine by condensation of 5-amino-6-(D- ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin (By similarity)
STMMW_04881	Involved in the transcription termination process (By similarity)
STMMW_04891	Catalyzes the ATP-dependent phosphorylation of thiamine- monophosphate (TMP) to form thiamine-pyrophosphate (TPP), the active form of vitamin B1 (By similarity)
STMMW_04921	Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP) (By similarity)
STMMW_04931	geranyltranstransferase
STMMW_04941	Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides (By similarity)
STMMW_04961	2-aminoethylphosphonate transport system
STMMW_05081	Sel1 repeat
STMMW_05091	Sel1 repeat
STMMW_05141	(ubiquinol oxidase) subunit II
STMMW_05191	Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins (By similarity)
STMMW_05201	ATP-dependent specificity component of the Clp protease. It directs the protease to specific substrates. Can perform chaperone functions in the absence of ClpP (By similarity)
STMMW_05221	DNA-binding protein
STMMW_05271	extracellular solute-binding protein
STMMW_05301	Transcriptional regulator
STMMW_05311	Involved in lipid A export and possibly also in glycerophospholipid export and for biogenesis of the outer membrane. Transmembrane domains (TMD) form a pore in the inner membrane and the ATP-binding domain (NBD) is responsible for energy generation (By similarity)
STMMW_05401	50S ribosomal protein L36
STMMW_05411	Inner membrane protein ylaC
STMMW_05421	Maltose O-acetyltransferase
STMMW_05431	hemolysin expression-modulating protein
STMMW_05441	Biofilm formation regulator YbaJ
STMMW_05471	Transcriptional regulator
STMMW_05501	Protein of unknown function (DUF2496)
STMMW_05541	DNA polymerase III, subunits gamma and tau
STMMW_05581	Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism (By similarity)
STMMW_05591	Catalyzes the ferrous insertion into protoporphyrin IX (By similarity)
STMMW_05701	membrane
STMMW_05761	Acyl-CoA thioesterase I
STMMW_05831	Catalyzes the transfer of selenium from selenophosphate for conversion of 2-thiouridine to 2-selenouridine at the wobble position in tRNA (By similarity)
STMMW_05851	Involved in the anaerobic utilization of allantoin. Reinforces the induction of genes involved in the degradation of allantoin and glyoxylate by producing glyoxylate (By similarity)
STMMW_05901	transporter
STMMW_05931	Glycerate kinase
STMMW_05961	Dehydrogenase
STMMW_06031	Catalyzes the hydrolysis of the pyrophosphate bond of UDP-2,3-diacylglucosamine to yield 2,3-diacylglucosamine 1- phosphate (lipid X) and UMP (By similarity)
STMMW_06041	PPIases accelerate the folding of proteins (By similarity)
STMMW_06101	Catalyzes the oxidation of 5,10- methylenetetrahydrofolate to 5,10-methenyltetrahydrofolate and then the hydrolysis of 5,10-methenyltetrahydrofolate to 10- formyltetrahydrofolate (By similarity)
STMMW_06181	fimbriae Y protein
STMMW_06191	Diguanylate phosphodiesterase
STMMW_06201	HTH_LUXR
STMMW_06211	Integrase core domain
STMMW_06221	Transposase
STMMW_06241	Catalyzes the transfer of 4-deoxy-4-formamido-L- arabinose from UDP to undecaprenyl phosphate. The modified arabinose is attached to lipid A and is required for resistance to polymyxin and cationic antimicrobial peptides (By similarity)
STMMW_06251	Involved in O antigen modification. Involved in the translocation of bactoprenol-linked glucose across the cytoplasmic membrane (By similarity)
STMMW_06261	Histidine kinase
STMMW_06311	Inner membrane protein YkgB
STMMW_06341	Mechanosensitive ion channel
STMMW_06541	Ferric enterobactin transport protein
STMMW_06551	Atp-binding protein
STMMW_06561	transporter, permease
STMMW_06571	transport system permease protein
STMMW_06591	Iron-enterobactin transporter periplasmic binding protein
STMMW_06711	transcriptional regulator
STMMW_06751	Nitrate reductase delta subunit
STMMW_06931	PagP is required both for biosynthesis of hepta-acylated lipid A species containing palmitate and for resistance to cationic antimicrobial peptides (CAMPs). It catalyzes the transfer of a palmitate chain (16 0) from the sn-1 position of a glycerophospholipid to the free hydroxyl group of the (R)-3- hydroxymyristate chain at position 2 of lipid A (endotoxin) (By similarity)
STMMW_06941	Cold shock protein
STMMW_06981	Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives (By similarity)
STMMW_06991	Transcriptional regulator
STMMW_07001	Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate-dependent enzymes. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate (By similarity)
STMMW_07041	rod shape-determining protein RodA
STMMW_07051	penicillin-binding protein 2
STMMW_07061	Specifically methylates the pseudouridine at position 1915 (m3Psi1915) in 23S rRNA (By similarity)
STMMW_07101	Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD) (By similarity)
STMMW_07111	DNA polymerase III, delta' subunit
STMMW_07121	Rare lipoprotein B
STMMW_07131	Leucyl-tRNA synthetase
STMMW_07151	D-galactarate dehydratase / Altronate hydrolase, C terminus
STMMW_07171	sigma-54 dependent transcriptional regulator
STMMW_07191	Sel1 domain protein repeat-containing protein
STMMW_07221	tRNA ligase
STMMW_07251	cytoplasmic protein
STMMW_07311	Transfers the fatty acyl group on membrane lipoproteins (By similarity)
STMMW_07331	Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA (By similarity)
STMMW_07361	hydroxylase
STMMW_07441	glutaminyl-tRNA synthetase
STMMW_07451	Outer membrane porin
STMMW_07521	Low-potential electron donor to a number of redox enzymes (By similarity)
STMMW_07731	type 1 fimbriae regulatory protein
STMMW_07751	NA
STMMW_07761	UDP-galactopyranose mutase
STMMW_07771	glycosyl transferase family
STMMW_07781	glycosyl transferase group 1
STMMW_07811	Glycosyl transferase family 2
STMMW_07821	Glycosyl transferase family 2
STMMW_07831	Hydrolase (HAD
STMMW_07931	2-oxoglutarate dehydrogenase e1 component
STMMW_07941	dihydrolipoamide succinyltransferase
STMMW_07971	(Ubiquinol oxidase) subunit I
STMMW_07981	Cytochrome D ubiquinol oxidase, subunit II
STMMW_08011	Thioesterase
STMMW_08041	Cell envelope integrity inner membrane protein TolA
STMMW_08111	homeobox protein
STMMW_08131	fumarate hydratase class I
STMMW_08151	Transcriptional regulator
STMMW_08171	transporter
STMMW_08181	Lyase and sodium transporter (By similarity)
STMMW_08191	Conserved carboxylase domain
STMMW_08201	decarboxylase, beta
STMMW_08281	udp-glucose 4-epimerase
STMMW_08291	Protein of unknown function (DUF2167)
STMMW_08461	Catalyzes the conversion of dethiobiotin (DTB) to biotin by the insertion of a sulfur atom into dethiobiotin via a radical- based mechanism (By similarity)
STMMW_08521	Effector proteins function to alter host cell physiology and promote bacterial survival in host tissues. This protein is an E3 ubiquitin ligase that interferes with host's ubiquitination pathway
STMMW_08571	Molybdopterin converting factor subunit 1
STMMW_08591	membrAne
STMMW_08601	conserved inner membrane protein
STMMW_08821	During stationary phase, binds the chromosome non- specifically, forming a highly ordered and stable dps-DNA co- crystal within which chromosomal DNA is condensed and protected from diverse damages. It protects DNA from oxidative damage by sequestering intracellular Fe(2 ) ion and storing it in the form of Fe(3 ) oxyhydroxide mineral, which can be released after reduction. One hydrogen peroxide oxidizes two Fe(2 ) ions, which prevents hydroxyl radical production by the Fenton reaction
STMMW_08911	Sugar phosphatase supH
STMMW_08961	Molybdopterin biosynthesis protein (MoeB)
STMMW_09051	Citrate lyase beta
STMMW_09061	Electron transfer flavoprotein
STMMW_09071	Electron transfer flavoprotein
STMMW_09081	acyl-CoA dehydrogenase
STMMW_09091	Electron transfer flavoprotein-ubiquinone oxidoreductase
STMMW_09101	lysr family transcriptional regulator
STMMW_09111	Citrate transporter
STMMW_09131	Glutathione S-transferase
STMMW_09211	transport protein
STMMW_09221	inner membrane protein YbjM
STMMW_09341	PTS system ascorbate-specific transporter subunit IIC
STMMW_09351	phosphotransferase enzyme II, B component
STMMW_09371	periplasmic binding protein
STMMW_09511	membrAne
STMMW_09531	VirK protein
STMMW_09591	pct identical to residues 1 to 169 of 169 from GenPept gb AAC82673.1 (AF074611) transposase Yersinia pestis
STMMW_09601	Transposase
STMMW_09611	Transposase
STMMW_09651	however, it seems to stimulate more or less all the activities of the other two initiation factors, IF-2 and IF-3 (By similarity)
STMMW_09681	cysteine glutathione ABC transporter membrane ATP-binding
STMMW_09691	cysteine glutathione ABC transporter membrane ATP-binding
STMMW_09721	Essential cell division protein that coordinates cell division and chromosome segregation. The N-terminus is involved in assembly of the cell-division machinery. The C-terminus functions as a DNA motor that moves dsDNA in an ATP-dependent manner towards the dif recombination site, which is located within the replication terminus region. Translocation stops specifically at Xer-dif sites, where FtsK interacts with the Xer recombinase, allowing activation of chromosome unlinking by recombination. FtsK orienting polar sequences (KOPS) guide the direction of DNA translocation. FtsK can remove proteins from DNA as it translocates, but translocation stops specifically at XerCD-dif site, thereby preventing removal of XerC and XerD from dif
STMMW_09731	Participates in the translocation of lipoproteins from the inner membrane to the outer membrane. Only forms a complex with a lipoprotein if the residue after the N-terminal Cys is not an aspartate (The Asp acts as a targeting signal to indicate that the lipoprotein should stay in the inner membrane) (By similarity)
STMMW_09751	Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec) (By similarity)
STMMW_09801	Amino acid
STMMW_09831	Salmonella outer protein D
STMMW_09851	transporter
STMMW_09911	cytidine monophosphate kinase
STMMW_09921	thus facilitating recognition of the initiation point. It is needed to translate mRNA with a short Shine-Dalgarno (SD) purine-rich sequence (By similarity)
STMMW_09951	Involved in lipid A export and possibly also in glycerophospholipid export and for biogenesis of the outer membrane. Transmembrane domains (TMD) form a pore in the inner membrane and the ATP-binding domain (NBD) is responsible for energy generation (By similarity)
STMMW_09961	Transfers the gamma-phosphate of ATP to the 4'-position of a tetraacyldisaccharide 1-phosphate intermediate (termed DS-1- P) to form tetraacyldisaccharide 1,4'-bis-phosphate (lipid IVA) (By similarity)
STMMW_09981	UPF0434 protein
STMMW_09991	Activates KDO (a required 8-carbon sugar) for incorporation into bacterial lipopolysaccharide in Gram-negative bacteria (By similarity)
STMMW_10031	Involved in chromosome condensation, segregation and cell cycle progression. May participate in facilitating chromosome segregation by condensation DNA from both sides of a centrally located replisome during cell division. Not required for mini-F plasmid partitioning. Probably acts via its interaction with MukB and MukE. Overexpression results in anucleate cells. It has a calcium binding activity (By similarity)
STMMW_10041	Involved in chromosome condensation, segregation and cell cycle progression. May participate in facilitating chromosome segregation by condensation DNA from both sides of a centrally located replisome during cell division. Probably acts via its interaction with MukB and MukF (By similarity)
STMMW_10051	Plays a central role in chromosome condensation, segregation and cell cycle progression. Functions as a homodimer, which is essential for chromosome partition. Involved in negative DNA supercoiling in vivo, and by this means organize and compact chromosomes. May achieve or facilitate chromosome segregation by condensation DNA from both sides of a centrally located replisome during cell division (By similarity)
STMMW_10081	beta-lactamase domain protein
STMMW_10111	asparaginyl-tRNA synthetase
STMMW_10181	NA
STMMW_10182	prophage protein
STMMW_10191	The RecE (also known as exonuclease VIII) pathway is an alternative pathway for the initiation of homologous recombination in Escherichia coli. The RecE pathway is activated in recB, recC sbcA (suppressors of recB and recC) mutants. Activation of the RecE pathway results in the production of at least two phage proteins relevant for recombinational repair. RecE is a duplex DNA-specific exonuclease which produces 3' overhangs in duplex DNA by preferentially degrading the 5'-ending strands. Recombinational repair of E.coli chromosomal DNA involves as well other proteins RecA, RecF, RecJ, RecO, RecR, and RuvC
STMMW_10231	Helix-turn-helix
STMMW_10251	replication protein
STMMW_10271	Bacterial protein of unknown function (DUF977)
STMMW_10301	damage-inducible protein
STMMW_10341	Antitermination protein
STMMW_10371	NA
STMMW_10381	PipA protein
STMMW_10392	phage holin
STMMW_10431	Phage portal protein, lambda family
STMMW_10441	ATP-dependent Clp protease, proteolytic subunit
STMMW_10461	NA
STMMW_10471	Tail component
STMMW_10481	minor tail protein
STMMW_10491	Major tail protein
STMMW_10501	tail component of prophage cp-933k
STMMW_10511	tail component of prophage
STMMW_10521	tail length tape measure
STMMW_10531	minor tail protein
STMMW_10541	Attachment invasion
STMMW_10551	Destroys radicals which are normally produced within the cells and which are toxic to biological systems (By similarity)
STMMW_10561	minor tail protein
STMMW_10571	Tail assembly protein
STMMW_10581	Tail assembly protein
STMMW_10591	host specificity protein
STMMW_10611	Tail fiber assembly protein
STMMW_10631	NA
STMMW_10641	Transposase
STMMW_10661	Uncharacterised ACR, COG2135
STMMW_10691	Virulence protein
STMMW_10711	Catalyzes the conversion of dihydroorotate to orotate with quinone as electron acceptor (By similarity)
STMMW_10721	Contributes to the efficiency of the cell division process by stabilizing the polymeric form of the cell division protein FtsZ. Acts by promoting interactions between FtsZ protofilaments and suppressing the GTPase activity of FtsZ (By similarity)
STMMW_10791	During stationary phase, converts 70S ribosomes to an inactive dimeric form (100S ribosomes) (By similarity)
STMMW_10801	Necessary for the introduction of cis unsaturation into fatty acids. Catalyzes the dehydration of (3R)-3-hydroxydecanoyl- ACP to E-(2)-decenoyl-ACP and then its isomerization to Z-(3)- decenoyl-ACP. Can catalyze the dehydratase reaction for beta- hydroxyacyl-ACPs with saturated chain lengths up to 16 0, being most active on intermediate chain length (By similarity)
STMMW_10901	UPF0319 protein
STMMW_10941	phospholipid-binding protein
STMMW_10971	Part of a sulfur-relay system (By similarity)
STMMW_10991	PipA protein
STMMW_11021	Invasion protein
STMMW_11031	Converts phosphatidylinositol 3,4,5-trisphosphate (PtdIns 3,4,5-P3) to PtdIns 3-P and prevents the transition of PtdIns 3-P to PtdIns 3,5-P2. It is one of the known effectors injected by Salmonella into the host cell and is required for invasion and for an efficient generation and maintenance of Salmonella-containing vacuole (SVC). Alteration of the phosphoinositide composition of the plasma membrane causes membrane ruffling and actin cytoskeleton rearrangements. The persistence of PtdIns 3-P diverts the SCV from the endocytic pathway resulting in enlarged vesicles, which are essential to create a favorable environment where Salmonella can replicate and avoid immune defenses of the host cell
STMMW_11041	Dipeptidase
STMMW_11071	5-hydroxyisourate hydrolase
STMMW_11081	4-hydroxyphenylacetate 3-monooxygenase reductase
STMMW_11141	5-carboxymethyl-2-hydroxymuconate
STMMW_11151	hydratase
STMMW_11201	Inhibits RpoS proteolysis by regulating RssB activity, thereby increasing the stability of the sigma stress factor RpoS during magnesium starvation (By similarity)
STMMW_11211	Interacts with CbpA and inhibits both the DnaJ-like co- chaperone activity and the DNA binding activity of CbpA. Together with CbpA, modulates the activity of the DnaK chaperone system. Does not inhibit the co-chaperone activity of DnaJ (By similarity)
STMMW_11281	NA
STMMW_11301	Escherichia coli IMT2125 genomic chromosome, IMT2125
STMMW_11321	Protein of unknown function (DUF1311)
STMMW_11381	Converts N-acetylmannosamine-6-phosphate (ManNAc-6-P) to N-acetylglucosamine-6-phosphate (GlcNAc-6-P) (By similarity)
STMMW_11401	oligogalacturonate-specific porin
STMMW_11411	transporter
STMMW_11471	Curli production assembly transport component CsgG
STMMW_11491	curli assembly protein CsgE
STMMW_11521	Curli are coiled surface structures that assemble preferentially at growth temperatures below 37 degrees Celsius. Curli can bind to fibronectin
STMMW_11531	Plays a role in the extracellular assembly of CsgA into thin aggregative fimbriae (Tafi) fibers. Assembly may also require CsgE. Tafi are thought to be assembled via an extracellular nucleation-precipitation (ENP) pathway, and possibly also via an intracellular non-CsgC-dependent pathway (By similarity)
STMMW_11541	NA
STMMW_11571	Necessary for the succinyl substitution of periplasmic glucans. Could catalyze the transfer of succinyl residues from the cytoplasmic side of the membrane to the nascent glucan backbones on the periplasmic side of the membrane (By similarity)
STMMW_11601	(Lipo)protein
STMMW_11631	Lipid A biosynthesis lauroyl
STMMW_11661	cytochrome b561
STMMW_11681	Catalyzes the oxidative demethylation of N-methyl-L- tryptophan (By similarity)
STMMW_11691	Biofilm formation regulatory protein BssS
STMMW_11771	Oxidoreductase
STMMW_11781	Integral membrane protein mviN
STMMW_11931	Ribonuclease E
STMMW_11941	Uncharacterized protein YceQ
STMMW_11961	uncharacterized protein yiaF
STMMW_11991	metal-binding, possibly nucleic acid-binding protein
STMMW_12001	50s ribosomal protein l32
STMMW_12021	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids (By similarity)
STMMW_12031	malonyl CoA-acyl carrier protein transacylase
STMMW_12041	reductase
STMMW_12051	Carrier of the growing fatty acid chain in fatty acid biosynthesis (By similarity)
STMMW_12091	Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis (By similarity)
STMMW_12101	dna polymerase iii
STMMW_12261	Lipoprotein releasing system transmembrane protein
STMMW_12271	Part of the ABC transporter complex LolCDE involved in the translocation of mature outer membrane-directed lipoproteins, from the inner membrane to the periplasmic chaperone, LolA. Responsible for the formation of the LolA-lipoprotein complex in an ATP-dependent manner (By similarity)
STMMW_12281	Lipoprotein releasing system transmembrane protein
STMMW_12301	NAD-dependent protein deacetylase which modulates the activities of several enzymes which are inactive in their acetylated form. May also have NAD-dependent lysine demalonylase and desuccinylase activity (By similarity)
STMMW_12341	Putrescine ABC transporter
STMMW_12381	pct identical to residues 1 to 169 of 169 from GenPept gb AAC82673.1 (AF074611) transposase Yersinia pestis
STMMW_12421	adenylosuccinate lyase
STMMW_12441	Catalyzes the 2-thiolation of uridine at the wobble position (U34) of tRNA, leading to the formation of s(2)U34 (By similarity)
STMMW_12461	secreted protein
STMMW_12471	Pseudouridine synthase
STMMW_12511	Virulence protein
STMMW_12521	RICIN
STMMW_12531	Cold shock-like protein
