STM_MW00581	citrate carrier protein
BN373_40111	5-formyltetrahydrofolate cycloligase
BN373_40121	d-3-phosphoglycerate dehydrogenase
BN373_40131	phosphoriboisomerase A
BN373_40141	Specific inhibitor of chromosomal initiation of replication in vitro. Binds the three 13-mers in the origin (oriC) to block initiation of replication (By similarity)
BN373_40151	oxidative stress defense protein
BN373_40161	Involved in the export of arginine. Important to control the intracellular level of arginine and the correct balance between arginine and lysine (By similarity)
BN373_40171	Mechanosensitive ion channel
BN373_40201	Catalyzes the NAD-dependent conversion of D-erythrose 4- phosphate to 4-phosphoerythronate (By similarity)
BN373_40211	transketolase (EC 2.2.1.1)
BN373_40221	peptidase
BN373_40231	Outer membrane porin
BN373_40241	Catalyzes the formation of putrescine from agmatine (By similarity)
BN373_40251	Catalyzes the biosynthesis of agmatine from arginine (By similarity)
BN373_40291	transporter
BN373_40301	SprT protein
BN373_40311	endonuclease I
BN373_40321	Specifically methylates the N3 position of the uracil ring of uridine 1498 (m3U1498) in 16S rRNA. Acts on the fully assembled 30S ribosomal subunit (By similarity)
BN373_40331	glutathione synthase
BN373_40341	UPF0301 protein
BN373_40361	transcriptional regulator
BN373_40371	twitching motility protein
BN373_40381	alanine racemase domain protein
BN373_40391	integral membrane protein
BN373_40401	UPF0235 protein
BN373_40411	Pyrophosphatase that hydrolyzes non-canonical purine nucleotides such as XTP and ITP dITP to their respective monophosphate derivatives. Might exclude non-canonical purines from DNA precursor pool, thus preventing their incorporation into DNA and avoiding chromosomal lesions (By similarity)
BN373_40421	coproporphyrinogen III oxidase
BN373_40431	D-xylose transporter subunit XylF
BN373_40441	(ABC) transporter
BN373_40451	ABC transporter (Permease)
BN373_40461	periplasmic protein
BN373_40471	Protein with unknown function (DUF469)
BN373_40481	Catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA (By similarity)
BN373_40491	A G-specific adenine glycosylase
BN373_40501	Could be a mediator in iron transactions between iron acquisition and iron-requiring processes, such as synthesis and or repair of Fe-S clusters in biosynthetic enzymes (By similarity)
BN373_40511	Murein-degrading enzyme. May play a role in recycling of muropeptides during cell elongation and or cell division
BN373_40521	nucleoside permease nupG
BN373_40531	decarboxylase
BN373_40541	membrAne
BN373_40551	integrase family
BN373_40561	DNA-binding prophage protein
BN373_40571	reverse transcriptase
BN373_40581	outer membrane usher protein
BN373_40591	Pfam:Pili_assembly_C
BN373_40601	chaperone
BN373_40611	NA
BN373_40621	NA
BN373_40631	Pfam:Pili_assembly_C
BN373_40641	Fimbrial protein
BN373_40651	Cysteine synthase
BN373_40661	Cystathionine gamma-synthase
BN373_40671	Transcriptional regulator lysR family
BN373_40681	Short chain dehydrogenase
BN373_40691	NA
BN373_40701	NA
BN373_40711	Aminotransferase
BN373_40721	bifunctional glutathionylspermidine amidase glutathionylspermidine synthetase
BN373_40731	NA
BN373_40741	Glutathione S-transferase
BN373_40751	Protein of unknown function (DUF2623)
BN373_40761	dienelactone hydrolase
BN373_40771	UPF0114 protein
BN373_40781	transport protein ExbD
BN373_40791	Biopolymer transport protein exbB
BN373_40801	cystathionine beta-lyase
BN373_40811	inner membrane protein YghB
BN373_40821	Transcriptional regulator
BN373_40831	alcohol dehydrogenase
BN373_40841	reductase
BN373_40851	Acetyltransferase (GNAT) family
BN373_40861	UPF0313 protein
BN373_40871	Cell division protein that is required for growth during stress conditions. May be involved in protecting or stabilizing the divisomal assembly under conditions of stress (By similarity)
BN373_40901	Transcriptional regulator (AraC family)
BN373_40911	exported protein
BN373_40921	regulatoR
BN373_40931	Histidine kinase
BN373_40941	modulator of drug activity B
BN373_40951	Antibiotic biosynthesis monooxygenase
BN373_40971	esterase
BN373_40981	Hydrolyzes cAMP to 5'-AMP. Plays an important regulatory role in modulating the intracellular concentration of cAMP, thereby influencing cAMP-dependent processes (By similarity)
BN373_40991	cytoplasmic protein
BN373_41001	adp-ribose pyrophosphatase
BN373_41011	Outer membrane protein tolc
BN373_41021	UPF0441 protein
BN373_41031	glutathionylspermidine synthase
BN373_41041	Extradiol ring-cleavage dioxygenase, class III
BN373_41051	Mediates zinc uptake. May also transport other divalent cations (By similarity)
BN373_41071	cytoplasmic protein
BN373_41081	Involved in glycogen synthesis. May be involved in glycogen priming (By similarity)
BN373_41101	Adenylation and deadenylation of glutamate--ammonia ligase (By similarity)
BN373_41111	Adenylate cyclase
BN373_41121	domain protein
BN373_41141	Catalyzes the dephosphorylation of undecaprenyl diphosphate (UPP). Confers resistance to bacitracin (By similarity)
BN373_41151	dihydroneopterin aldolase
BN373_41161	Catalyzes the transfer of an acyl group from acyl- phosphate (acyl-PO(4)) to glycerol-3-phosphate (G3P) to form lysophosphatidic acid (LPA). This enzyme utilizes acyl-phosphate as fatty acyl donor, but not acyl-CoA or acyl-ACP (By similarity)
BN373_41181	Required for maturation of urease via the functional incorporation of the urease nickel metallocenter (By similarity)
BN373_41191	Urea amidohydrolase subunit gamma
BN373_41201	Urea amidohydrolase subunit beta
BN373_41211	Urea amidohydrolase subunit alpha
BN373_41221	Involved in urease metallocenter assembly. Binds nickel. Probably functions as a nickel donor during metallocenter assembly (By similarity)
BN373_41231	Required for maturation of urease via the functional incorporation of the urease nickel metallocenter (By similarity)
BN373_41241	Facilitates the functional incorporation of the urease nickel metallocenter. This process requires GTP hydrolysis, probably effectuated by UreG (By similarity)
BN373_41251	Inherit from proNOG: Histidine kinase
BN373_41301	Excises ethenocytosine and uracil, which can arise by alkylation or deamination of cytosine, respectively, from the corresponding mispairs with guanine in ds-DNA. It is capable of hydrolyzing the carbon-nitrogen bond between the sugar-phosphate backbone of the DNA and the mispaired base. The complementary strand guanine functions in substrate recognition. Required for DNA damage lesion repair in stationary-phase cells (By similarity)
BN373_41331	Member of the two-component regulatory system EvgS EvgA. Regulates the expression of emrKY operon and yfdX. Seems also to control expression of at least one other multidrug efflux operon
BN373_41341	Histidine kinase
BN373_41351	YfdX protein
BN373_41361	Acid-resistance membrane protein
BN373_41371	Acid-resistance protein
BN373_41381	glycerol uptake facilitator protein
BN373_41391	propanediol utilization diol dehydratase reactivation protein
BN373_41401	Dehydratase small subunit
BN373_41411	dehydratase, medium subunit
BN373_41421	Dehydratase large subunit
BN373_41431	GlcG protein
BN373_41441	alcohol dehydrogenase
BN373_41461	ATP cob(I)alamin adenosyltransferase
BN373_41471	DNA-binding transcriptional regulator DhaR
BN373_41481	glycerol dehydrogenase
BN373_41491	Dihydroxyacetone kinase
BN373_41501	Dihydroxyacetone kinase
BN373_41511	Dihydroxyacetone kinase
BN373_41521	Dihydroxyacetone kinase
BN373_41531	Siderophore-interacting protein
BN373_41541	transcriptional regulator
BN373_41551	Catalyzes the aminotransferase reaction from putrescine to 2-oxoglutarate, leading to glutamate and 4-aminobutanal, which spontaneously cyclizes to form 1-pyrroline. Is also able to transaminate cadaverine and, in lower extent, spermidine, but not ornithine (By similarity)
BN373_41561	tRNA-binding protein
BN373_41571	DNA-binding transcriptional repressor EbgR
BN373_41581	Cryptic beta-D-galactosidase subunit alpha
BN373_41591	beta-D-galactosidase beta subunit
BN373_41601	amino acid
BN373_41611	Inner membrane transporter YgjI
BN373_41621	Conserved protein
BN373_41631	glycosyl hydrolase
BN373_41641	Involved in the degradation of phospho-AI-2, thereby terminating induction of the lsr operon and closing the AI-2 signaling cycle. Catalyzes the cleavage of phosphorylated 4,5- dihydroxy-2,3-pentanedione (P-DPD) to 2-phosphoglycolic acid (PG) and another three-carbon compound
BN373_41651	Could be involved in the degradation of phospho-AI-2, thereby terminating induction of the lsr operon and closing the AI-2 signaling cycle
BN373_41661	Part of the ABC transporter complex LsrABCD involved in autoinducer 2 (AI-2) import. Binds AI-2 and delivers it to the LsrC and LsrD permeases
BN373_41671	Part of the ABC transporter complex LsrABCD involved in autoinducer 2 (AI-2) import. Probably responsible for the translocation of the substrate across the membrane
BN373_41681	Part of the ABC transporter complex LsrABCD involved in autoinducer 2 (AI-2) import. Probably responsible for the translocation of the substrate across the membrane
BN373_41691	Part of the ABC transporter complex LsrABCD involved in autoinducer 2 (AI-2) import. Responsible for energy coupling to the transport system
BN373_41701	Transcriptional regulator
BN373_41711	Catalyzes the phosphorylation of autoinducer 2 (AI-2) to phospho-AI-2, which subsequently inactivates the transcriptional regulator LsrR and leads to the transcription of the lsr operon. Phosphorylates the ring-open form of 4,5-dihydroxy-2,3- pentanedione (DPD), which is the precursor to all AI-2 signaling molecules, at the C5 position (By similarity)
BN373_41721	2,4-dienoyl-coA reductase
BN373_41731	Specifically methylates the guanine in position 1835 (m2G1835) of 23S rRNA (By similarity)
BN373_41741	B3 4 domain protein
BN373_41751	Cupin domain
BN373_41761	Metal-dependent hydrolase
BN373_41771	Oxidoreductase
BN373_41781	integral membrane protein TerC
BN373_41791	Involved in the import of serine and threonine into the cell, with the concomitant import of sodium (symport system) (By similarity)
BN373_41801	Inner membrane protein YgjV
BN373_41811	Dehydratase
BN373_41821	Uronic isomerase
BN373_41841	transporter
BN373_41851	Transcriptional regulator
BN373_41861	membrane
BN373_41871	Modulates the activity of the EnvZ OmpR two-component regulatory system, probably by directly modulating EnvZ enzymatic activity and increasing stability of phosphorylated OmpR (By similarity)
BN373_41881	exported protein
BN373_41891	Conserved protein
BN373_41901	Inner membrane protein YqjE
BN373_41911	NA
BN373_41921	Inner membrane protein YqjF
BN373_41931	Glutathione S-transferase
BN373_41941	Inner membrane protein YhaH
BN373_41951	lysr family transcriptional regulator
BN373_41961	domain protein
BN373_41981	Inherit from COG: Periplasmic Protein
BN373_42001	Glycerate kinase
BN373_42011	2-hydroxy-3-oxopropionate reductase
BN373_42021	Catalyzes the reversible retro-aldol cleavage of both 5- keto-4-deoxy-D-glucarate and 2-keto-3-deoxy-D-glucarate to pyruvate and tartronic semialdehyde (By similarity)
BN373_42031	transporter
BN373_42051	Dehydratase
BN373_42061	Catalyzes the 2'-O-methylation of the ribose of cytidine 1402 (C1402) in 16S rRNA (By similarity)
BN373_42071	Regulator of peptidoglycan synthesis that is essential for the function of penicillin-binding protein 1A (PBP1a) (By similarity)
BN373_42081	UPF0102 protein
BN373_42091	Catalyzes the isomerization of sedoheptulose 7-phosphate in D-glycero-D-manno-heptose 7-phosphate (By similarity)
BN373_42101	(Lipo)protein
BN373_42111	permease
BN373_42121	epimerase
BN373_42131	Intracellular protease, PfpI family
BN373_42141	UPF0306 protein
BN373_42151	UPF0213 protein
BN373_42161	acetyltransferase
BN373_42171	lipid carrier protein
BN373_42181	Peptidase U32
BN373_42191	Peptidase U32
BN373_42201	Luciferase family
BN373_42211	tryptophan-specific transport protein
BN373_42221	ATP-dependent RNA helicase
BN373_42231	May be involved in cell division (By similarity)
BN373_42241	Involved in mRNA degradation. Hydrolyzes single-stranded polyribonucleotides processively in the 3'- to 5'-direction (By similarity)
BN373_42261	Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs (By similarity)
BN373_42271	Associates with free 30S ribosomal subunits (but not with 30S subunits that are part of 70S ribosomes or polysomes). Essential for efficient processing of 16S rRNA. May interact with the 5'-terminal helix region of 16S rRNA (By similarity)
BN373_42301	Required for maturation of 30S ribosomal subunits (By similarity)
BN373_42311	Citrulline--aspartate ligase
BN373_42321	CRP FNR family transcriptional regulator
BN373_42331	YfaZ family
BN373_42351	Preprotein translocase subunit SecG
BN373_42391	Specifically methylates the uridine in position 2552 of 23S rRNA at the 2'-O position of the ribose in the fully assembled 50S ribosomal subunit (By similarity)
BN373_42401	RNA-binding protein
BN373_42411	Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreA releases sequences of 2 to 3 nucleotides (By similarity)
BN373_42421	D-alanyl-D-alanine carboxypeptidase
BN373_42441	membrane
BN373_42481	Regulatory factor of maltose metabolism
BN373_42501	BolA family
BN373_42511	Part of the ABC transporter complex MlaFEDB that actively prevents phospholipid accumulation at the cell surface. Probably maintains lipid asymmetry in the outer membrane by retrograde trafficking of phospholipids from the outer membrane to the inner membrane
BN373_42521	toluene tolerance
BN373_42531	Mammalian cell entry related domain protein
BN373_42541	(ABC) transporter
BN373_42551	abc transporter atp-binding protein
BN373_42561	Na Ca antiporter, CaCA family
BN373_42571	Arabinose 5-phosphate isomerase
BN373_42581	3-deoxy-d-manno-octulosonate 8-phosphate phosphatase
BN373_42621	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)
BN373_42631	modulation protein
BN373_42641	PTS IIA-like nitrogen-regulatory protein PtsN
BN373_42651	Displays ATPase and GTPase activities (By similarity)
BN373_42661	phosphocarrier protein
BN373_42671	Cell wall formation (By similarity)
BN373_42681	isoprenoid biosynthesis protein with amidotransferase-like domain
BN373_42691	Histidine kinase
BN373_42701	Catalyzes the dehydration of D-mannonate (By similarity)
BN373_42711	Alcohol dehydrogenase GroES domain protein
BN373_42721	Major Facilitator
BN373_42731	radical SAM protein
BN373_42741	Glutamate synthase
BN373_42751	Glutamate synthase
BN373_42761	Converts N-acetylmannosamine-6-phosphate (ManNAc-6-P) to N-acetylglucosamine-6-phosphate (GlcNAc-6-P) (By similarity)
BN373_42771	stringent starvation protein b
BN373_42781	Stringent starvation protein a
BN373_42791	30S ribosomal protein S9
BN373_42811	AFG1 family ATPase
BN373_42821	Cytochrome d ubiquinol oxidase subunit III
BN373_42831	protease
BN373_42841	protease
BN373_42851	Catalyzes the reversible oxidation of malate to oxaloacetate (By similarity)
BN373_42861	Regulates arginine biosynthesis genes (By similarity)
BN373_42871	UPF0379 protein yhcN
BN373_42881	Protein of unknown function (DUF1471)
BN373_42891	(Barnase) inhibitor
BN373_42901	Efflux pump whose substrates are p-hydroxybenzoic acid (pHBA), 6-hydroxy-2-naphthoic and 2-hydroxycinnamate. Could function as a metabolic relief valve, allowing to eliminate certain compounds when they accumulate to high levels in the cell (By similarity)
BN373_42911	p-hydroxybenzoic acid efflux pump subunit AaeA
BN373_42921	membrane protein AaeX
BN373_42931	Transcriptional regulator
BN373_42941	peptidase U62, modulator of DNA gyrase
BN373_42951	exported protein
BN373_42961	Ribonuclease G
BN373_42971	Maf-like protein
BN373_43011	Regulatory protein CsrD
BN373_43021	The exact function is not known. Can catalyze the reduction of a variety of substrates like dimethyl sulfoxide, trimethylamine N-oxide, phenylmethyl sulfoxide and L-methionine sulfoxide. Cannot reduce cyclic N-oxides. Shows no activity as sulfite oxidase (By similarity)
BN373_43031	Is probably involved in the electron transfer between its heme and the molybdenum cofactor of the reductase catalytic subunit YedY (By similarity)
BN373_43041	Catalyzes a trans-dehydration via an enolate intermediate (By similarity)
BN373_43071	membrAne
BN373_43081	Sodium:solute symporter family
BN373_43091	Methylates ribosomal protein L11 (By similarity)
BN373_43101	Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs (By similarity)
BN373_43111	Activates ribosomal RNA transcription. Plays a direct role in upstream activation of rRNA promoters (By similarity)
BN373_43121	Transcriptional regulator
BN373_43131	RND Family Efflux Transporter MFP Subunit
BN373_43141	Resistance protein
BN373_43151	membrane lipoprotein
BN373_43161	carbonic anhydrase
BN373_43171	Protein of unknown function (DUF1488)
BN373_43181	shikimate dehydrogenase
BN373_43201	dNA topoisomerase
BN373_43211	Protein smg homolog
BN373_43221	DNA protecting protein DprA
BN373_43231	Removes the formyl group from the N-terminal Met of newly synthesized proteins. Requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions (By similarity)
BN373_43241	Modifies the free amino group of the aminoacyl moiety of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by (I) promoting its recognition by IF2 and (II) impairing its binding to EFTu-GTP (By similarity)
BN373_43251	Specifically methylates the cytosine at position 967 (m5C967) of 16S rRNA (By similarity)
BN373_43261	potassium transporter peripheral membrane
BN373_43271	Channel that opens in response to stretch forces in the membrane lipid bilayer. May participate in the regulation of osmotic pressure changes within the cell (By similarity)
BN373_43281	Integrase core domain protein
BN373_43291	Transcriptional regulator
BN373_43301	cytoplasmic protein
BN373_43581	Peptidase A24A, prepilin type IV
BN373_43591	Iron-storage protein
BN373_43601	bacterioferritin-associated ferredoxin
BN373_43611	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)
BN373_43651	Part of a sulfur-relay system required for 2-thiolation of 5-methylaminomethyl-2-thiouridine (mnm(5)s(2)U) at tRNA wobble positions (By similarity)
BN373_43661	Part of a sulfur-relay system required for 2-thiolation of 5-methylaminomethyl-2-thiouridine (mnm(5)s(2)U) at tRNA wobble positions (By similarity)
BN373_43671	Part of a sulfur-relay system required for 2-thiolation of 5-methylaminomethyl-2-thiouridine (mnm(5)s(2)U) at tRNA wobble positions. Accepts sulfur from TusA and transfers it in turn to TusE (By similarity)
BN373_43681	YheO domain protein
BN373_43691	Peptidyl-prolyl cis-trans isomerase
BN373_43701	Protein SlyX homolog
BN373_43711	Peptidyl-prolyl cis-trans isomerase
BN373_43721	nucleic-acid-binding protein
BN373_43731	glutathione-regulated potassium-efflux system protein
BN373_43741	glutathione-regulated potassium-efflux system ancillary protein kefg
BN373_43751	abc transporter atp-binding protein
BN373_43761	Alpha beta hydrolase
BN373_43771	UPF0270 protein
BN373_43781	Phosphoribulokinase
BN373_43791	OsmC family
BN373_43801	CAMP-regulatory protein
BN373_43811	integral membrane protein, YccS YhfK family
BN373_43821	Acetylornithine aminotransferase
BN373_43831	synthase component II
BN373_43841	cell filamentation protein
BN373_43851	uncharacterized protein yhfG
BN373_43861	PPIases accelerate the folding of proteins (By similarity)
BN373_43871	Protein TsgA homolog
BN373_43881	cytosine deaminase
BN373_43891	BFD-like [2Fe-2S] binding domain
BN373_43901	nitrite reductase NADPH (small subunit)
BN373_43911	Multifunctional enzyme that catalyzes the SAM-dependent methylation of uroporphyrinogen III at position C-2 and C-7 to form precorrin-2 and then position C-12 or C-18 to form trimethylpyrrocorphin 2. It also catalyzes the conversion of precorrin-2 into siroheme. This reaction consists of the NAD- dependent oxidation of precorrin-2 into sirohydrochlorin and its subsequent ferrochelation into siroheme (By similarity)
BN373_43921	Tryptophanyl-tRNA synthetase
BN373_43931	Specifically catalyzes the dephosphorylation of 2- phosphoglycolate. Is involved in the dissimilation of the intracellular 2-phosphoglycolate formed during the DNA repair of 3'-phosphoglycolate ends, a major class of DNA lesions induced by oxidative stress (By similarity)
BN373_43941	ribulose-phosphate 3-epimerase
BN373_43951	DNA adenine methylase
BN373_43961	membrane protein DamX
BN373_43971	3-dehydroquinate synthase
BN373_43981	Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate (By similarity)
BN373_44001	(Type IV) pilus
BN373_44011	Protein of unknown function (DUF2531)
BN373_44021	DNA utilization protein HofO
BN373_44031	Fimbrial assembly family protein
BN373_44041	Pilus assembly protein
BN373_44051	Penicillin-binding protein 1a
BN373_44061	ADP-ribose diphosphatase NudE
BN373_44071	Intracellular growth attenuator
BN373_44081	HAD-superfamily hydrolase subfamily IA variant 3
BN373_44091	heat shock protein 15
BN373_44101	Redox regulated molecular chaperone. Protects both thermally unfolding and oxidatively damaged proteins from irreversible aggregation. Plays an important role in the bacterial defense system toward oxidative stress (By similarity)
BN373_44111	phosphoenolpyruvate carboxylase
BN373_44121	Histidine kinase
BN373_44131	response regulator
BN373_44141	Transcription elongation factor GreB
BN373_44151	accessory protein
BN373_44171	Ferrous iron transport protein A
BN373_44181	Ferrous iron transport protein b
BN373_44191	May function as a transcriptional regulator that controls feoABC expression (By similarity)
BN373_44201	Protein of unknown function (DUF1471)
BN373_44211	The physiological role of BioH is to remove the methyl group introduced by BioC when the pimeloyl moiety is complete. It allows to synthesize pimeloyl-ACP via the fatty acid synthetic pathway through the hydrolysis of the ester bonds of pimeloyl-ACP esters (By similarity)
BN373_44221	Competence protein
BN373_44231	Involved in iron-sulfur cluster biogenesis. Binds a 4Fe- 4S cluster, can transfer this cluster to apoproteins, and thereby intervenes in the maturation of Fe S proteins. Could also act as a scaffold chaperone for damaged Fe S proteins (By similarity)
BN373_44241	Gluconate transporter
BN373_44251	4-alpha-glucanotransferase (EC 2.4.1.25)
BN373_44261	Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties (By similarity)
BN373_44271	Positively regulates the transcription of the maltose regulon whose gene products are responsible for uptake and catabolism of malto-oligosaccharides. Binds and recognizes a DNA motif (called the malT box) 5'-GGA TG GA-3' (By similarity)
BN373_44281	Glycerol-3-phosphate regulon repressor
BN373_44291	Rhomboid-type serine protease that catalyzes intramembrane proteolysis (By similarity)
BN373_44301	Catalyzes, although with low efficiency, the sulfur transfer reaction from thiosulfate to cyanide (By similarity)
BN373_44311	Glycerol-3-phosphate dehydrogenase
BN373_44321	Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties (By similarity)
BN373_44331	Synthesizes alpha-1,4-glucan chains using ADP-glucose (By similarity)
BN373_44341	Catalyzes the synthesis of ADP-glucose, a sugar donor used in elongation reactions on alpha-glucans (By similarity)
BN373_44351	Hydrolyzes the alpha-1,6-glucosidic linkages in glycogen which has first been partially depolymerized by phosphorylase. Shows only very little activity with native glycogen (By similarity)
BN373_44361	Catalyzes the formation of the alpha-1,6-glucosidic linkages in glycogen by scission of a 1,4-alpha-linked oligosaccharide from growing alpha-1,4-glucan chains and the subsequent attachment of the oligosaccharide to the alpha-1,6 position (By similarity)
BN373_44381	Gluconate transporter
BN373_44391	Gluconate kinase
BN373_44401	Transcriptional regulator
BN373_44411	pirin domain protein
BN373_44421	Oxidoreductase
BN373_44431	Pfam:DUF583
BN373_44441	acetyltransferase
BN373_44451	Gamma-glutamyltranspeptidase (EC 2.3.2.2)
BN373_44461	glycerophosphoryl diester phosphodiesterase
BN373_44471	(ABC) transporter
BN373_44481	transporter
BN373_44491	transporter permease
BN373_44501	Glycerol-3-phosphate transporter periplasmic binding protein
BN373_44511	ABc transporter ATP-binding protein
BN373_44521	leucine isoleucine valine transporter, ATP-binding subunit
BN373_44531	leucine isoleucine valine transporter permease subunit
BN373_44541	branched-chain amino acid
BN373_44551	branched-chain amino acid ABC transporter
BN373_44571	acetyltransferase
BN373_44581	branched-chain amino acid ABC transporter
BN373_44591	Aromatic amino acid
BN373_44601	4-aminobutyrate aminotransferase
BN373_44611	GntR family transcriptional regulator
BN373_44631	Part of the ABC transporter FtsEX involved in cellular division (By similarity)
BN373_44641	cell division atp-binding protein ftse
BN373_44661	methyltransferase
BN373_44671	membrane
BN373_44681	Protein of unknown function (DUF2500)
BN373_44691	membrane
BN373_44701	p-type atpase
BN373_44711	Part of a sulfur-relay system required for 2-thiolation of 5-methylaminomethyl-2-thiouridine (mnm(5)s(2)U) at tRNA wobble positions. Interacts with IscS and stimulates its activity. Then, accepts a sulfur from IscS and transfers it in turn to TusD (By similarity)
BN373_44721	membrAne
BN373_44731	(Lipo)protein
BN373_44741	Major facilitator superfamily
BN373_44751	transport protein
BN373_44761	Translocates 4-amino-4-deoxy-L-arabinose- phosphoundecaprenol (alpha-L-Ara4N-phosphoundecaprenol) from the cytoplasmic to the periplasmic side of the inner membrane (By similarity)
BN373_44771	Translocates 4-amino-4-deoxy-L-arabinose- phosphoundecaprenol (alpha-L-Ara4N-phosphoundecaprenol) from the cytoplasmic to the periplasmic side of the inner membrane (By similarity)
BN373_44781	Catalyzes the transfer of the L-Ara4N moiety of the glycolipid undecaprenyl phosphate-alpha-L-Ara4N to lipid A. The modified arabinose is attached to lipid A and is required for resistance to polymyxin and cationic antimicrobial peptides (By similarity)
BN373_44791	Catalyzes the deformylation of 4-deoxy-4-formamido-L- arabinose-phosphoundecaprenol to 4-amino-4-deoxy-L-arabinose- phosphoundecaprenol. The modified arabinose is attached to lipid A and is required for resistance to polymyxin and cationic antimicrobial peptides (By similarity)
BN373_44801	Bifunctional enzyme that catalyzes the oxidative decarboxylation of UDP-glucuronic acid (UDP-GlcUA) to UDP-4-keto- arabinose (UDP-Ara4O) and the addition of a formyl group to UDP-4- amino-4-deoxy-L-arabinose (UDP-L-Ara4N) to form UDP-L-4-formamido- arabinose (UDP-L-Ara4FN). The modified arabinose is attached to lipid A and is required for resistance to polymyxin and cationic antimicrobial peptides (By similarity)
BN373_44811	Catalyzes the transfer of 4-deoxy-4-formamido-L- arabinose from UDP to undecaprenyl phosphate. The modified arabinose is attached to lipid A and is required for resistance to polymyxin and cationic antimicrobial peptides (By similarity)
BN373_44821	Catalyzes the conversion of UDP-4-keto-arabinose (UDP- Ara4O) to UDP-4-amino-4-deoxy-L-arabinose (UDP-L-Ara4N). The modified arabinose is attached to lipid A and is required for resistance to polymyxin and cationic antimicrobial peptides (By similarity)
BN373_44831	Phenolic acid decarboxylase
BN373_44841	Transcriptional regulator lysR family
BN373_44851	Nickel ABC transporter, periplasmic nickel-binding protein
BN373_44861	Nickel transporter permease NikB
BN373_44871	Nickel transporter permease NikC
BN373_44881	Part of the ABC transporter complex NikABCDE involved in nickel import. Responsible for energy coupling to the transport system (By similarity)
BN373_44891	Part of the ABC transporter complex NikABCDE involved in nickel import. Responsible for energy coupling to the transport system (By similarity)
BN373_44901	Transcriptional repressor of the nikABCDE operon. Is active in the presence of excessive concentrations of intracellular nickel (By similarity)
BN373_44911	HicB family
BN373_44921	transporter
BN373_44931	HI0933 family
BN373_44941	phosphate transporter
BN373_44951	universal stress protein B
BN373_44961	universal stress protein A
BN373_44971	Proton-dependent permease that transports di- and tripeptides (By similarity)
BN373_44981	Specifically methylates the guanosine in position 1516 of 16S rRNA (By similarity)
BN373_44991	oligopeptidase A
BN373_45001	Phosphoesterase, PA-phosphatase related
BN373_45011	protein involved in catabolism of external DNA
BN373_45021	Glutathione reductase
BN373_45031	Glutathione S-transferase
BN373_45041	iron-containing alcohol dehydrogenase
BN373_45051	Provides the cells with the ability to utilize trehalose at high osmolarity by splitting it into glucose molecules that can subsequently be taken up by the phosphotransferase-mediated uptake system (By similarity)
BN373_45061	Gcn5-related n-acetyltransferase
BN373_45071	Short-chain dehydrogenase reductase Sdr
BN373_45081	Transcriptional regulator
BN373_45091	membrAne
BN373_45101	Metabolite H symporter, major facilitator superfamily (MFS)
BN373_45111	AsmA family
BN373_45131	2-dehydro-3-deoxygluconokinase
BN373_45141	peptidase
BN373_45151	Responsible for the transport of dicarboxylates such as succinate, fumarate, and malate from the periplasm across the membrane (By similarity)
BN373_45161	Diguanylate cyclase phosphodiesterase
BN373_45171	cellulose synthase
BN373_45181	endo-1,4-D-glucanase (EC 3.2.1.4)
BN373_45191	Cellulose synthase regulator protein
BN373_45201	Cellulose synthase, catalytic subunit
BN373_45211	cellulose synthase operon protein YhjQ
BN373_45221	cytoplasmic protein
BN373_45231	cellulose biosynthesis protein BcsE
BN373_45241	Celllulose biosynthesis operon protein BcsF YhjT
BN373_45251	cellulose synthase operon protein YhjU
BN373_45261	endo-1,4-D-glucanase (EC 3.2.1.4)
BN373_45271	Cellulose synthase operon protein D
BN373_45281	cellulose synthase
BN373_45291	Cellulose synthase regulator protein
BN373_45301	Cellulose synthase, catalytic subunit
BN373_45311	cellulose synthase operon protein YhjQ
BN373_45321	NA
BN373_45331	(ABC) transporter
BN373_45341	(ABC) transporter
BN373_45351	Dipeptide transport system permease protein
BN373_45361	transporter, permease
BN373_45371	Extracellular solute-binding protein, family 5
BN373_45391	ANK
BN373_45401	Phosphoethanolamine transferase
