Gene_EGGNOG	Gene_Keio	Pathway	DEG: Synechococcus elongatus PCC 7942	DEG: Mycobacterium tuberculosis H37Rv	DEG: Porphyromonas gingivalis ATCC 33277	DEG: Bacteroides thetaiotaomicron VPI-5482	DEG: Bacteroides fragilis 638R	DEG: Francisella novicida U112	DEG: Acinetobacter baumannii ATCC 17978	DEG: Pseudomonas aeruginosa PAO1	DEG: Shewanella oneidensis MR-1	TraDIS: Klebsiella pneumoniae Ecl8	TraDIS: Klebsiella pneumoniae RH201207	TraDIS: Escherichia coli ST131 EC958	TraDIS: Escherichia coli UPEC ST131 NCTC13441	Keio: Escherichia coli BW25113	TraDIS: Escherichia coli BW25113	TraDIS: Citrobacter rodentium ICC168	TraDIS: Salmonella Typhi Ty2	DEG: Salmonella enterica serovar Typhi	TraDIS: Salmonella Typhimurium A130	TraDIS: Salmonella Typhimurium D23580	TraDIS: Salmonella Typhimurium SL3261	TraDIS: Salmonella Typhimurium SL1344	TraDIS: Salmonella Enteritidis P125109	Symbiont: Secondary endosymbiont of Ctenarytaina eucalypti	Symbiont: Candidatus Moranella endobia PCIT	Symbiont: Secondary endosymbiont of Heteropsylla cubana	Symbiont: Candidatus Baumannia cicadellinicola strain BGSS	Symbiont: Candidatus Baumannia cicadellinicola strain B-GSS	Symbiont: Baumannia cicadellinicola str. Hc (Homalodisca coagulata)	Symbiont: Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus strain 757	Symbiont: Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri strain 675	Symbiont: Candidatus Blochmannia vafer str. BVAF	Symbiont: Candidatus Blochmannia floridanus	Symbiont: Candidatus Blochmannia pennsylvanicus str. BPEN	Symbiont: Candidatus Blochmannia chromaiodes str. 640	Symbiont: Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	Symbiont: Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans	Symbiont: Buchnera aphidicola str. Sg (Schizaphis graminum)	Symbiont: Buchnera aphidicola str. G002 (Myzus persicae)	Symbiont: Buchnera aphidicola str. USDA (Myzus persicae)	Symbiont: Buchnera aphidicola str. F009 (Myzus persicae)	Symbiont: Buchnera aphidicola str. W106 (Myzus persicae)	Symbiont: Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	Symbiont: Buchnera aphidicola str. APS (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. LL01 (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. TLW03 (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. JF98 (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. JF99 (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. 5A (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. Ua (Uroleucon ambrosiae)	Symbiont: Buchnera aphidicola str. Bp (Baizongia pistaciae)	Symbiont: Buchnera aphidicola BCc	Symbiont: Buchnera aphidicola (Cinara tujafilina)	Symbiont: Sodalis glossinidius str. morsitans	Symbiont: Sodalis praecaptivus strain HS1	Symbiont: Candidatus Sodalis pierantonius str. SOPE	DEG: Haemophilus influenzae Rd KW20	DEG: Vibrio cholerae N16961	DEG: Burkholderia pseudomallei K96243	DEG: Burkholderia thailandensis E264	DEG: Rhodopseudomonas palustris CGA009	DEG: Agrobacterium fabrum str. C58	DEG: Caulobacter crescentus	DEG: Brevundimonas subvibrioides ATCC 15264	DEG: Helicobacter pylori 26695	DEG: Mycoplasma genitalium G37	DEG: Mycoplasma pulmonis UAB CTIP	DEG: Streptococcus agalactiae A909	DEG: Streptococcus pyogenes NZ131	DEG: Streptococcus pyogenes MGAS5448	DEG: Staphylococcus aureus NCTC 8325	DEG: Staphylococcus aureus N315	DEG: Bacillus subtilis 168	Locus: Klebsiella pneumoniae Ecl8	Locus: Klebsiella pneumoniae RH201207	Locus: Escherichia coli ST131 EC958	Locus: Escherichia coli UPEC ST131 NCTC13441	Locus: Escherichia coli BW25113 (Keio)	Locus: Escherichia coli BW25113	Locus: Citrobacter rodentium ICC168	Locus: Salmonella Typhi Ty2	Locus: Salmonella Typhimurium A130	Locus: Salmonella Typhimurium D23580	Locus: Salmonella Typhimurium SL3261	Locus: Salmonella Typhimurium SL1344	Locus: Salmonella Enteritidis P125109	Enterobacteriaceae %essential	Endosymbiont %conserved	Gammaproteobacteria %essential	Gammaproteobacteria (excluding symbionts) %essential	Proteobacteria %essential	Proteobacteria (excluding symbionts) %essential	Bacteria %essential	Bacteria (excluding symbionts) %essential	Enterobacteriaceae: Ancestral essentiality	E. coli + Salmonella + Citrobacter: Ancestral essentiality	Salmonella + Citrobacter: Ancestral essentiality	Klebsiella: Ancestral essentiality	E. coli: Ancestral essentiality	Salmonella: Ancestral essentiality
ydfR	ydfR	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A	A	2.08824651777822	1.50034539019217	N	1.0131447644326	A	A	A/N	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	-	EC958_4957	NCTC13441_01820	b1555	BW25113_1555	-	-	-	-	-	-	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
tdcR	tdcR	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A	A	1.71180000890905	A	N	0.431832093273622	A	A	A/N	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	-	EC958_3523	-	b3119	BW25113_3119	-	-	-	-	-	-	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
yjiN	yjiN	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.11567218035537	2.31718714605145	1.22971955129428	1.57428452416869	N	1.51694220469034	1.63521710067785	1.18004484850797	A/N	1.74969836679655	1.62381963332949	1.9682583476836	2.05446234675349	1.67810659105994	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	P	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_03931	ERS227112_02240	EC958_0070	NCTC13441_04056	b4336	BW25113_4336	ROD_48251	t4567	STM_MW44631	STMMW_44631	SL3261_4447	SL1344_4447	SEN4277	0.0	5.9	3.7	0.0	3.3	0.0	2.7	0.0	0	0	0	0	0	0
fimC	fimC	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	1.97449126248495	2.17690988898269	2.8100341586399	3.17387621615809	N	2.80520140775639	2.01384753497636	3.27260940872997	A/N	3.11514740646012	2.21141146659897	2.43857110892399	2.44173251036019	2.72155591568211	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_39211	ERS227112_01375	EC958_0047	NCTC13441_04078	b4316	BW25113_4316	ROD_29141	t2318	STM_MW06131	STMMW_06131	SL3261_0538	SL1344_0538	SEN0526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ydjE	ydjE	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A	3.08674098680963	1.84664140137759	3.57057154597274	N	3.25509274329004	2.5491516748244	A	A/N	A	A	A	A	2.70623775106373	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	ERS227112_05534	EC958_1990	NCTC13441_02111	b1769	BW25113_1769	ROD_12851	-	-	-	-	-	SEN1751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
gspF	gspF	Bacterial secretion system	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.28996778297355	2.06662985728059	2.99405136659075	3.06523072148888	N	2.60268279038693	2.37436613390522	A	A/N	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	E	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_06481	ERS227112_02499	EC958_3720	NCTC13441_00368	b3327	BW25113_3327	ROD_44951	-	-	-	-	-	-	0.0	0.0	1.9	5.0	1.6	3.7	1.4	2.5	0	0	0	0	0	0
cvpA	cvpA	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.56377703871884	2.2693264270636	2.46689230469735	2.24103596786357	N	2.14376378501028	2.33815052346654	2.11162274244081	A/N	2.36872790798694	2.21126503792566	2.16180674441063	2.21074608848486	1.51525101155733	P	A	P	P	P	P	A	A	A	A	A	A	P	P	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	A	A	P	P	P	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_33131	ERS227112_03876	EC958_2648	NCTC13441_01398	b2313	BW25113_2313	ROD_27241	t0501	STM_MW23851	STMMW_23851	SL3261_2332	SL1344_2332	SEN2345	0.0	32.4	20.4	0.0	18.0	0.0	14.9	0.0	0	0	0	0	0	0
gtcA	-	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A	A	A	A	A	A	A	A	A/N	3.46987144822144	2.80394335413353	2.5563676322007	3.00219633550972	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	-	-	-	-	-	-	-	STM_MW41551	STMMW_41551	SL3261_4141	SL1344_4141	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
nuc	-	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A	A	A	A	A	A	A	2.52466313914319	A/N	2.51442640144623	1.70105630081525	A	A	2.51168108280955	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	-	-	-	-	-	-	t2945	STM_MW29961	STMMW_29961	-	-	SEN2879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ypeC	ypeC	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	1.92239400854251	1.9695427439725	1.93756453350476	1.66027267811738	N	2.34458664420936	1.48677052549405	1.80558511004016	A/N	2.0458180650048	2.30232886773905	2.05553026566689	2.45056781525773	2.02777776053235	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_34061	ERS227112_03837	EC958_5011	NCTC13441_01326	b2390	BW25113_2390	ROD_28101	t0450	STM_MW24311	STMMW_24311	SL3261_2375	SL1344_2375	SEN2393	0.0	2.9	1.9	0.0	1.6	0.0	1.4	0.0	0	0	0	0	0	0
ynjH	ynjH	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A	A	3.05988331562	3.16800055188354	N	2.98735486107895	2.60128852747806	2.00953697398766	A/N	2.3306229659316	2.14717239930031	2.46857812819585	2.63036175984427	2.012592037461	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	-	EC958_1981	NCTC13441_02120	b1760	BW25113_1760	ROD_12981	t1179	STM_MW13071	STMMW_13071	SL3261_1235	SL1344_1235	SEN1743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
metL	metL	Glycine, serine and threonine metabolism / Monobactam biosynthesis / Cysteine and methionine metabolism / Lysine biosynthesis / Metabolic pathways / Biosynthesis of secondary metabolites / Microbial metabolism in diverse environments / Biosynthesis of antibiotics / Biosynthesis of amino acids	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.52860823132254	2.16961224180729	2.391815089516	2.24291646981295	N	1.75350369256218	2.30046293412598	0.732584767391954	A/N	2.2534288469658	2.29378423732129	2.10327448519376	2.40152759576554	1.70093771434577	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	P	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_48671	ERS227112_00348	EC958_4425	NCTC13441_04560	b3940	BW25113_3940	ROD_38031	t3517	STM_MW40661	STMMW_40661	SL3261_4050	SL1344_4050	SEN3891	0.0	5.9	3.7	0.0	3.3	0.0	2.7	0.0	0	0	0	0	0	0
mvaK2	-	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A	A	A	A	A	A	A	A	A/N	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	E	E	A/N	E	A/N	A/N	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	0.0	0.0	0.0	0.0	0.0	4.1	7.5	0	0	0	0	0	0
yhdH	acuI	Propanoate metabolism / Metabolic pathways	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	1.96645166089206	1.56780052472664	2.44822929184357	2.07229696756751	N	2.21860215033057	2.01199162289988	2.6869400476618	A/N	2.08823418781656	2.55836339688881	2.66719992789723	2.62130314716322	2.08038605117585	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	P	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_30231	ERS227112_04171	EC958_3644	NCTC13441_00447	b3253	BW25113_3253	ROD_45631	t3291	STM_MW33741	STMMW_33741	SL3261_3349	SL1344_3349	SEN3210	0.0	5.9	3.7	0.0	3.3	0.0	2.7	0.0	0	0	0	0	0	0
psuG	psuG	Pyrimidine metabolism	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A	A	2.35002987397793	2.8194804082097	N	2.77808731271571	3.05552461233733	A	A/N	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	-	EC958_2501	NCTC13441_01545	b2165	BW25113_2165	ROD_22921	-	-	-	-	-	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ilvD	ilvD	Valine, leucine and isoleucine biosynthesis / Pantothenate and CoA biosynthesis / Metabolic pathways / Biosynthesis of secondary metabolites / Biosynthesis of antibiotics / 2-Oxocarboxylic acid metabolism / Biosynthesis of amino acids	E	E	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.6915506650871	2.88657121776608	2.27691566619659	2.422784946922	N	1.89065894716058	2.58228211047264	2.11878425296172	A/N	2.85179447608208	2.76858140983075	2.83878641371897	3.06829161469853	2.47318767223793	A	A	A	A	A	A	P	P	P	P	P	P	A	A	P	P	P	P	P	P	P	P	P	P	A	P	P	P	P	P	P	P	P	P	A/N	A/N	E	E	E	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_48981	ERS227112_01740	EC958_4235	NCTC13441_04749	b3771	BW25113_3771	ROD_39771	t3394	STM_MW38791	STMMW_38791	SL3261_3864	SL1344_3864	SEN3710	0.0	73.5	46.3	0.0	45.9	11.1	40.5	12.5	0	0	0	0	0	0
nasE	-	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.18066505771673	1.70812951305616	A	A	A	A	2.37027314647283	A	A/N	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_28161	ERS227112_04446	-	-	-	-	ROD_17901	-	-	-	-	-	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
udp	udp	Pyrimidine metabolism / Metabolic pathways	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.63745262262114	2.77736417798824	2.87053047762809	2.62466122964647	N	2.53578463743537	2.15582050783432	2.3450594688315	A/N	2.35283333838627	2.39689544489153	2.707873783839	2.5388847453848	2.11526623516803	A	A	A	A	A	A	A	P	A	P	P	P	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	P	P	A/N	E	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_49521	ERS227112_01799	EC958_4307	NCTC13441_04674	b3831	BW25113_3831	ROD_39231	t3329	STM_MW39391	STMMW_39391	SL3261_3922	SL1344_3922	SEN3763	0.0	20.6	14.8	5.0	13.1	3.7	10.8	2.5	0	0	0	0	0	0
proY	proY	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.52851866181386	2.30538329913691	2.37913326699956	2.2211034658616	N	2.6284214324335	2.23793189850631	1.83079992743127	A/N	2.13653032287905	1.96453799302616	2.39679336412914	2.28503836981266	1.78269714057055	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	P	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_08311	ERS227112_02693	EC958_0540	NCTC13441_03577	b0402	BW25113_0402	ROD_04461	t2463	STM_MW04701	STMMW_04701	SL3261_0395	SL1344_0395	SEN0383	0.0	5.9	3.7	0.0	3.3	0.0	2.7	0.0	0	0	0	0	0	0
nagA	nagA	Amino sugar and nucleotide sugar metabolism / Biosynthesis of antibiotics	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.25621257810924	2.22414887542525	1.9687241901057	2.03184622000348	N	2.15910288221278	2.2134033632203	1.9604516948725	A/N	1.83104834758575	1.94569497490316	2.18562876128356	1.95136919012521	1.792906472838	A	A	A	A	A	A	P	P	P	P	P	P	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	P	P	E	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_12711	ERS227112_03140	EC958_0785	NCTC13441_03323	b0677	BW25113_0677	ROD_06791	t2192	STM_MW07411	STMMW_07411	SL3261_0665	SL1344_0665	SEN0647	0.0	26.5	18.5	5.0	16.4	3.7	13.5	2.5	0	0	0	0	0	0
ybhS	ybhS	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.05126179083258	2.11984863901246	2.46819920877541	2.30567426523373	N	2.06346691184774	2.28991244571602	2.2829285934075	A/N	2.24911484160673	2.11180293007191	2.35823776894309	2.43760965284829	1.93926883511448	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_13841	ERS227112_03256	EC958_0905	NCTC13441_03201	b0793	BW25113_0793	ROD_07931	t2072	STM_MW08681	STMMW_08681	SL3261_0792	SL1344_0792	SEN0762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
phnA	yjdM	Microbial metabolism in diverse environments	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.8104607698472	2.92829281763717	2.60089587179169	2.73610406985391	N	2.62536437696112	2.37794138386449	2.31862236628364	A/N	2.25597608267373	2.03336839950709	2.38257377121732	1.87596537953978	1.86966916528857	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	P	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_01141	ERS227112_01978	EC958_4588	NCTC13441_04356	b4108	BW25113_4108	ROD_34791	t4196	STM_MW42401	STMMW_42401	SL3261_4226	SL1344_4226	SEN4060	0.0	5.9	3.7	0.0	3.3	0.0	2.7	0.0	0	0	0	0	0	0
fthC	fau	One carbon pool by folate / Metabolic pathways	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	1.95233390980953	2.20427118498832	1.86972500308135	1.85839961729139	N	1.91469769608713	1.80778455534013	1.33248925150035	A/N	1.56634906921455	2.31201026993753	2.15947347110916	2.11130587907728	1.52541124920061	A	A	A	P	P	P	P	P	P	P	P	P	A	A	P	P	P	P	P	A	A	A	A	A	A	A	A	A	P	A	A	P	P	P	E	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_40111	ERS227112_01318	EC958_3192	NCTC13441_00844	b2912	BW25113_2912	ROD_49221	t2979	STM_MW30211	STMMW_30211	SL3261_3037	SL1344_3037	SEN2904	0.0	52.9	35.2	5.0	31.1	3.7	25.7	2.5	0	0	0	0	0	0
traF	-	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A	A	A	A	A	A	2.12369944265138	2.26528545500031	A/N	2.26329445461321	1.97308810355232	2.29389680707924	2.08602715778807	1.94232931346856	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	-	-	-	-	-	ROD_36451	t4148	STM_MW41921	STMMW_41921	SL3261_4178	SL1344_4178	SEN4011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
stbC	-	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A	A	A	A	A	A	1.92034580203031	A	A/N	1.72847089394554	1.84824293367611	2.40411063647848	2.36354168342105	1.88289067981484	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	-	-	-	-	-	ROD_29381	-	STM_MW04081	STMMW_04081	SL3261_0333	SL1344_0333	SEN0321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
nhaP2	cvrA	-	E	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.28114446586343	1.72672371906168	2.28887970396662	1.85407411826233	N	2.76855959105285	2.4463823265206	1.59781391547696	A/N	1.78743498734625	2.09144030439073	2.32195774833877	2.07642496756201	1.81480210870927	P	A	P	A	A	A	A	A	A	A	A	A	P	P	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	P	P	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_28901	ERS227112_04359	EC958_1430	NCTC13441_02688	b1191	BW25113_1191	ROD_18271	t1076	STM_MW17931	STMMW_17931	SL3261_1729	SL1344_1729	SEN1236	0.0	20.6	13.0	0.0	11.5	0.0	10.8	2.5	0	0	0	0	0	0
CP_1064	-	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A	A	A	A	A	A	2.16366573112499	2.12257404306306	A/N	2.29549082866595	2.39410776652781	2.49825327627055	2.4161392954259	2.32630865126634	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	-	-	-	-	-	ROD_32591	t4446	STM_MW43391	STMMW_43391	SL3261_4328	SL1344_4328	SEN4161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
tyrP	tyrP	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.41538159505576	1.6489211829588	2.27903349713052	1.70876867568149	N	1.86155277620533	1.97141892545634	-0.153514353392662	A/N	1.503153842851	1.02406358644491	-4.5	1.59155204200535	1.38655205757224	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	E	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_29901	ERS227112_04257	EC958_2127	NCTC13441_01977	b1907	BW25113_1907	ROD_19621	t0941	STM_MW19191	STMMW_19191	SL3261_1870	SL1344_1870	SEN1068	14.3	0.0	5.6	15.0	4.9	11.1	4.1	7.5	0	0	0	0	0	0
purR	purR	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.37211075187897	0.8243378382718	1.96910362329077	1.42754238502916	N	2.30626922793991	2.04046395489929	1.61340902737016	A/N	0.617388393716299	1.68237673906055	2.3647207434312	1.90493825804645	1.43493665898382	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	P	E	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_25791	ERS227112_04676	EC958_1880	NCTC13441_02223	b1658	BW25113_1658	ROD_14111	t1298	STM_MW14331	STMMW_14331	SL3261_1362	SL1344_1362	SEN1617	0.0	5.9	5.6	5.0	4.9	3.7	4.1	2.5	0	0	0	0	0	0
