HI# (TIGR)	result	SWISS-Prot name	accno	length	gene name	synonyms
HI0485	non	ATP6_HAEIN	P43719	262	atpB	 
HI0486	*non	GIDB_HAEIN	P44728	203	gidB	 
HI0487	non	YHFY_HAEIN	P44003	125	 	 
HI0488	non	YQAB_HAEIN	P44004	200	 	 
HI0489	non	YQAA_HAEIN	P44005	157	 	 
HI0490	non	Deleted	 	 	 	 
HI0491	non	LUXS_HAEIN	P44007	167	luxS	 
HI0492	nd	Deleted	 	 	 	 
HI0493	nd	Y493_HAEIN	O05023	118	 	 
HI0494	*non	 	 	 	deleted	 
HI0495	nd	 	 	 	deleted	 
HI0496	non	HSLV_HAEIN	P43772	175	hslV	 
HI0497	non	HSLU_HAEIN	P43773	444	hslU	 
HI0498	e	POT2_HAEIN	P44731	353	potD-A	 
HI0499	non	ORDL_HAEIN	P44732	431	ordL	 
HI0500	*non	YIGN_HAEIN	P44733	346	 	 
HI0501	non	RBSD_HAEIN	P44734	139	rbsD	 
HI0502	non	RBSA_HAEIN	P44735	493	rbsA	 
HI0503	non	RBSC_HAEIN	P44736	323	rbsC	 
HI0504	non	RBSB_HAEIN	P44737	292	rbsB	 
HI0505	non	RBSK_HAEIN	P44331	306	rbsK	 
HI0506	non	RBSR_HAEIN	P44329	332	rbsR	 
HI0507	nd	YQHA_HAEIN	P44010	183	 	 
HI0508	non	MENG_HAEIN	P44738	162	menG	 
HI0509	non	MENA_HAEIN	P44739	308	menA	 
HI0510	e	YAEB_HAEIN	P44740	239	 	 
HI0511	non	TEHA_HAEIN	P44741	328	tehA	 
HI0512	nd	T2D2_HAEIN	P44413	257	HinDIIR	 
HI0513	non	MTD2_HAEIN	P44414	518	HinDIIM	 
HI0514	non	RPOC_HAEIN	P43739	1415	rpoC	 
HI0515	e	RPOB_HAEIN	P43738	1343	rpoB	 
HI0516	nd	RL1_HAEIN	P44342	229	rplA;	rpl1
HI0517	e	RL11_HAEIN	P44351	142	rplK;	rpl11
HI0518	non	DEOD_HAEIN	P44417	238	deoD	 
HI0519	non	YEIM_HAEIN	P44742	417	 	 
HI0520	nd	Y520_HAEIN	P44743	262	 	 
HI0521	non	YJJI_HAEIN	P44744	514	 	 
HI0522	e	Y522_HAEIN	Q57256	218	 	 
HI0523	non	Y523_HAEIN	P44011	356	 	 
HI0524	non	ALF_HAEIN	P44429	359	fba	 
HI0525	e	PGK_HAEIN	P43726	386	pgk	 
HI0526	*non	RN26_HAEIN	P44012	272	 	 
HI0527	non	YFHL_HAEIN	P44746	86	 	 
HI0528	non	TYRQ_HAEIN	P44747	406	tyrP-B	 
HI0529	non	KITH_HAEIN	P44309	193	tdk	 
HI0530	non	GCP_HAEIN	P43764	342	gcp	 
HI0531	nd	RS21_HAEIN	P44386	71	rpsU;	rps21
HI0532	e	PRIM_HAEIN	Q08346	593	dnaG	 
HI0533	e	RPSD_HAEIN	P43766	629	rpoD	 
HI0534	e	ASPA_HAEIN	P44324	475	aspA	 
HI0535	*non	UREH_HAEIN	P44397	261	ureH	 
HI0536	non	UREG_HAEIN	P44396	225	ureG	 
HI0537	non	UREF_HAEIN	P44395	194	ureF	 
HI0538	non	UREE_HAEIN	P44394	185	ureE	 
HI0539	*non	URE1_HAEIN	P44391	572	ureC	 
HI0540	non	URE2_HAEIN	P44392	101	ureB	 
HI0541	*non	URE3_HAEIN	P44393	100	ureA	 
HI0542	*non	CH10_HAEIN	P43734	96	mopB;	groES
HI0543	non	CH60_HAEIN	P43733	548	groL;	mopA;
HI0544	non	RL9_HAEIN	P44349	149	rplI;	rpl9
HI0545	e	RS18_HAEIN	P44384	75	rpsR;	rps18
HI0546	e	PRIB_HAEIN	P44748	94	priB	 
HI0547	e	RS6_HAEIN	P44375	125	rpsF;	rps6
HI0548	e	IF1_HAEIN	P44322	72	infA	 
HI0549	e	KSGA_HAEIN	P44749	287	ksgA	 
HI0550	non	LEX1_HAEIN	Q03974	302	lex1;	lic2A
HI0551	non	APAH_HAEIN	P44751	275	apaH	 
HI0552	non	Y552_HAEIN	P44013	207	 	 
HI0553	non	6PGD_HAEIN	P43774	484	gnd	 
HI0554	non	Y554_HAEIN	P44014	180	 	 
HI0555	non	Y555_HAEIN	Q57409	79	 	 
HI0556	non	6PGL_HAEIN	Q57039	232	pgl;	devB
HI0557	non	Y557_HAEIN	P44015	40	 	 
HI0558	non	G6PD_HAEIN	P44311	494	zwf;	g6pD
HI0559	non	CYSQ_HAEIN	P44332	228	cysQ	 
HI0561	e	Y561_HAEIN	P44016	633	 	 
HI0562	non	HSLR_HAEIN	P44754	131	hslR	 
HI0563	non	ASNC_HAEIN	P44337	150	asnC	 
HI0564	e	ASNA_HAEIN	P44338	330	asnA	 
HI0565	non	GPH_HAEIN	P44755	224	gph	 
HI0566	e	RPE_HAEIN	P44756	224	rpe;	dod
HI0567	e	GYRB_HAEIN	P43701	806	gyrB	 
HI0568	e	YHGF_HAEIN	P71353	762	 	 
HI0569	e	GREB_HAEIN	P43882	158	greB	 
HI0570	e	YIJC_HAEIN	P44757	205	 	 
HI0571	non	OXYR_HAEIN	P44418	301	oxyR	 
HI0572	non	Y572_HAEIN	P44758	241	 	 
HI0573	e	SLYX_HAEIN	P44759	73	slyX	 
HI0574	non	FKBY_HAEIN	P44760	241	 	 
HI0575	e	YHEO_HAEIN	P44761	221	 	 
HI0576	e	YHEN_HAEIN	P44762	126	 	 
HI0576.1	e	YHEM_HAEIN	Q57194	119	 	 
HI0577	non	Y577_HAEIN	P44017	95	 	 
HI0578	non	EFTU_HAEIN	P43926	394	tufA	 
HI0579	e	EFG_HAEIN	P43925	700	fusA;	fus
HI0580	e	RS7_HAEIN	P44376	156	rpsG;	rps7
HI0581	e	RS12_HAEIN	P44412	124	rpsL;	rps12;
HI0582	non	GIDA_HAEIN	P44763	629	gidA	 
HI0583	e	CN16_HAEIN	P44764	657	cpdB	 
HI0584	non	ABGA_HAEIN	P44765	423	abgA	 
HI0585	non	Y585_HAEIN	P44018	279	 	 
HI0586	non	Y586_HAEIN	P44019	145	 	 
HI0587	nd	PEPE_HAEIN	P44766	226	pepE	 
HI0588	non	Y588_HAEIN	Q57051	411	 	 
HI0589	*non	Y589_HAEIN	P44020	139	 	 
HI0590	non	POTE_HAEIN	P44768	435	potE	 
HI0591	non	DCOR_HAEIN	P44317	720	speF	 
HI0592	non	Y592_HAEIN	P44021	64	 	 
HI0593	non	Deleted	 	 	 	 
HI0594	non	YFCC_HAEIN	P44023	509	 	 
HI0595	non	ARCC_HAEIN	P44769	310	arcC	 
HI0596	non	OTCC_HAEIN	P44770	334	arcB	 
HI0597	non	YIGL_HAEIN	P44771	272	 	 
HI0598	non	Deleted	 	 	 	 
HI0599	e	RECX_HAEIN	P43706	126	recX	 
HI0600	non	RECA_HAEIN	P43705	354	recA;	rec1;
HI0601	non	TFOX_HAEIN	P43779	217	tfoX;	sxy
HI0602	nd	HEMY_HAEIN	P44772	428	hemY	 
HI0603	nd	Y603_HAEIN	P44773	230	 	 
HI0604	e1	CYAA_HAEIN	P40134	843	cyaA;	cya
HI0605	e	GPDA_HAEIN	P43798	335	gpsA	 
HI0606	e	CYSE_HAEIN	P43886	267	cysE	 
HI0607	nd	YDIB_HAEIN	P44774	271	 	 
HI0608	nd	Y608_HAEIN	Q57486	461	 	 
HI0609	*non	FOLD_HAEIN	P44313	282	folD	 
HI0610	*non	FUCP_HAEIN	P44776	428	fucP	 
HI0611	nd	FUCA_HAEIN	P44777	216	fucA	 
HI0612	nd	FUCU_HAEIN	P44778	144	fucU	 
HI0613	e	FUCK_HAEIN	P44399	470	fucK	 
HI0614	e	FUCI_HAEIN	P44779	604	fucI	 
HI0615	e	FUCR_HAEIN	P44780	249	fucR	 
HI0616	non	HEPA_HAEIN	P44781	923	hepA	 
HI0617	e	RLUA_HAEIN	P44782	219	rluA	 
HI0618	e	GLPG_HAEIN	P44783	192	glpG	 
HI0619	non	GLPR_HAEIN	P44784	255	glpR	 
HI0620	non	HLPA_HAEIN	P31728	273	hlpA	 
HI0621	non	ABC_HAEIN	P44785	345	abc	 
HI0621.1	nd	YAED_HAEIN	P46452	184	 	 
HI0622	se	DEF_HAEIN	P44786	169	def	 
HI0623	non	FMT_HAEIN	P44787	318	fmt	 
HI0624	non	SUN_HAEIN	P44788	451	sun;	fmu
HI0625	e	TRKA_HAEIN	P71354	458	trkA	 
HI0626	non	MSCL_HAEIN	P44789	128	mscL	 
HI0627	se	YGFY_HAEIN	P44025	85	 	 
HI0628	non	RPOE_HAEIN	P44790	189	rpoE	 
HI0629	nd	RSEA_HAEIN	P44791	195	rseA;	mclA
HI0630	non	RSEB_HAEIN	P44792	315	rseB	 
HI0631	e1	COAA_HAEIN	P44793	311	coaA	 
HI0632	non	EFTU_HAEIN	P43926	394	tufB	 
HI0633	e	Y633_HAEIN	P44026	98	 	 
HI0634	e1	YJBN_HAEIN	P44794	327	 	 
HI0635	non	HGP1_HAEIN	P44795	1063	 	 
HI0636	non	Y636_HAEIN	P44027	96	 	 
HI0637	nd	SYW_HAEIN	P43835	334	trpS	 
HI0638	e2	YCFC_HAEIN	P44796	205	 	 
HI0639	e2	PUR8_HAEIN	P44797	456	purB	 
HI0640	e2	RL10_HAEIN	P44350	163	rplJ;	rpl10
HI0641	non	RL7_HAEIN	P44348	123	rplL	 
HI0642	nd	GLMU_HAEIN	P43889	456	glmU	 
HI0643	e2	BISC_HAEIN	P44798	825	bisC	 
HI0644	nd	YECK_HAEIN	P44799	368	 	 
HI0645	e1	PLDB_HAEIN	P44800	313	pldB	 
HI0646	e1	DHAS_HAEIN	P44801	371	asd	 
HI0647	e1	Y647_HAEIN	Q57424	238	 	 
HI0648	non	MDAB_HAEIN	P44803	192	mdaB;	mda66
HI0649	e1	REP_HAEIN	P44804	670	rep	 
HI0650	e	Y650_HAEIN	P44028	70	 	 
HI0651	e	COAD_HAEIN	P44805	156	coaD;	kdtB
HI0652	e	KDTA_HAEIN	P44806	427	kdtA;	waaA
HI0653	non	Y653_HAEIN	P44029	254	 	 
HI0654	e	3MGA_HAEIN	P44321	185	tag	 
HI0655	e	AROE_HAEIN	P43876	272	aroE	 
HI0656	e	YRDC_HAEIN	P44807	183	 	 
HI0656.1	e1	YRDD_HAEIN	P46494	178	 	 
HI0658	non	YHES_HAEIN	P44808	638	 	 
HI0659	non	Y659_HAEIN	P44030	98	 	 
HI0660	e1	Y660_HAEIN	P44031	119	 	 
HI0661	non	HGP2_HAEIN	P44809	999	 	 
HI0662	nd	Deleted	 	 	 	 
HI0663	nd	Y663_HAEIN	P71355	560	 	 
HI0664	e	Y664_HAEIN	Q57538	552	 	 
HI0665	e1	Y665_HAEIN	P44033	343	 	 
HI0666	non	Y666_HAEIN	P44034	106	 	 
HI0667	e	GLPX_HAEIN	P44811	333	glpX	 
HI0668	nd	YIIU_HAEIN	P44812	72	 	 
HI0669	nd	MIOC_HAEIN	P44813	146	mioC	 
HI0670	nd	YIHZ_HAEIN	P44814	144	 	 
HI0671	e1	ISPF_HAEIN	P44815	158	ispF	 
HI0672	e1	ISPD_HAEIN	O05029	225	ispD	 
HI0673	non	YGBQ_HAEIN	P44035	92	 	 
HI0674	e	XGPT_HAEIN	P43859	155	gptA;	xgprt-A
HI0675	e	PEPD_HAEIN	P44817	484	pepD	 
HI0676	nd	XERC_HAEIN	P44818	295	xerC	 
HI0677	e	Y677_HAEIN	P44036	146	 	 
HI0678	e	TPIS_HAEIN	P43727	263	tpiA;	tpi
HI0679	e	GLPE_HAEIN	P44819	105	glpE	 
HI0680	e	Y680_HAEIN	Q57389	298	 	 
HI0681	e	ILVY_HAEIN	P44821	292	ilvY	 
HI0682	non	ILVC_HAEIN	P44822	492	ilvC	 
HI0683	*non	GLPC_HAEIN	P43801	426	glpC	 
HI0684	e	GLPB_HAEIN	P43800	432	glpB	 
HI0685	e1	GLPA_HAEIN	P43799	563	glpA	 
HI0686	nd	GLPT_HAEIN	P96335	480	glpT	 
HI0687	e	Y687_HAEIN	P71356	304	 	 
HI0688	e	Y688_HAEIN	P44037	103	 	 
HI0689	nd	GLPQ_HAEIN	Q06282	364	glpQ;	hpd
HI0690	non	GLPF_HAEIN	P44826	264	glpF	 
HI0691	*non	GLPK_HAEIN	P44400	503	glpK	 
HI0692	*non	XGPT_HAEIN	P43859	155	gptB;	xgprt-B
HI0693	non	HEL_HAEIN	P26093	274	hel;	ompP4
HI0694	nd	YMFC_HAEIN	P44827	240	 	 
HI0695	nd	PPX_HAEIN	P44828	323	ppx	 
HI0696	e2	YTFN_HAEIN	Q57523	1298	 	 
HI0698	e	YTFM_HAEIN	P44038	578	 	 
HI0699	non	SLYD_HAEIN	P44830	190	slyD	 
HI0700	*non	YJGD_HAEIN	P44831	153	 	 
HI0701	e1	YGBO_HAEIN	P44039	339	 	 
HI0703	nd	Y703_HAEIN	P44832	192	 	 
HI0704	nd	Y704_HAEIN	P44040	61	 	 
HI0706	e2	LPPB_HAEIN	P44833	405	lppB	 
HI0707	e1	MUTS_HAEIN	P44834	861	mutS	 
HI0708	nd	SELA_HAEIN	P43910	461	selA	 
HI0709	e1	SELB_HAEIN	P43927	619	selB	 
HI0710	nd	Y710_HAEIN	P71357	98	 	 
HI0711	e1	YAFQ_HAEIN	P44041	102	 	 
HI0712	non	HGP3_HAEIN	P44836	1084	 	 
HI0713	non	TIG_HAEIN	P44837	432	tig	 
HI0714	e	CLPP_HAEIN	P43867	193	clpP	 
HI0715	nd	CLPX_HAEIN	P44838	411	clpX	 
HI0716	e1	SECE_HAEIN	P43805	106	secE	 
HI0717	e1	NUSG_HAEIN	P43916	185	nusG	 
HI0718	e1	VACJ_HAEIN	P44042	250	vacJ	 
HI0719	*non	YJGF_HAEIN	P44839	130	 	 
HI0720	non	HTPX_HAEIN	P44840	283	htpX	 
HI0721	nd	SIRA_HAEIN	P44841	79	sirA	 
HI0722	nd	YIGZ_HAEIN	P44842	206	 	 
HI0723	e	TRKH_HAEIN	P44843	487	trkH	 
HI0724	*non	YIHI_HAEIN	P44844	186	 	 
HI0725	non	Y725_HAEIN	P44043	146	 	 
HI0726	e	NARP_HAEIN	P44845	208	narP	 
HI0727	nd	DCDA_HAEIN	P44316	415	lysA	 
HI0727.1	e	CYAY_HAEIN	P71358	101	cyaY	 
HI0728	e	RECQ_HAEIN	P71359	619	recQ	 
HI0729	e	SYP_HAEIN	P43830	572	proS	 
HI0730	e1	OSTA_HAEIN	P44846	782	imp;	ostA
HI0731	nd	Y731_HAEIN	P44044	127	 	 
HI0732	nd	Y732_HAEIN	P44045	50	 	 
HI0733	e1	SUFI_HAEIN	P44847	311	sufI	 
HI0734	e	PLSC_HAEIN	P44848	240	plsC	 
HI0735	nd	LPXH_HAEIN	P44046	237	lpxH	 
HI0736	non	Y736_HAEIN	P44849	508	 	 
HI0737	non	Y737_HAEIN	O05031	265	 	 
HI0738	non	ILVD_HAEIN	P44851	612	ilvD	 
HI0738.1	non	THD1_HAEIN	P46493	513	ilvA	 
HI0739	e	DP3A_HAEIN	P43743	1159	dnaE	 
HI0740	e1	Y740_HAEIN	Q57290	485	 	 
HI0742	e2	Y742_HAEIN	P44047	109	 	 
HI0743	non	SECB_HAEIN	P44853	169	secB	 
HI0744	non	YIBN_HAEIN	P44854	148	 	 
HI0745	nd	ASG2_HAEIN	P43843	349	ansB	 
HI0746	e2	DCUB_HAEIN	P44855	440	dcuB	 
HI0747	e2	DHNA_HAEIN	P44856	444	ndh	 
HI0748	e2	PLSB_HAEIN	P44857	810	plsB	 
HI0749	e1	LEXA_HAEIN	P44858	207	lexA	 
HI0750	e	DAPF_HAEIN	P44859	274	dapF	 
HI0751	non	TPX_HAEIN	Q57549	165	tpx	 
HI0752	e2	PUR4_HAEIN	P43847	1297	purL	 
HI0753	e1	YDHH_HAEIN	P44861	382	 	 
HI0754	nd	YFEU_HAEIN	P44862	303	 	 
HI0755	nd	YIBQ_HAEIN	P44863	280	 	 
HI0756	e1	YIBP_HAEIN	P44864	410	 	 
HI0757	e1	PMGY_HAEIN	P44865	227	gpm;	gpmA
HI0758	e	RL31_HAEIN	P44367	70	rpmE;	rpl31
HI0759	*non	MUTY_HAEIN	P44320	378	mutY	 
HI0760	nd	YGGX_HAEIN	P44048	90	 	 
HI0761	non	MLTC_HAEIN	P44049	357	mltC	 
HI0762	e	Y762_HAEIN	P44050	226	 	 
HI0763	e	NADR_HAEIN	P44308	421	nadR	 
HI0764	nd	RIBB_HAEIN	P44866	215	ribB	 
HI0765	nd	Y765_HAEIN	Q57125	282	 	 
HI0766	*non	YIBK_HAEIN	P44868	160	 	 
HI0767	e	YHHF_HAEIN	P44869	193	 	 
HI0768	e	FTSY_HAEIN	P44870	414	ftsY	 
HI0769	e	FTSE_HAEIN	P44871	218	ftsE	 
HI0770	e	FTSX_HAEIN	P44872	310	ftsX	 
HI0771	nd	ATOB_HAEIN	P44873	393	atoB;	thl;
HI0772	e	ATOE_HAEIN	P44051	447	atoE	 
HI0773	e	ATOA_HAEIN	P44874	223	atoA	 
HI0774	e	ATOD_HAEIN	P44875	217	atoD	 
HI0775	non	Y775_HAEIN	P44876	315	 	 
HI0776	nd	RS10_HAEIN	P44378	118	rpsJ;	rps10
HI0777	nd	RL3_HAEIN	P44344	208	rplC;	rpl3
HI0778	e2	RL4_HAEIN	P44345	200	rplD;	rpl4
HI0779	e	RL23_HAEIN	P44361	99	rplW;	rpl23
HI0780	e	RL2_HAEIN	P44343	273	rplB;	rpl2
HI0781	e	RS19_HAEIN	P44385	91	rpsS;	rps19
HI0782	e	RL22_HAEIN	P44360	110	rplV;	rpl22
HI0783	e1	RS3_HAEIN	P44372	235	rpsC;	rps3
HI0784	e	RL16_HAEIN	P44354	136	rplP;	rpl16
HI0785	e	RL29_HAEIN	P44365	63	rpmC;	rpl29
HI0786	e1	RS17_HAEIN	P44383	85	rpsQ;	rps17
HI0787	nd	Y787_HAEIN	P44052	201	 	 
HI0788	e1	RL14_HAEIN	P44352	123	rplN;	rpl14
HI0789	e1	RL24_HAEIN	P44362	103	rplX;	rpl24
HI0790	e1	RL5_HAEIN	P44346	179	rplE;	rpl5
HI0791	e1	RS14_HAEIN	P44381	101	rpsN;	rps14
HI0792	e	RS8_HAEIN	P44377	130	rpsH;	rps8
HI0793	e	RL6_HAEIN	P44347	177	rplF;	rpl6
HI0794	e	RL18_HAEIN	P44356	117	rplR;	rpl18
HI0795	e	RS5_HAEIN	P44374	166	rpsE;	rps5
HI0796	e1	RL30_HAEIN	P44366	59	rpmD;	rpl30
HI0797	e1	RL15_HAEIN	P44353	144	rplO;	rpl15
HI0798	nd	SECY_HAEIN	P43804	441	secY	 
HI0798.1	nd	RL36_HAEIN	P46361	37	rpmJ;	rpl36
HI0799	e	RS13_HAEIN	P44380	122	rpsM;	rps13
HI0800	e	RS11_HAEIN	P44379	129	rpsK;	rps11
HI0801	e	RS4_HAEIN	P44373	206	rpsD;	rps4
HI0802	e1	RPOA_HAEIN	P43737	328	rpoA	 
HI0803	e	RL17_HAEIN	P44355	128	rplQ;	rpl17
HI0804	nd	Y804_HAEIN	P44053	129	 	 
HI0806	e	Y806_HAEIN	P44054	268	 	 
HI0807	e1	DXR_HAEIN	P44055	397	dxr	 
HI0808	e	RRF_HAEIN	P44307	185	frr	 
HI0809	*non	PPCK_HAEIN	P43923	538	pckA	 
HI0810	e1	HSLO_HAEIN	P44877	293	hslO	 
HI0811	e	ARLY_HAEIN	P44314	457	argH	 
HI0812	non	GALU_HAEIN	P44878	295	galU	 
HI0813	nd	CSRA_HAEIN	P44879	63	csrA	 
HI0814	e	SYA_HAEIN	P43815	874	alaS	 
HI0815	nd	USPA_HAEIN	P44880	141	uspA	 
HI0816	e	AMPP_HAEIN	P44881	430	pepP	 
HI0817	nd	YGFB_HAEIN	P44882	182	 	 
HI0818	nd	GALM_HAEIN	P31765	340	galM;	mro
HI0819	e2	GAL1_HAEIN	P31767	384	galK	 
HI0820	e	GAL7_HAEIN	P31764	349	galT	 
HI0821	e	GALR_HAEIN	P31766	332	galR;	galS
HI0822	non	DGAL_HAEIN	P44883	331	mglB	 
HI0823	non	MGLA_HAEIN	P44884	506	mglA	 
HI0824	non	MGLC_HAEIN	P44885	336	mglC	 
HI0825	e	Y825_HAEIN	P44056	244	 	 
HI0826	e	ISPZ_HAEIN	P43810	185	ispZ	 
HI0827	nd	YCIA_HAEIN	P44886	154	 	 
HI0828	nd	YCII_HAEIN	P44887	98	 	 
HI0829	e	SLT_HAEIN	P44888	593	slt	 
HI0830	e	TRPR_HAEIN	P44889	101	trpR	 
HI0831	e1	MTGA_HAEIN	P44890	246	mtgA	 
HI0832	e	FRDD_HAEIN	P44891	114	frdD	 
HI0833	*non	FRDC_HAEIN	P44892	132	frdC	 
HI0834	*non	FRDB_HAEIN	P44893	256	frdB	 
HI0835	*non	FRDA_HAEIN	P44894	599	frdA	 
HI0836	e	SYK3_HAEIN	P43826	323	poxA;	genX
HI0837	non	CPXR_HAEIN	P44895	227	cpxR	 
HI0838	e2	SMPA_HAEIN	P44057	137	smpA	 
HI0839	nd	NA37_HAEIN	P44896	341	 	 
HI0840	nd	YEJL_HAEIN	P44897	72	 	 
HI0841	e2	YEJM_HAEIN	P44898	585	 	 
HI0842	e1	Y842_HAEIN	P44058	276	 	 
HI0843	nd	Y843_HAEIN	P44059	45	 	 
HI0844	nd	MOBA_HAEIN	P44899	192	mobA;	mob
HI0845	nd	YIHD_HAEIN	P44900	88	 	 
HI0846	non	DSBA_HAEIN	P31810	205	dsbA;	por
HI0847	non	YIFE_HAEIN	P31811	111	 	 
HI0848	*non	TRMA_HAEIN	P31812	363	trmA	 
HI0849	e	YHIQ_HAEIN	P44901	257	 	 
HI0850	*non	Y850_HAEIN	P44060	144	 	 
HI0851	e	MOBB_HAEIN	P44902	178	mobB	 
HI0852	nd	YIEO_HAEIN	P44903	463	 	 
HI0853	*non	HBPA_HAEIN	P33950	547	hbpA;	dppA
HI0854	non	Y854_HAEIN	P44061	253	 	 
HI0855	e	YHAM_HAEIN	P44904	115	 	 
HI0856	*non	DPO1_HAEIN	P43741	930	polA	 
HI0857	*non	YGFE_HAEIN	P44062	100	 	 
HI0858	e	YGFA_HAEIN	P44905	187	 	 
HI0859	e1	CLPB_HAEIN	P44403	856	clpB	 
HI0860	non	YJFH_HAEIN	P44906	246	 	 
HI0861	non	RNR_HAEIN	P44907	782	rnr;	vacB
HI0862	*non	YHHQ_HAEIN	P44908	235	 	 
HI0863	nd	PDXH_HAEIN	P44909	229	pdxH	 
HI0864	non	TYPA_HAEIN	P44910	616	typA	 
HI0865	e	GLNA_HAEIN	P43794	472	glnA	 
HI0866	nd	Y866_HAEIN	P44063	207	 	 
HI0867	e	Y867_HAEIN	Q57484	404	 	 
HI0868	e	Y868_HAEIN	Q57022	250	 	 
HI0869	e	Y869_HAEIN	P44064	185	 	 
HI0870	e	Y870_HAEIN	P44065	34	 	 
HI0871	nd	Y871_HAEIN	P44066	306	 	 
HI0872	non	Y872_HAEIN	Q57491	471	 	 
HI0873	e	RFFG_HAEIN	P44914	338	rffG	 
HI0874	e1	Y874_HAEIN	P44067	399	 	 
HI0876	nd	NDK_HAEIN	P43802	141	ndk	 
HI0877	nd	YHBZ_HAEIN	P44915	390	 	 
HI0878	*non	YHBE_HAEIN	P71360	306	 	 
HI0879	nd	RL27_HAEIN	P44363	85	rpmA;	rpl27
HI0880	nd	RL21_HAEIN	P44359	103	rplU;	rpl21
HI0881	e1	ISPB_HAEIN	P44916	329	ispB	 
HI0882	non	Y882_HAEIN	P44068	245	 	 
HI0883	*non	Y883_HAEIN	P44917	456	 	 
HI0884	*non	ARCA_HAEIN	P44918	236	arcA	 
HI0885	*non	DSBD_HAEIN	P44919	579	dsbD;	cycZ
HI0886	non	Y886_HAEIN	P44069	134	 	 
HI0887	e2	PUR9_HAEIN	P43852	532	purH	 
HI0888	e1	PUR2_HAEIN	P43845	429	purD	 
HI0889	nd	GLYA_HAEIN	P43844	421	glyA	 
HI0890	*non	COAE_HAEIN	P44920	206	coaE	 
HI0891	nd	YACG_HAEIN	P44921	64	 	 
HI0892	e	RHLB_HAEIN	P44922	418	rhlB	 
HI0893	non	Y893_HAEIN	P44923	187	 	 
HI0894	e2	Y894_HAEIN	Q57500	382	 	 
HI0895	non	Y895_HAEIN	Q57124	1032	 	 
HI0896	non	Y896_HAEIN	Q57434	204	 	 
HI0897	e	EMRB_HAEIN	P44927	510	emrB	 
HI0898	non	EMRA_HAEIN	P44928	390	emrA	 
HI0899	e	DYR_HAEIN	P43791	160	folA;	folH
HI0900	non	PROB_HAEIN	P43763	368	proB	 
HI0901	e	NUDH_HAEIN	Q57045	196	nudH	 
HI0902	non	Y902_HAEIN	P44070	264	 	 
HI0903	non	Deleted	 	 	 	 
HI0904	e	LGT_HAEIN	P44930	268	lgt	 
HI0905	non	TYSY_HAEIN	P44420	283	thyA	 
HI0906	e	YFHC_HAEIN	P44931	173	 	 
HI0907	e	Y907_HAEIN	P44072	104	 	 
HI0908	non	Y908_HAEIN	P44073	100	 	 
HI0909	e2	SECA_HAEIN	P43803	901	secA	 
HI0910	non	MUTT_HAEIN	P44932	136	mutT	 
HI0911	e	KEFX_HAEIN	P44933	618	kefBC	 
HI0912	e1	Y912_HAEIN	P44074	254	 	 
HI0913	e1	RS2_HAEIN	P44371	240	rpsB;	rps2
HI0914	nd	EFTS_HAEIN	P43894	283	tsf	 
HI0915	e1	LPXD_HAEIN	P43888	341	lpxD	 
HI0916	nd	Y916_HAEIN	Q57483	197	 	 
HI0917	non	D152_HAEIN	P44935	795	 	 
HI0918	e2	YAEL_HAEIN	P44936	443	 	 
HI0919	*non	CDSA_HAEIN	P44937	288	cdsA;	cds
HI0920	non	UPPS_HAEIN	P44938	239	uppS	 
HI0921	e	SYL_HAEIN	P43827	861	leuS	 
HI0922	e	Y922_HAEIN	Q57457	182	 	 
HI0923	e	HOLA_HAEIN	P43747	344	holA	 
HI0924	e	SYGB_HAEIN	P43822	688	glyS	 
HI0925	nd	Y925_HAEIN	P44075	121	 	 
HI0926	nd	Y926_HAEIN	P44076	86	 	 
HI0927	nd	SYGA_HAEIN	P43821	302	glyQ	 
HI0928	e2	CATA_HAEIN	P44390	508	katA;	hktE
HI0929	non	YGIC_HAEIN	P44940	393	 	 
HI0930	non	Y930_HAEIN	P44077	206	 	 
HI0931	nd	Y931_HAEIN	P44078	161	 	 
HI0932	*non	ENO_HAEIN	P43806	436	eno	 
HI0933	e	YHIN_HAEIN	P44941	401	 	 
HI0934	nd	NRFF_HAEIN	P44942	370	nrfF	 
HI0935	nd	DSE2_HAEIN	P44943	176	dsbE-2	 
HI0936	nd	NRFE_HAEIN	P44944	635	nrfE	 
HI0937	nd	SUHB_HAEIN	P44333	267	suhB	 
HI0938	nd	Y938_HAEIN	P44079	170	 	 
HI0939	nd	Y939_HAEIN	P44080	238	 	 
HI0940	nd	Y940_HAEIN	P44081	227	 	 
HI0941	nd	Y941_HAEIN	P44082	101	 	 
HI0942	nd	EX5C_HAEIN	P44945	1121	recC	 
HI0943	nd	YBAD_HAEIN	P44946	149	 	 
HI0944	nd	RIBD_HAEIN	P44326	372	ribD;	ribG
HI0945	nd	DEGS_HAEIN	P44947	340	degS;	hhoB;
HI0946	nd	FPG_HAEIN	P44948	271	mutM;	fpg
HI0946.1	nd	DDC_HAEIN	P71362	511	ddc	 
HI0947	nd	Y947_HAEIN	P71363	132	 	 
HI0948	nd	Y948_HAEIN	Q57120	77	 	 
HI0949	nd	DAT_HAEIN	P44951	454	dat	 
HI0950	nd	RL33_HAEIN	P44369	56	rpmG;	rpl33
HI0951	nd	RL28_HAEIN	P44364	78	rpmB;	rpl28
